ValidTime,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,percentile_40.0
2004-03-30,140.84375,142.25,140.9375,140.90625,141.21875,141.46875,141.5625,141.0625,141.25,141.53125,141.15625
2005-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-30,0.125,0.125,0.15625,0.125,0.125,0.15625,0.125,0.125,0.125,0.125,0.125
2010-03-30,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2011-03-30,148.4375,150.21875,150.59375,149.5,149.5625,150.125,150.59375,148.625,150.15625,151.0625,149.9
2012-03-30,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375
2013-03-30,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2014-03-30,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2015-03-30,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2016-03-30,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2017-03-30,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2018-03-30,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2019-03-30,66.53125,67.875,66.46875,67.40625,66.75,66.71875,67.4375,66.40625,67.21875,66.84375,66.7375
2020-03-30,60.15625,60.21875,60.15625,59.9375,60.46875,60.125,60.21875,60.4375,60.9375,60.09375,60.15625
2021-03-30,124.3125,124.4375,124.5,124.59375,124.21875,124.5,124.71875,124.53125,124.25,124.625,124.475
2022-03-30,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2004-04-02,135.21875,135.28125,136.40625,136.125,136.1875,134.40625,136.75,136.59375,135.78125,136.34375,135.9875
2005-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-02,87.875,87.21875,86.96875,87.0625,86.9375,86.96875,86.90625,87.1875,86.8125,87.59375,86.96875
2010-04-02,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2011-04-02,144.84375,145.25,145.21875,145.5625,145.5,143.9375,145.03125,145.375,145.84375,144.84375,145.14375
2012-04-02,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2013-04-02,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2014-04-02,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2015-04-02,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2016-04-02,21.09375,20.8125,21.03125,20.53125,21.03125,20.5,21.53125,21.8125,21.28125,20.96875,21.00625
2017-04-02,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2018-04-02,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2019-04-02,70.625,70.375,70.5625,70.40625,71.125,70.65625,70.75,70.34375,70.15625,70.40625,70.40625
2020-04-02,67.34375,67.375,67.8125,67.1875,67.46875,67.15625,67.84375,67.03125,67.40625,67.84375,67.3625
2021-04-02,124.4375,124.25,124.5,124.03125,124.75,124.53125,124.4375,124.46875,124.1875,124.1875,124.3625
2022-04-02,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2004-04-06,128.75,129.15625,129.625,129.75,129.3125,129.625,129.09375,129.53125,129.71875,129.125,129.25
2005-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-06,97.625,97.84375,97.90625,97.53125,97.4375,98.375,97.40625,97.84375,97.84375,97.6875,97.6625
2010-04-06,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2011-04-06,143.4375,143.65625,142.625,142.4375,142.34375,143.28125,143.53125,141.78125,143.0625,142.84375,142.75625
2012-04-06,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2013-04-06,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2014-04-06,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2015-04-06,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2016-04-06,43.5,43.25,43.59375,43.46875,43.53125,43.53125,44.03125,43.4375,43.8125,43.625,43.51875
2017-04-06,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2018-04-06,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2019-04-06,69.34375,69.96875,69.4375,69.40625,69.625,68.875,69.375,69.6875,69.4375,69.84375,69.425
2020-04-06,71.125,71.03125,70.84375,71.15625,71.71875,70.5625,70.5,71.09375,71.15625,70.90625,70.98125
2021-04-06,120.75,121.0,121.625,121.34375,120.90625,121.125,121.78125,121.125,120.8125,120.65625,120.9625
2022-04-06,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2004-04-09,126.40625,126.3125,126.625,126.46875,126.125,126.53125,126.15625,126.21875,125.46875,126.75,126.275
2005-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-09,101.15625,100.59375,100.6875,101.03125,100.5625,100.5,100.84375,100.90625,100.875,100.8125,100.7625
2010-04-09,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2011-04-09,142.15625,143.0625,143.3125,141.875,141.8125,142.59375,143.75,142.3125,142.9375,142.28125,142.3
2012-04-09,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2013-04-09,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2014-04-09,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2015-04-09,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2016-04-09,45.6875,45.8125,45.46875,45.8125,45.59375,45.78125,45.875,46.0625,45.375,45.75,45.725
2017-04-09,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2018-04-09,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2019-04-09,63.90625,64.8125,64.3125,64.53125,64.03125,64.15625,64.21875,64.34375,64.46875,64.21875,64.21875
2020-04-09,70.96875,70.71875,70.8125,70.84375,71.15625,70.4375,70.53125,70.90625,70.71875,71.3125,70.775
2021-04-09,114.6875,115.28125,115.6875,114.15625,115.0625,115.46875,114.9375,114.78125,114.71875,114.96875,114.875
2022-04-09,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2004-04-13,117.40625,116.84375,117.625,116.71875,116.71875,116.78125,116.875,116.1875,117.625,116.53125,116.75625
2005-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-13,101.59375,101.90625,102.1875,101.65625,101.8125,101.96875,101.25,101.5625,101.625,101.09375,101.6125
2010-04-13,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2011-04-13,136.9375,137.78125,137.4375,138.03125,137.75,137.125,137.1875,137.875,137.8125,137.1875,137.3375
2012-04-13,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2013-04-13,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2014-04-13,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2015-04-13,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2016-04-13,48.3125,47.875,48.4375,48.1875,47.90625,48.9375,48.46875,48.21875,48.6875,48.53125,48.275
2017-04-13,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2018-04-13,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2019-04-13,59.5,59.0,59.375,58.625,58.53125,59.0,59.15625,59.15625,59.21875,59.15625,59.09375
2020-04-13,71.40625,71.1875,71.15625,71.5,71.1875,71.53125,71.1875,71.5,70.9375,71.1875,71.1875
2021-04-13,103.5,103.75,103.125,103.375,103.46875,103.15625,103.21875,103.28125,103.71875,102.9375,103.25625
2022-04-13,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2004-04-16,110.71875,110.3125,110.71875,110.90625,110.4375,111.1875,110.21875,111.125,110.625,110.03125,110.55
2005-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
