ValidTime,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,percentile_40.0
2004-04-03,26.03125,25.65625,25.65625,25.96875,25.6875,25.65625,26.03125,25.65625,25.78125,25.96875,25.675
2005-04-03,20.625,20.625,21.1875,20.625,20.625,20.75,20.65625,20.625,20.625,20.75,20.625
2006-04-03,22.34375,22.53125,22.34375,22.53125,22.34375,22.4375,22.46875,22.5625,23.59375,22.71875,22.45625
2007-04-03,17.34375,17.5625,17.6875,17.375,17.4375,17.34375,17.34375,17.375,17.34375,17.375,17.3625
2008-04-03,13.625,13.625,13.625,13.625,13.625,13.6875,13.625,13.625,13.625,13.625,13.625
2009-04-03,12.90625,13.65625,12.90625,18.1875,13.21875,13.09375,16.65625,12.875,17.46875,12.90625,13.01875
2010-04-03,14.53125,14.5625,14.53125,14.53125,14.53125,14.53125,14.53125,14.53125,14.65625,14.53125,14.53125
2011-04-03,20.8125,20.28125,19.8125,20.15625,19.84375,20.9375,20.125,19.875,19.8125,20.3125,20.025
2012-04-03,17.84375,15.84375,15.84375,15.84375,15.84375,16.28125,15.90625,16.21875,15.84375,15.84375,15.84375
2013-04-03,21.875,21.90625,21.875,21.9375,21.875,21.875,21.875,21.875,21.90625,21.875,21.875
2014-04-03,17.40625,17.375,17.375,17.46875,17.375,17.40625,17.5625,17.375,17.53125,17.375,17.375
2015-04-03,17.1875,17.1875,17.1875,17.1875,17.1875,17.1875,17.1875,17.1875,17.1875,17.1875,17.1875
2016-04-03,19.375,19.375,19.375,19.375,19.375,19.375,19.375,19.375,19.375,19.375,19.375
2017-04-03,16.34375,16.34375,16.34375,16.34375,16.5,16.375,16.34375,16.3125,16.34375,16.34375,16.34375
2018-04-03,16.84375,16.84375,16.84375,16.84375,16.84375,16.90625,16.84375,16.84375,16.84375,16.84375,16.84375
2019-04-03,18.03125,20.75,18.0,18.09375,18.5,18.3125,19.40625,18.21875,18.875,19.46875,18.275
2020-04-03,20.875,20.8125,20.46875,22.71875,20.46875,21.0625,21.0625,21.34375,20.75,21.71875,20.85
2021-04-03,19.8125,20.375,19.59375,21.46875,19.59375,19.625,19.8125,20.0,19.65625,19.9375,19.75
2022-04-03,15.5,15.5,15.46875,15.5,15.5,15.46875,15.46875,15.5,15.5,15.5,15.5
2004-04-06,26.65625,27.34375,29.9375,27.28125,24.9375,25.375,24.9375,27.34375,27.5625,26.75,26.7125
2005-04-06,20.3125,20.1875,20.21875,20.25,20.25,20.4375,20.28125,20.1875,20.59375,20.25,20.25
2006-04-06,21.9375,22.0,21.96875,21.90625,22.53125,22.0,21.96875,22.59375,22.0,21.90625,21.96875
2007-04-06,17.71875,17.125,17.28125,17.40625,17.15625,18.25,17.25,17.15625,17.125,17.1875,17.175
2008-04-06,13.09375,13.09375,13.09375,13.09375,13.09375,13.125,13.0625,13.09375,13.09375,13.09375,13.09375
2009-04-06,12.90625,14.09375,12.90625,13.28125,13.46875,12.90625,13.40625,12.90625,13.53125,12.84375,12.90625
2010-04-06,14.09375,14.09375,14.09375,14.09375,14.09375,14.09375,14.09375,14.09375,14.09375,14.09375,14.09375
2011-04-06,19.25,19.65625,19.25,19.25,19.34375,19.25,20.0,19.25,19.40625,19.25,19.25
2012-04-06,15.5625,15.625,15.46875,15.46875,15.53125,15.46875,15.5,15.65625,15.5,15.46875,15.4875
2013-04-06,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25
2014-04-06,16.96875,16.96875,17.0,16.96875,17.0,17.0,17.0,16.96875,16.96875,17.0,16.96875
2015-04-06,16.78125,16.8125,16.875,16.78125,16.78125,16.78125,16.78125,16.78125,16.78125,16.78125,16.78125
2016-04-06,18.84375,18.84375,18.84375,18.84375,18.84375,18.84375,18.84375,18.84375,18.84375,18.84375,18.84375
2017-04-06,15.90625,16.0625,16.125,16.03125,16.21875,16.0625,16.15625,15.9375,16.03125,15.90625,16.03125
2018-04-06,16.5625,17.375,16.59375,17.03125,16.4375,16.46875,16.5,16.5625,16.5,16.4375,16.5
2019-04-06,17.84375,18.625,17.15625,17.75,17.03125,16.96875,17.125,17.09375,17.40625,16.9375,17.1125
2020-04-06,19.90625,19.875,19.75,20.0,19.875,19.75,19.96875,19.90625,19.8125,19.8125,19.85
2021-04-06,19.0,19.34375,19.65625,19.03125,19.15625,19.0625,19.0,19.46875,19.3125,19.0,19.05
2022-04-06,15.125,15.09375,15.09375,15.125,15.09375,15.09375,15.125,15.125,15.09375,15.09375,15.09375
2004-04-10,25.09375,24.875,24.90625,25.4375,25.15625,24.90625,24.9375,24.96875,24.78125,25.09375,24.925
2005-04-10,19.59375,19.65625,19.65625,19.625,19.625,19.65625,20.25,19.59375,19.59375,19.59375,19.6125
2006-04-10,21.9375,21.09375,21.5625,21.0625,21.03125,21.03125,21.03125,21.8125,21.125,21.03125,21.05
2007-04-10,16.65625,16.65625,16.65625,16.65625,16.65625,16.65625,16.65625,16.65625,16.65625,16.65625,16.65625
2008-04-10,12.53125,12.53125,12.53125,12.53125,12.53125,12.53125,12.53125,12.53125,12.53125,12.59375,12.53125
2009-04-10,12.09375,12.0,12.03125,12.0,12.0,12.03125,12.0,12.5,12.0625,12.125,12.01875
2010-04-10,13.5,13.5,13.5,13.5,13.59375,13.5,13.5,13.5,13.5,13.625,13.5
2011-04-10,18.4375,18.46875,18.5625,18.4375,18.46875,18.4375,18.4375,18.5,18.46875,18.4375,18.4375
2012-04-10,15.0,15.125,15.0625,15.09375,15.25,15.03125,15.03125,15.15625,15.40625,15.09375,15.08125
2013-04-10,20.71875,20.46875,20.46875,20.46875,20.46875,20.46875,20.46875,20.46875,20.46875,23.8125,20.46875
2014-04-10,16.5,16.5,16.625,16.46875,16.53125,16.46875,16.5,16.5625,16.53125,16.46875,16.5
2015-04-10,16.3125,16.3125,16.3125,16.34375,16.3125,16.3125,16.34375,16.3125,16.3125,16.34375,16.3125
2016-04-10,18.125,18.15625,18.125,18.125,18.125,18.15625,18.125,18.125,18.15625,18.15625,18.125
2017-04-10,15.40625,15.40625,15.40625,15.40625,15.40625,15.40625,15.40625,15.40625,15.40625,15.40625,15.40625
2018-04-10,15.96875,15.9375,15.96875,16.03125,15.96875,16.0,15.96875,16.0,16.0625,16.0625,15.96875
2019-04-10,18.1875,17.59375,17.9375,17.6875,18.0625,19.28125,18.21875,18.03125,18.59375,17.8125,17.99375
2020-04-10,18.8125,18.8125,18.8125,18.8125,18.8125,18.8125,18.8125,18.84375,18.84375,18.8125,18.8125
2021-04-10,18.15625,18.15625,18.15625,18.15625,18.15625,18.15625,18.15625,18.15625,18.15625,18.15625,18.15625
2022-04-10,14.59375,14.59375,14.59375,14.625,14.59375,14.59375,14.59375,14.59375,14.59375,14.59375,14.59375
2004-04-13,23.6875,23.6875,23.6875,23.78125,23.6875,23.6875,23.6875,23.6875,23.6875,23.6875,23.6875
2005-04-13,19.28125,19.15625,19.15625,19.25,19.1875,19.15625,19.1875,19.25,19.53125,19.28125,19.1875
2006-04-13,20.71875,24.125,20.53125,20.5625,20.59375,22.40625,20.46875,20.59375,20.5,21.34375,20.58125
2007-04-13,16.28125,16.28125,16.3125,16.28125,16.28125,16.3125,16.28125,16.28125,16.5,16.28125,16.28125
2008-04-13,12.15625,12.15625,12.15625,12.15625,12.15625,12.15625,12.15625,12.15625,12.15625,12.15625,12.15625
2009-04-13,11.4375,11.4375,11.4375,11.4375,11.4375,11.5,11.4375,11.4375,11.4375,11.4375,11.4375
2010-04-13,13.125,13.125,13.125,13.125,13.125,13.125,13.125,13.125,13.125,13.125,13.125
2011-04-13,17.875,18.15625,17.90625,18.625,17.96875,17.96875,18.09375,17.9375,18.3125,17.90625,17.95625
2012-04-13,15.875,14.75,14.65625,14.65625,15.0,14.65625,14.84375,14.65625,15.0625,14.65625,14.65625
2013-04-13,23.25,23.71875,20.03125,21.34375,22.875,20.4375,20.03125,21.90625,23.40625,20.53125,21.01875
2014-04-13,16.09375,16.09375,16.09375,16.09375,16.09375,16.09375,16.09375,16.09375,16.09375,16.09375,16.09375
2015-04-13,16.125,16.0,16.03125,16.0,16.21875,16.0,16.375,16.03125,16.03125,16.03125,16.03125
2016-04-13,17.625,17.625,17.625,17.96875,17.625,17.625,17.625,17.625,17.625,17.625,17.625
2017-04-13,15.15625,15.125,15.0,15.0,15.09375,15.0,15.0,15.0,15.0,15.0,15.0
2018-04-13,16.90625,16.0,15.8125,15.65625,16.90625,18.59375,15.75,15.75,17.3125,17.8125,15.925
2019-04-13,15.96875,15.96875,15.96875,15.96875,15.96875,15.96875,15.96875,15.96875,15.96875,15.96875,15.96875
2020-04-13,18.21875,18.1875,18.1875,18.1875,18.25,18.1875,18.1875,18.1875,18.1875,18.1875,18.1875
2021-04-13,17.59375,18.25,17.625,17.6875,17.59375,17.59375,17.59375,17.71875,17.59375,17.8125,17.59375
2022-04-13,14.34375,14.28125,14.4375,14.28125,14.28125,14.625,14.34375,14.28125,14.28125,14.375,14.28125
2004-04-17,22.6875,22.8125,23.34375,23.28125,27.125,23.3125,24.84375,25.09375,22.6875,23.5,23.3
2005-04-17,18.59375,19.03125,18.625,18.59375,18.59375,18.625,18.625,19.78125,18.625,18.625,18.625
2006-04-17,20.46875,20.5,20.75,20.46875,20.46875,21.4375,20.46875,20.84375,20.5,20.46875,20.46875
2007-04-17,15.84375,15.90625,15.84375,15.84375,15.84375,15.84375,15.875,15.84375,15.84375,15.84375,15.84375
2008-04-17,11.65625,11.6875,11.6875,11.65625,11.65625,11.65625,11.6875,11.65625,11.65625,11.65625,11.65625
2009-04-17,10.78125,10.78125,10.78125,10.78125,10.78125,10.78125,10.78125,10.78125,10.78125,10.78125,10.78125
2010-04-17,12.625,13.59375,12.59375,12.59375,12.59375,12.59375,12.78125,12.625,12.59375,12.78125,12.59375
2011-04-17,17.6875,18.375,18.40625,18.25,17.8125,17.625,18.625,17.59375,18.21875,19.28125,18.05625
2012-04-17,18.46875,18.90625,14.28125,20.4375,15.25,16.0,17.78125,16.6875,16.15625,16.78125,16.475
2013-04-17,19.40625,19.46875,19.375,19.375,19.5,19.40625,19.40625,19.65625,20.09375,19.40625,19.40625
2014-04-17,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625
2015-04-17,15.5,15.65625,15.53125,15.59375,15.59375,15.53125,15.53125,15.59375,15.625,16.21875,15.56875
2016-04-17,17.21875,16.96875,17.28125,17.0625,17.1875,16.9375,16.96875,16.96875,17.09375,16.96875,16.96875
2017-04-17,14.40625,14.375,14.40625,14.40625,14.6875,14.375,14.875,14.40625,14.40625,14.375,14.40625
2018-04-17,15.71875,17.25,16.96875,16.375,16.46875,16.0,17.625,16.34375,16.78125,16.5,16.43125
2019-04-17,14.8125,14.8125,14.8125,14.8125,14.8125,14.78125,14.8125,14.8125,14.8125,14.8125,14.8125
2020-04-17,18.28125,18.0625,20.375,17.78125,19.78125,17.8125,19.125,20.8125,18.1875,17.71875,18.1375
2021-04-17,16.875,16.90625,16.90625,17.34375,17.9375,16.96875,16.875,16.90625,17.0625,17.1875,16.90625
2022-04-17,13.96875,13.90625,14.21875,13.84375,13.84375,13.84375,13.84375,13.84375,13.84375,14.0625,13.84375
2004-04-20,26.03125,27.1875,28.8125,24.6875,25.46875,23.84375,22.8125,26.28125,24.71875,25.375,25.1125
2005-04-20,18.5625,19.21875,18.65625,18.34375,18.875,20.03125,19.28125,18.5625,18.5,19.03125,18.61875
2006-04-20,19.78125,20.09375,20.46875,20.15625,19.8125,19.75,19.9375,19.96875,19.75,19.71875,19.8
2007-04-20,15.53125,15.5,16.4375,15.46875,15.53125,15.46875,15.5,15.46875,15.5,15.46875,15.4875
2008-04-20,11.40625,11.34375,11.59375,11.4375,11.8125,12.5625,11.3125,11.375,11.375,11.3125,11.375
2009-04-20,10.34375,10.375,10.375,10.34375,10.375,10.375,10.34375,10.375,10.40625,10.375,10.375
2010-04-20,12.28125,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25
2011-04-20,17.125,17.125,17.71875,17.78125,17.40625,17.09375,17.5,17.4375,17.59375,17.5,17.425
2012-04-20,14.5625,16.3125,14.96875,15.3125,15.09375,15.21875,14.96875,14.6875,15.53125,15.0,14.9875
2013-04-20,18.9375,18.9375,20.34375,18.96875,19.25,18.6875,21.5,19.0,19.71875,19.40625,18.9875
2014-04-20,15.25,15.4375,15.25,15.25,15.25,15.25,15.25,15.59375,15.34375,15.25,15.25
2015-04-20,16.90625,15.3125,15.59375,15.3125,15.1875,15.1875,15.21875,15.1875,15.1875,15.875,15.20625
2016-04-20,16.59375,17.21875,16.6875,16.5625,16.75,16.53125,16.5625,16.625,16.875,16.53125,16.58125
2017-04-20,14.0,13.96875,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2018-04-20,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375
2019-04-20,14.125,14.125,14.125,14.125,14.125,14.1875,14.125,14.125,14.125,14.125,14.125
2020-04-20,21.84375,18.46875,19.53125,20.03125,18.8125,18.53125,20.4375,18.6875,23.40625,19.25,19.075
2021-04-20,19.5,17.09375,16.28125,17.25,16.5625,18.1875,16.90625,16.75,18.78125,17.53125,17.01875
2022-04-20,13.5,13.5,13.46875,13.46875,13.5,13.5,13.46875,13.5,13.5,13.46875,13.4875
2004-04-24,23.4375,21.9375,22.3125,23.03125,25.90625,23.25,24.09375,23.53125,22.125,24.125,23.1625
2005-04-24,18.09375,18.09375,18.09375,18.09375,18.09375,18.09375,18.09375,18.09375,18.125,18.125,18.09375
2006-04-24,23.375,20.875,19.53125,25.625,23.3125,22.90625,23.5,23.90625,21.34375,22.34375,22.68125
2007-04-24,15.03125,15.03125,15.03125,15.0625,15.0625,15.0625,15.03125,15.03125,15.03125,15.03125,15.03125
2008-04-24,10.90625,11.5625,11.0,11.34375,10.96875,11.21875,11.71875,11.9375,10.90625,10.90625,10.9875
2009-04-24,10.0625,10.0625,9.9375,9.96875,10.8125,10.25,9.875,9.96875,9.875,10.09375,9.96875
2010-04-24,12.46875,13.21875,13.1875,12.90625,13.34375,16.625,11.9375,14.3125,12.53125,12.125,12.75625
2011-04-24,16.65625,20.5625,16.71875,17.09375,17.0625,16.375,16.375,17.5,17.40625,19.96875,16.925
2012-04-24,13.75,13.78125,13.875,13.75,13.75,13.75,13.75,13.78125,13.78125,13.75,13.75
2013-04-24,17.9375,17.9375,17.9375,17.9375,17.9375,17.9375,17.9375,17.9375,17.9375,18.0,17.9375
2014-04-24,15.09375,15.0625,15.09375,15.0625,15.09375,15.0625,15.0625,15.0625,15.0625,15.09375,15.0625
2015-04-24,14.75,14.71875,14.75,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875
2016-04-24,15.9375,15.9375,15.9375,16.21875,15.96875,16.1875,16.0,15.9375,15.9375,15.96875,15.9375
2017-04-24,13.5,13.5,13.5,13.59375,13.59375,13.84375,13.5,13.5,13.5,13.5,13.5
2018-04-24,14.625,14.59375,14.625,14.625,14.625,14.625,14.625,14.625,14.625,14.625,14.625
2019-04-24,13.375,13.375,13.46875,13.375,13.75,13.375,13.375,13.375,13.375,13.375,13.375
2020-04-24,17.34375,17.375,17.6875,17.3125,17.3125,17.4375,17.59375,17.375,17.59375,17.34375,17.3625
2021-04-24,15.71875,16.75,15.71875,15.71875,16.84375,15.6875,15.71875,15.65625,15.6875,15.6875,15.70625
2022-04-24,13.28125,15.03125,13.0625,13.0625,15.5,13.1875,13.0625,13.1875,13.46875,13.125,13.1625
2004-04-27,21.03125,22.0625,23.59375,21.4375,21.125,24.25,21.0,21.28125,21.84375,21.09375,21.21875
2005-04-27,17.53125,17.5625,17.53125,17.53125,17.53125,17.53125,17.53125,17.53125,17.53125,17.53125,17.53125
2006-04-27,23.15625,22.28125,22.75,22.65625,23.71875,22.28125,22.84375,21.625,22.40625,23.09375,22.55625
2007-04-27,14.71875,14.75,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875
2008-04-27,12.96875,12.3125,13.03125,11.1875,13.5625,12.21875,11.5625,11.0625,11.3125,11.15625,11.4625
2009-04-27,9.59375,9.53125,9.71875,9.59375,9.5625,9.5625,9.59375,9.625,9.65625,9.5625,9.58125
2010-04-27,13.71875,13.625,13.375,13.71875,13.90625,13.09375,12.78125,13.90625,13.78125,12.5625,13.525
2011-04-27,18.15625,16.6875,16.625,15.90625,15.96875,17.625,17.625,16.25,17.375,16.15625,16.475
2012-04-27,13.625,13.71875,13.375,13.375,14.21875,13.65625,13.3125,13.3125,13.3125,14.28125,13.375
2013-04-27,17.34375,17.34375,17.375,17.375,17.34375,17.375,17.34375,17.34375,17.34375,17.34375,17.34375
2014-04-27,14.78125,14.84375,15.0,14.84375,14.71875,14.6875,17.0625,14.6875,14.71875,14.6875,14.71875
2015-04-27,15.125,16.65625,15.375,14.5,15.15625,14.4375,14.46875,16.21875,14.46875,17.5625,14.875
2016-04-27,15.84375,18.65625,16.0,17.3125,16.59375,15.6875,16.65625,15.71875,16.21875,16.25,16.13125
2017-04-27,13.1875,13.21875,13.1875,13.1875,13.1875,13.1875,13.1875,13.1875,13.1875,13.1875,13.1875
2018-04-27,14.1875,14.1875,14.1875,14.1875,14.34375,14.1875,14.1875,14.1875,14.1875,14.1875,14.1875
2019-04-27,12.875,12.875,12.875,12.875,12.875,12.875,12.875,12.875,12.875,12.875,12.875
2020-04-27,18.59375,18.8125,18.71875,16.6875,16.25,17.09375,18.6875,17.40625,18.71875,17.4375,17.425
2021-04-27,15.15625,15.1875,15.15625,15.1875,15.25,15.1875,15.15625,15.1875,17.21875,15.15625,15.175
2022-04-27,12.6875,12.6875,12.71875,12.6875,12.6875,12.6875,12.75,12.71875,12.6875,12.78125,12.6875
2004-05-01,22.34375,23.15625,22.875,25.09375,23.375,23.15625,27.3125,22.6875,22.09375,24.09375,23.04375
2005-05-01,16.96875,16.96875,17.0,16.96875,17.0,17.0625,17.03125,16.96875,17.03125,17.34375,16.9875
2006-05-01,22.125,21.125,20.28125,24.1875,20.125,20.875,20.4375,21.90625,21.125,22.03125,21.025
2007-05-01,14.28125,14.3125,14.28125,14.28125,14.28125,14.375,14.3125,14.34375,14.3125,14.3125,14.3
2008-05-01,11.03125,11.28125,10.90625,12.34375,10.90625,10.875,11.03125,11.3125,11.6875,11.15625,11.03125
2009-05-01,9.125,9.125,9.125,9.125,9.125,9.15625,9.125,9.125,9.09375,9.125,9.125
2010-05-01,11.96875,15.8125,17.15625,12.3125,17.125,15.53125,15.0,15.4375,15.46875,13.875,15.2625
2011-05-01,20.6875,21.78125,16.40625,17.78125,16.375,17.28125,16.1875,19.875,19.96875,23.5625,17.58125
2012-05-01,13.09375,14.09375,14.625,13.25,13.09375,14.46875,13.15625,13.5625,13.65625,13.84375,13.4375
2013-05-01,16.71875,16.71875,16.71875,16.71875,16.71875,16.71875,16.71875,16.71875,16.71875,16.71875,16.71875
2014-05-01,14.5625,14.59375,14.59375,15.03125,14.8125,14.59375,14.59375,14.5625,15.0,14.5625,14.59375
2015-05-01,14.5,16.0625,14.34375,14.34375,14.875,15.6875,14.46875,14.4375,14.4375,15.1875,14.45625
2016-05-01,17.40625,17.03125,18.0,16.84375,18.90625,17.375,17.53125,17.28125,17.40625,17.1875,17.3375
2017-05-01,13.09375,12.71875,12.9375,12.75,12.84375,12.75,13.4375,13.28125,13.125,12.8125,12.83125
2018-05-01,13.6875,13.6875,13.6875,13.6875,13.6875,13.65625,13.65625,13.6875,13.6875,13.6875,13.6875
2019-05-01,12.34375,12.46875,12.46875,12.34375,12.53125,12.375,12.34375,12.4375,12.90625,12.5,12.4125
2020-05-01,16.71875,19.375,17.25,17.0,16.53125,17.9375,17.5625,16.8125,17.1875,17.15625,17.09375
2021-05-01,14.5625,14.5625,14.5625,14.5625,14.5625,14.5625,14.5625,14.59375,14.5625,14.5625,14.5625
2022-05-01,12.25,12.28125,12.25,12.3125,12.28125,12.28125,12.28125,12.28125,12.28125,12.28125,12.28125
2004-05-04,22.9375,23.25,21.71875,24.5625,23.34375,22.21875,23.5,22.53125,22.84375,22.78125,22.81875
2005-05-04,16.6875,17.1875,18.3125,16.59375,16.625,16.6875,16.625,17.1875,16.71875,16.625,16.6625
2006-05-04,18.78125,21.28125,18.9375,18.9375,19.65625,18.875,18.875,21.53125,18.9375,18.90625,18.925
2007-05-04,14.28125,14.25,14.34375,14.125,15.09375,14.96875,14.1875,15.0,14.5625,14.53125,14.31875
2008-05-04,14.78125,10.875,12.4375,10.9375,12.03125,10.96875,13.03125,10.875,10.75,11.5,10.95625
2009-05-04,8.78125,8.9375,8.84375,9.0625,8.78125,9.34375,8.78125,8.78125,8.78125,8.78125,8.78125
2010-05-04,13.40625,14.96875,14.4375,17.65625,14.375,13.6875,12.875,16.53125,12.46875,16.84375,14.1
2011-05-04,18.15625,16.5625,16.65625,16.03125,16.03125,16.6875,17.3125,15.9375,17.03125,15.84375,16.35
2012-05-04,13.65625,14.125,13.65625,13.21875,14.59375,12.8125,12.5625,14.84375,12.96875,13.375,13.3125
2013-05-04,16.28125,16.28125,16.3125,16.28125,16.28125,16.28125,16.3125,16.28125,16.28125,16.28125,16.28125
2014-05-04,14.15625,14.5625,16.4375,15.21875,18.1875,14.34375,16.0,14.78125,14.21875,14.28125,14.475
2015-05-04,14.5,15.8125,15.1875,15.125,14.96875,14.34375,15.71875,16.8125,16.84375,14.875,15.0625
2016-05-04,16.40625,19.65625,17.09375,16.34375,17.09375,16.5,17.0625,16.34375,16.90625,17.3125,16.74375
2017-05-04,12.4375,13.3125,13.28125,12.46875,13.125,13.59375,13.25,13.21875,12.75,12.71875,12.975
2018-05-04,13.3125,13.3125,13.6875,13.3125,13.375,13.3125,13.3125,13.3125,13.3125,13.3125,13.3125
2019-05-04,13.03125,12.21875,14.15625,12.34375,13.53125,12.71875,12.625,12.75,12.71875,13.21875,12.71875
2020-05-04,15.53125,15.53125,15.5625,16.34375,16.34375,15.625,15.59375,16.15625,15.9375,16.125,15.6125
2021-05-04,14.1875,14.21875,14.125,14.3125,15.125,14.34375,14.15625,14.125,14.46875,14.125,14.175
2022-05-04,14.375,12.625,14.375,11.9375,11.9375,11.96875,12.125,12.25,11.9375,12.8125,12.0625
2004-05-08,20.125,20.1875,20.90625,20.125,20.09375,20.09375,20.125,20.09375,20.125,21.1875,20.125
2005-05-08,16.125,16.125,16.125,16.125,16.15625,16.09375,16.125,16.15625,16.125,16.09375,16.125
2006-05-08,18.8125,18.8125,18.84375,18.8125,18.8125,18.90625,18.8125,18.8125,18.8125,18.8125,18.8125
2007-05-08,22.46875,14.0625,14.4375,14.6875,15.125,15.875,14.09375,16.0625,13.9375,17.84375,14.5875
2008-05-08,14.5625,13.5,14.90625,12.4375,11.03125,13.625,12.75,12.875,12.46875,10.75,12.6375
2009-05-08,8.46875,8.59375,8.46875,8.78125,8.59375,8.53125,8.46875,8.4375,8.46875,8.46875,8.46875
2010-05-08,13.59375,15.21875,14.875,13.53125,15.25,13.0625,13.25,13.3125,14.125,15.5625,13.56875
