ValidTime,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,percentile_40.0
2004-04-01,205.09375,200.9375,202.6875,206.34375,202.0625,208.90625,203.8125,203.0,202.96875,205.65625,202.9875
2005-04-01,235.3125,234.5,235.53125,234.75,234.90625,235.0625,234.96875,235.03125,235.8125,235.25,235.00625
2006-04-01,193.4375,194.28125,194.78125,193.21875,194.125,194.125,194.9375,194.0625,193.03125,194.625,194.1
2007-04-01,173.6875,175.21875,174.71875,173.96875,176.03125,173.8125,174.15625,177.125,174.9375,174.71875,174.49375
2008-04-01,188.5625,188.96875,188.21875,188.71875,188.34375,189.5625,189.625,189.71875,190.0625,189.0625,188.86875
2009-04-01,188.84375,188.90625,187.8125,195.1875,189.46875,188.84375,189.90625,187.59375,192.3125,188.28125,188.84375
2010-04-01,182.125,182.09375,182.09375,182.46875,182.375,182.9375,182.65625,182.46875,182.3125,182.8125,182.35
2011-04-01,197.1875,195.40625,195.0625,195.03125,194.75,196.09375,195.40625,196.09375,195.0625,196.15625,195.26875
2012-04-01,172.15625,171.28125,171.03125,171.65625,170.6875,176.03125,173.0625,174.375,170.875,174.75,171.50625
2013-04-01,197.34375,197.5625,197.46875,200.03125,197.96875,197.4375,197.21875,197.71875,199.8125,197.59375,197.525
2014-04-01,166.6875,167.25,166.96875,167.3125,167.0625,167.0,167.125,167.15625,166.625,166.78125,166.9875
2015-04-01,177.6875,177.5625,177.75,177.9375,177.84375,177.71875,177.78125,177.96875,178.15625,177.34375,177.7375
2016-04-01,172.71875,172.59375,172.21875,172.09375,172.125,172.40625,172.03125,172.3125,172.1875,172.53125,172.20625
2017-04-01,180.78125,180.15625,179.5,180.21875,180.0,179.53125,179.46875,178.25,179.125,180.40625,179.51875
2018-04-01,186.03125,186.15625,186.28125,185.75,185.71875,186.9375,186.0,186.3125,185.875,186.125,186.01875
2019-04-01,182.03125,203.65625,184.5,185.34375,185.1875,184.6875,186.03125,183.15625,182.5,187.53125,184.6125
2020-04-01,173.125,171.5,168.96875,180.53125,176.15625,176.25,170.59375,170.96875,171.5625,178.3125,171.5375
2021-04-01,166.9375,167.15625,166.34375,166.9375,167.0,166.9375,167.0625,166.8125,167.09375,166.8125,166.9375
2022-04-01,168.0625,167.1875,166.25,166.3125,166.09375,166.15625,165.71875,166.90625,166.34375,167.1875,166.2875
2004-04-04,240.25,211.6875,210.125,241.8125,224.3125,234.09375,228.375,211.1875,211.0,209.4375,211.4875
2005-04-04,229.53125,230.15625,230.375,230.0625,230.53125,229.375,229.75,230.4375,230.03125,229.625,229.91875
2006-04-04,204.1875,204.34375,203.46875,203.75,203.15625,205.125,203.0625,203.78125,203.78125,203.375,203.6375
2007-04-04,173.59375,173.65625,173.25,173.90625,173.21875,174.125,173.96875,174.4375,173.0,173.4375,173.53125
2008-04-04,184.21875,186.78125,185.5625,186.0,185.875,186.9375,185.90625,185.9375,186.375,186.03125,185.925
2009-04-04,191.46875,193.1875,192.71875,190.90625,191.90625,191.4375,191.15625,191.375,194.125,191.125,191.4125
2010-04-04,179.96875,179.84375,180.15625,179.75,180.15625,180.21875,180.25,180.28125,180.0,180.03125,180.01875
2011-04-04,194.78125,194.9375,194.3125,194.21875,195.25,194.15625,195.0625,194.875,194.875,194.375,194.61875
2012-04-04,172.46875,172.375,172.5,172.0,172.8125,172.34375,172.65625,172.5,172.5,172.71875,172.4875
2013-04-04,197.65625,197.15625,198.3125,197.4375,197.875,197.34375,197.4375,197.90625,197.78125,197.75,197.56875
2014-04-04,165.40625,166.3125,165.46875,164.15625,166.28125,165.0625,167.21875,164.59375,166.5,166.09375,165.44375
2015-04-04,176.40625,176.59375,176.875,176.21875,176.4375,176.84375,176.5,176.15625,176.3125,176.5625,176.425
2016-04-04,172.5,172.125,172.40625,172.5625,172.03125,172.1875,172.34375,172.09375,172.90625,172.21875,172.20625
2017-04-04,178.9375,178.28125,178.8125,178.6875,178.40625,178.59375,178.6875,177.96875,178.46875,178.53125,178.50625
2018-04-04,196.8125,192.28125,188.6875,187.59375,195.75,192.78125,202.8125,187.5625,189.6875,185.96875,189.2875
2019-04-04,188.15625,197.6875,187.4375,214.3125,186.96875,188.03125,193.96875,187.6875,187.0625,186.75,187.5875
2020-04-04,177.96875,177.4375,178.65625,178.40625,179.15625,178.53125,177.875,178.0,178.0,178.8125,178.0
2021-04-04,165.1875,165.4375,164.84375,164.5,164.96875,165.375,164.40625,165.5625,165.03125,164.65625,164.91875
2022-04-04,162.34375,162.09375,162.125,162.65625,162.53125,162.625,162.59375,162.03125,162.03125,161.75,162.1125
2004-04-08,221.03125,221.46875,223.5,221.90625,221.71875,221.78125,221.46875,221.71875,221.875,221.21875,221.61875
2005-04-08,237.6875,237.40625,238.34375,237.8125,237.90625,237.4375,237.1875,237.875,237.75,237.75,237.725
2006-04-08,199.59375,199.21875,198.90625,198.8125,199.59375,198.8125,199.59375,199.34375,199.71875,198.8125,199.09375
2007-04-08,173.25,173.03125,173.0625,173.78125,172.75,172.71875,173.15625,173.34375,172.875,173.28125,173.05
2008-04-08,180.4375,180.9375,181.125,180.65625,180.28125,180.59375,181.4375,180.65625,180.46875,180.84375,180.63125
2009-04-08,199.0,199.03125,198.78125,198.25,198.09375,198.90625,199.28125,199.6875,198.71875,198.875,198.8375
2010-04-08,176.96875,176.03125,176.40625,176.09375,176.40625,176.4375,176.46875,176.46875,175.84375,177.21875,176.40625
2011-04-08,195.0,194.65625,194.65625,194.25,194.34375,194.4375,194.3125,194.5,195.125,194.4375,194.4375
2012-04-08,172.53125,182.03125,172.125,172.375,173.78125,173.21875,172.46875,171.5625,173.3125,177.125,172.50625
2013-04-08,197.15625,196.5,196.8125,196.59375,196.6875,197.15625,196.59375,197.46875,196.65625,201.03125,196.675
2014-04-08,165.28125,165.09375,165.21875,164.375,164.5625,164.5,164.25,164.6875,165.53125,164.53125,164.55
2015-04-08,178.59375,174.90625,174.4375,174.53125,174.71875,173.90625,174.71875,174.0,174.78125,177.6875,174.64375
2016-04-08,171.71875,171.125,170.59375,170.5,171.3125,170.90625,171.75,170.4375,170.46875,178.5,170.78125
2017-04-08,183.875,179.15625,178.78125,179.4375,179.9375,178.71875,178.90625,179.15625,178.78125,178.84375,178.88125
2018-04-08,190.53125,189.8125,189.96875,191.03125,190.84375,190.625,190.75,191.1875,190.53125,190.5,190.53125
2019-04-08,184.5,184.0,185.28125,184.96875,185.5625,184.8125,185.125,184.5,184.875,184.28125,184.6875
2020-04-08,179.09375,179.90625,179.1875,180.0625,179.71875,179.625,179.3125,179.78125,179.6875,179.875,179.6625
2021-04-08,162.40625,162.75,162.5625,162.625,162.71875,162.28125,162.59375,162.625,162.59375,162.5,162.58125
2022-04-08,159.125,159.21875,159.3125,159.0625,159.125,159.5,159.5,158.8125,159.40625,157.9375,159.125
2004-04-11,219.5625,219.53125,218.71875,219.1875,220.65625,219.0625,219.40625,219.53125,218.96875,219.375,219.3
2005-04-11,243.40625,242.90625,243.125,243.28125,243.0,243.46875,242.90625,243.125,243.46875,243.40625,243.125
2006-04-11,196.15625,195.75,195.5,196.125,195.40625,196.8125,196.4375,195.5625,195.40625,195.625,195.6
2007-04-11,174.9375,174.46875,175.4375,174.0,174.5,174.5,174.4375,174.71875,175.46875,173.90625,174.4875
2008-04-11,178.15625,177.4375,177.34375,177.90625,177.6875,177.5625,177.75,177.75,177.3125,177.5,177.5375
2009-04-11,198.75,198.75,198.0625,197.75,197.59375,198.25,197.96875,198.59375,197.90625,198.21875,198.025
2010-04-11,173.96875,174.21875,174.03125,174.125,174.1875,174.25,174.40625,174.25,173.84375,173.90625,174.0875
2011-04-11,196.6875,205.21875,202.53125,203.625,199.625,198.21875,206.09375,198.375,200.59375,200.9375,200.20625
2012-04-11,179.375,170.8125,170.75,175.5625,171.0625,169.84375,172.875,170.8125,172.71875,171.8125,170.9625
2013-04-11,198.0,202.375,193.78125,199.0,196.5625,196.3125,197.03125,196.0,195.34375,198.84375,196.4625
2014-04-11,163.15625,163.75,163.34375,163.25,163.15625,163.71875,163.75,163.625,163.21875,163.40625,163.30625
2015-04-11,170.6875,170.84375,172.375,170.78125,170.90625,170.875,173.65625,174.5625,175.375,172.03125,170.89375
2016-04-11,175.75,175.125,175.65625,174.90625,175.28125,174.46875,175.5625,175.15625,174.96875,175.25,175.14375
2017-04-11,184.15625,181.34375,181.25,180.15625,181.6875,181.125,181.25,180.84375,181.09375,181.28125,181.2
2018-04-11,191.59375,191.65625,191.09375,191.65625,192.71875,195.28125,192.03125,191.5,194.15625,192.96875,191.65625
2019-04-11,185.53125,186.4375,185.4375,185.40625,185.59375,186.1875,185.84375,186.03125,186.0,186.0,185.74375
