ValidTime,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,percentile_40.0
2004-03-31,82.53125,82.0625,82.5625,85.875,82.28125,82.34375,82.78125,82.3125,83.375,89.5,82.45625
2005-03-31,112.84375,112.6875,112.84375,112.9375,112.78125,112.71875,112.90625,112.78125,112.84375,113.03125,112.81875
2006-03-31,76.15625,75.53125,75.53125,76.0625,75.40625,75.90625,77.375,75.5625,75.59375,75.53125,75.55
2007-03-31,54.21875,56.4375,54.3125,54.34375,56.9375,54.15625,54.375,54.71875,54.5625,54.3125,54.33125
2008-03-31,68.9375,68.90625,68.71875,68.96875,68.8125,68.90625,68.90625,68.9375,69.0,68.875,68.90625
2009-03-31,68.90625,69.5,68.40625,77.3125,69.03125,68.6875,70.5625,68.5625,74.84375,68.375,68.81875
2010-03-31,60.09375,60.09375,60.125,60.28125,60.21875,60.1875,60.28125,60.28125,60.3125,60.21875,60.20625
2011-03-31,73.34375,70.625,70.6875,70.71875,70.59375,71.5,70.875,70.78125,70.59375,70.71875,70.70625
2012-03-31,53.4375,51.90625,52.90625,52.4375,51.6875,59.40625,54.03125,57.875,51.75,55.34375,52.71875
2013-03-31,75.4375,75.53125,75.375,79.71875,75.40625,75.40625,75.25,75.34375,77.6875,75.40625,75.40625
2014-03-31,46.8125,46.8125,46.71875,46.78125,46.90625,46.9375,46.8125,46.875,46.71875,46.78125,46.8
2015-03-31,58.4375,58.53125,58.46875,58.59375,58.53125,58.5625,58.46875,58.59375,58.65625,58.5,58.51875
2016-03-31,53.71875,53.625,53.5625,53.6875,53.5625,53.65625,53.59375,53.5625,53.625,53.625,53.6125
2017-03-31,60.28125,60.28125,60.28125,60.28125,60.3125,60.4375,60.3125,59.96875,60.25,60.34375,60.28125
2018-03-31,66.25,66.125,66.15625,66.28125,66.28125,66.21875,66.125,66.25,66.1875,66.125,66.175
2019-03-31,64.96875,74.40625,68.9375,69.15625,66.96875,68.78125,69.28125,66.6875,65.46875,70.40625,68.05625
2020-03-31,57.46875,55.78125,52.09375,58.3125,60.59375,57.75,54.46875,55.6875,54.15625,58.0625,55.74375
2021-03-31,47.5,46.6875,47.4375,47.34375,46.65625,46.90625,46.625,46.53125,46.59375,46.78125,46.675
2022-03-31,49.03125,46.875,45.84375,45.78125,45.71875,45.84375,46.65625,46.0625,45.71875,47.375,45.84375
2004-04-03,102.71875,101.65625,95.65625,110.8125,101.6875,95.46875,112.5,93.40625,95.28125,91.84375,95.58125
2005-04-03,111.96875,112.0,112.15625,112.0,112.5,112.03125,112.09375,112.0,111.96875,111.96875,112.0
2006-04-03,86.78125,86.625,85.9375,86.21875,84.78125,87.40625,84.5,85.40625,85.21875,84.75,85.33125
2007-04-03,53.875,54.625,53.34375,54.125,53.46875,53.65625,54.34375,57.25,53.625,53.59375,53.64375
2008-04-03,64.4375,64.6875,64.625,64.59375,64.59375,64.59375,64.6875,64.625,64.59375,64.625,64.59375
2009-04-03,73.46875,75.78125,74.21875,73.375,75.21875,73.5625,73.53125,73.71875,78.5625,73.3125,73.55
2010-04-03,57.78125,57.90625,57.875,57.84375,57.78125,57.8125,57.9375,57.84375,57.875,57.9375,57.84375
2011-04-03,69.375,69.46875,69.125,69.28125,69.4375,69.125,69.78125,69.3125,69.625,69.1875,69.3
2012-04-03,52.78125,52.875,52.875,52.78125,52.8125,52.71875,52.78125,52.78125,52.78125,52.8125,52.78125
2013-04-03,75.78125,75.6875,75.65625,75.9375,76.0,75.6875,75.71875,75.6875,75.625,75.65625,75.6875
2014-04-03,45.5625,45.5,46.21875,46.4375,47.03125,45.6875,47.8125,45.46875,45.65625,46.75,45.675
2015-04-03,56.65625,56.8125,56.71875,56.65625,56.6875,56.875,56.6875,56.78125,56.75,56.71875,56.70625
2016-04-03,52.75,52.9375,52.9375,52.9375,52.84375,52.78125,52.84375,52.875,52.875,52.6875,52.84375
2017-04-03,59.09375,60.0625,59.15625,59.125,59.125,59.09375,59.09375,59.03125,59.03125,59.125,59.09375
2018-04-03,75.59375,70.84375,69.40625,69.3125,67.90625,77.875,77.03125,68.3125,73.96875,67.65625,69.36875
2019-04-03,67.25,66.90625,67.09375,67.875,66.875,66.8125,67.71875,66.9375,66.59375,66.5,66.89375
2020-04-03,60.1875,60.25,62.75,60.46875,61.28125,61.65625,61.09375,60.21875,60.5625,60.5,60.4875
2021-04-03,44.84375,45.5,45.0,44.8125,45.03125,44.90625,44.90625,45.34375,45.0,44.96875,44.94375
2022-04-03,42.375,42.21875,42.3125,42.53125,42.71875,42.34375,42.34375,42.25,42.28125,42.15625,42.3
2004-04-07,98.625,98.78125,102.59375,98.9375,98.71875,99.46875,98.59375,98.9375,98.875,98.75,98.76875
2005-04-07,119.65625,120.1875,119.75,120.1875,119.8125,119.625,119.75,119.71875,119.84375,120.0,119.75
2006-04-07,78.03125,78.125,77.96875,78.125,78.1875,77.90625,78.09375,78.09375,78.125,77.96875,78.06875
2007-04-07,54.5625,54.46875,54.5625,54.625,54.46875,54.46875,54.5625,54.46875,54.46875,54.84375,54.46875
2008-04-07,60.4375,60.5625,60.65625,60.5,60.375,60.5,60.59375,60.375,60.40625,60.625,60.475
2009-04-07,80.4375,79.75,79.8125,79.84375,79.75,79.84375,80.0,81.1875,79.875,80.46875,79.84375
2010-04-07,55.625,54.9375,55.125,55.0,55.09375,55.0625,55.03125,55.03125,55.0,56.125,55.03125
2011-04-07,73.84375,73.8125,74.65625,73.8125,73.6875,73.90625,73.84375,73.9375,73.75,73.78125,73.8125
2012-04-07,51.4375,53.15625,51.9375,52.71875,52.1875,52.8125,51.40625,51.375,52.125,52.09375,52.03125
2013-04-07,74.15625,75.1875,74.625,74.15625,74.15625,74.15625,73.90625,74.21875,74.0625,80.09375,74.15625
2014-04-07,45.5625,45.5,45.5,45.46875,45.46875,45.46875,45.5,45.46875,45.5625,45.46875,45.46875
2015-04-07,58.0625,54.5625,54.125,54.15625,54.125,54.0625,54.34375,53.9375,54.0625,59.5625,54.125
2016-04-07,55.0625,51.15625,52.25,52.15625,54.6875,51.96875,55.84375,50.40625,50.40625,57.5,52.08125
2017-04-07,62.09375,61.5625,61.53125,62.90625,62.25,61.5625,61.84375,61.59375,61.625,61.625,61.6125
2018-04-07,70.65625,70.59375,70.65625,71.125,70.65625,70.84375,70.65625,71.40625,70.84375,70.65625,70.65625
2019-04-07,66.3125,66.03125,67.875,66.15625,67.28125,66.25,67.09375,66.375,66.59375,66.40625,66.35
2020-04-07,60.78125,60.8125,60.65625,60.8125,60.6875,60.6875,60.78125,60.75,60.8125,60.78125,60.76875
2021-04-07,42.59375,42.71875,42.6875,42.625,42.59375,42.71875,42.59375,42.6875,42.71875,42.65625,42.64375
2022-04-07,41.5625,42.40625,41.5,41.53125,41.65625,41.4375,41.46875,41.53125,41.5,41.4375,41.5
2004-04-10,99.03125,98.9375,98.90625,98.9375,99.0,99.0,99.09375,99.09375,98.90625,98.9375,98.9375
2005-04-10,126.9375,126.9375,126.90625,127.84375,126.84375,126.875,126.875,126.84375,127.40625,127.0,126.89375
2006-04-10,74.71875,75.84375,74.53125,74.75,74.90625,78.3125,75.8125,75.25,75.03125,75.03125,74.98125
2007-04-10,55.875,55.90625,56.09375,55.9375,56.0,55.84375,56.0,55.78125,55.78125,55.84375,55.8625
2008-04-10,57.75,57.75,57.6875,57.5625,57.65625,57.75,57.78125,57.84375,57.65625,57.59375,57.675
2009-04-10,76.71875,77.5,76.5625,76.5625,76.5,76.875,76.625,76.65625,76.59375,76.65625,76.6125
2010-04-10,52.96875,53.53125,52.9375,53.53125,53.0,52.90625,53.03125,52.96875,53.34375,52.96875,52.96875
2011-04-10,73.125,81.9375,81.6875,83.4375,78.46875,76.125,88.15625,75.375,77.6875,80.78125,78.15625
2012-04-10,57.40625,51.96875,51.03125,60.375,50.9375,50.46875,54.84375,52.53125,54.65625,52.90625,52.30625
2013-04-10,78.5625,85.46875,71.25,79.03125,74.90625,75.53125,78.34375,75.4375,74.8125,79.28125,75.49375
2014-04-10,44.78125,44.84375,44.84375,44.8125,44.875,44.90625,45.0,44.875,44.875,44.90625,44.8625
2015-04-10,52.34375,52.59375,52.8125,52.53125,53.25,52.375,56.53125,58.40625,56.28125,52.625,52.6125
2016-04-10,54.125,54.03125,54.03125,54.03125,53.96875,54.0,54.125,53.96875,54.0,54.0625,54.01875
2017-04-10,63.65625,61.34375,61.25,61.1875,61.40625,61.1875,61.34375,61.1875,61.21875,61.5625,61.2375
2018-04-10,75.125,75.0625,75.0,75.9375,75.0625,75.6875,75.28125,75.03125,77.28125,75.375,75.1
2019-04-10,66.71875,67.125,67.46875,66.875,66.84375,67.21875,66.84375,66.84375,66.90625,67.0,66.8625
2020-04-10,57.8125,57.78125,57.875,57.8125,57.90625,57.875,57.84375,57.8125,57.90625,57.78125,57.8125
2021-04-10,41.75,41.8125,41.84375,41.84375,42.90625,41.75,41.78125,41.8125,41.65625,42.03125,41.8
2022-04-10,46.4375,43.15625,43.5625,40.625,45.15625,42.3125,42.59375,44.5,43.8125,43.34375,43.26875
