ValidTime,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,percentile_40.0
2004-04-03,194.625,191.71875,195.5625,201.375,191.96875,203.4375,198.71875,190.28125,208.84375,193.9375,194.35
2005-04-03,104.59375,106.40625,106.3125,106.90625,106.65625,108.40625,104.71875,107.71875,108.3125,104.75,106.36875
2006-04-03,83.96875,80.03125,84.25,79.25,80.25,86.1875,81.9375,81.0625,83.9375,84.875,81.5875
2007-04-03,83.40625,85.75,83.625,81.375,89.5625,83.90625,86.28125,88.09375,82.46875,80.875,83.5375
2008-04-03,77.5625,76.34375,76.25,77.46875,76.125,78.53125,79.59375,78.3125,81.59375,77.375,77.43125
2009-04-03,183.375,179.1875,177.125,185.59375,183.34375,181.78125,184.4375,179.90625,182.8125,179.75,181.03125
2010-04-03,82.625,82.5625,83.78125,83.3125,81.96875,84.28125,81.75,84.0,82.9375,83.59375,82.8125
2011-04-03,198.53125,195.5,194.4375,191.25,192.5625,199.21875,194.65625,196.40625,194.125,200.03125,194.56875
2012-04-03,114.6875,113.375,115.75,111.40625,116.8125,111.59375,112.28125,113.65625,113.53125,117.625,113.46875
2013-04-03,99.96875,99.5625,102.625,100.15625,98.96875,98.9375,101.09375,99.9375,100.1875,99.21875,99.7875
2014-04-03,93.53125,93.53125,89.09375,89.625,92.9375,92.65625,91.28125,88.875,89.375,88.6875,89.525
2015-04-03,67.84375,68.4375,69.9375,69.03125,70.1875,68.6875,69.0,69.09375,69.15625,68.71875,68.8875
2016-04-03,117.84375,118.9375,117.625,118.71875,118.9375,118.1875,117.78125,122.15625,121.8125,120.0625,118.50625
2017-04-03,83.5,87.0,88.59375,88.59375,87.875,86.21875,85.9375,85.96875,85.75,83.53125,85.95625
2018-04-03,32.15625,31.59375,34.0,32.1875,30.15625,28.6875,31.4375,33.0,33.125,32.8125,31.93125
2019-04-03,126.71875,131.3125,128.0625,136.625,132.625,132.8125,131.5,133.8125,128.5625,130.125,130.8375
2020-04-03,144.46875,143.59375,140.9375,148.6875,148.59375,142.34375,141.375,144.40625,143.65625,148.21875,143.63125
2021-04-03,179.96875,180.59375,179.71875,185.1875,183.21875,181.40625,181.28125,181.375,182.8125,181.125,181.21875
