ValidTime,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,percentile_40.0
2004-03-31,273.8125,273.40625,273.9375,274.40625,273.75,274.03125,274.03125,273.75,274.03125,273.75,273.7875
2005-03-31,190.65625,190.625,190.75,190.71875,190.71875,190.65625,190.6875,190.875,190.84375,190.75,190.70625
2006-03-31,194.34375,194.40625,194.5,194.21875,194.3125,194.6875,194.4375,194.5,194.34375,194.34375,194.34375
2007-03-31,210.84375,210.9375,210.9375,210.75,211.46875,210.71875,210.96875,211.21875,210.875,210.75,210.8625
2008-03-31,224.34375,224.4375,224.40625,224.5,224.46875,224.59375,224.4375,224.59375,224.65625,224.53125,224.45625
2009-03-31,269.65625,269.625,269.5,269.65625,269.75,269.5625,269.71875,269.375,270.46875,269.65625,269.64375
2010-03-31,231.5625,231.5625,231.5625,231.59375,231.59375,231.5625,231.625,231.625,231.625,231.625,231.58125
2011-03-31,302.75,302.6875,302.78125,302.625,302.46875,302.875,302.90625,302.65625,302.46875,302.78125,302.675
2012-03-31,235.15625,235.4375,234.84375,235.25,235.25,235.40625,235.3125,235.125,234.96875,235.71875,235.2125
2013-03-31,228.25,228.1875,228.3125,228.28125,228.15625,228.21875,228.375,228.3125,228.375,228.34375,228.26875
2014-03-31,233.4375,233.625,233.40625,233.53125,233.59375,233.40625,233.59375,233.53125,233.4375,233.46875,233.45625
2015-03-31,197.40625,197.3125,197.3125,197.25,197.28125,197.25,197.25,197.375,197.40625,197.15625,197.26875
2016-03-31,235.25,235.21875,235.3125,235.34375,235.28125,235.25,235.1875,235.375,235.21875,235.3125,235.25
2017-03-31,221.21875,221.375,221.34375,221.3125,221.25,221.21875,221.25,220.9375,221.125,221.1875,221.21875
2018-03-31,188.9375,188.78125,188.90625,188.84375,188.8125,188.875,188.84375,188.875,188.84375,188.84375,188.84375
2019-03-31,260.09375,261.78125,260.0625,260.75,261.71875,260.28125,261.0,260.25,260.3125,260.1875,260.26875
2020-03-31,260.28125,259.21875,259.09375,259.65625,259.3125,259.65625,259.1875,259.25,260.09375,259.53125,259.2875
2021-03-31,302.0625,302.1875,302.03125,302.125,302.15625,302.1875,302.09375,302.15625,302.1875,302.1875,302.14375
2022-03-31,259.0625,258.96875,258.78125,259.03125,259.8125,258.9375,258.84375,259.0,259.0,259.1875,258.9875
2004-04-03,272.625,273.0625,272.71875,273.6875,273.71875,271.875,276.90625,273.0,272.96875,273.84375,272.9875
2005-04-03,189.75,189.71875,189.65625,189.65625,189.8125,189.6875,189.75,189.75,189.8125,189.75,189.7375
2006-04-03,193.375,193.34375,193.3125,193.53125,193.3125,193.28125,193.65625,193.125,193.25,193.3125,193.3125
2007-04-03,210.40625,210.03125,209.6875,210.1875,209.53125,209.71875,209.71875,209.78125,209.6875,209.6875,209.70625
2008-04-03,222.84375,223.0625,223.03125,222.875,223.09375,223.125,223.0,223.0625,223.03125,223.15625,223.03125
2009-04-03,267.125,267.15625,267.09375,266.8125,266.875,267.125,267.0625,266.96875,266.96875,267.09375,267.025
2010-04-03,230.34375,230.28125,230.375,230.34375,230.34375,230.3125,230.40625,230.40625,230.40625,230.3125,230.34375
2011-04-03,300.625,300.65625,300.65625,300.6875,300.75,300.59375,300.71875,300.59375,300.65625,300.59375,300.64375
2012-04-03,233.875,233.875,233.96875,233.9375,234.0625,233.9375,233.875,233.9375,233.9375,234.0625,233.9375
2013-04-03,227.15625,227.0625,227.0625,227.125,227.21875,227.03125,227.0625,227.09375,227.125,227.1875,227.08125
2014-04-03,232.0625,232.34375,232.21875,232.21875,232.40625,232.0,232.5625,232.0,232.28125,232.5625,232.21875
2015-04-03,196.125,196.09375,196.125,196.1875,196.15625,196.3125,196.15625,196.09375,196.1875,196.1875,196.14375
2016-04-03,233.71875,233.6875,233.8125,233.78125,233.84375,233.625,233.71875,233.875,233.8125,233.84375,233.75625
2017-04-03,220.125,220.09375,220.0625,220.15625,220.15625,220.03125,220.09375,220.0625,220.09375,220.0,220.08125
2018-04-03,196.96875,188.875,190.1875,189.375,190.375,188.84375,190.78125,190.78125,190.125,188.75,189.825
2019-04-03,258.5625,258.6875,258.5625,258.75,258.34375,258.53125,258.875,258.46875,258.625,258.15625,258.55
2020-04-03,257.375,257.1875,257.21875,257.34375,257.4375,257.21875,257.21875,257.28125,257.28125,257.28125,257.25625
2021-04-03,299.90625,299.96875,299.875,299.78125,299.84375,299.9375,299.84375,299.84375,300.0,299.90625,299.8625
2022-04-03,257.40625,257.21875,257.34375,257.3125,257.375,257.375,257.3125,257.15625,257.40625,257.1875,257.3125
