ValidTime,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,percentile_40.0
2004-04-03,146.84375,149.78125,149.59375,149.8125,149.5,150.1875,150.46875,149.4375,151.1875,149.09375,149.55625
2005-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-03,113.75,111.78125,110.25,112.875,112.875,113.15625,110.90625,112.0625,112.09375,109.6875,111.95
2010-04-03,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2011-04-03,152.0625,152.53125,151.75,149.21875,153.71875,152.15625,153.0625,152.21875,154.65625,154.625,152.19375
2012-04-03,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2013-04-03,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2014-04-03,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2015-04-03,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2016-04-03,56.9375,57.40625,56.25,57.59375,56.53125,57.25,56.6875,57.8125,58.25,57.5,57.125
2017-04-03,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2018-04-03,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2019-04-03,81.65625,82.375,81.59375,83.21875,80.34375,78.78125,81.5625,80.1875,81.78125,80.40625,81.1
2020-04-03,83.4375,82.65625,82.625,84.625,85.28125,83.46875,83.96875,83.34375,83.09375,83.875,83.4
2021-04-03,135.25,134.6875,134.625,137.15625,136.0,135.90625,135.59375,135.6875,136.28125,135.4375,135.53125
2022-04-03,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2004-04-06,142.875,140.625,140.9375,141.15625,141.15625,140.21875,141.34375,143.59375,142.375,141.34375,141.15625
2005-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-06,115.53125,114.6875,115.46875,115.0,115.5,116.03125,114.9375,115.0625,115.53125,115.21875,115.15625
2010-04-06,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2011-04-06,149.65625,149.59375,151.375,148.4375,150.5,149.125,150.8125,150.25,150.75,147.875,149.63125
2012-04-06,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2013-04-06,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2014-04-06,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2015-04-06,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
2016-04-06,55.9375,56.71875,56.34375,56.03125,55.59375,55.53125,55.6875,56.125,56.25,57.40625,55.99375
2017-04-06,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2018-04-06,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2019-04-06,76.65625,76.65625,76.09375,76.84375,76.875,74.4375,75.875,77.53125,76.84375,75.84375,76.43125
2020-04-06,82.21875,84.09375,84.25,83.25,85.4375,82.0,82.6875,82.28125,82.84375,83.96875,82.78125
2021-04-06,129.40625,128.28125,128.28125,129.78125,129.0,127.96875,129.375,127.875,127.84375,127.4375,128.15625
2022-04-06,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
2004-04-10,128.4375,129.59375,128.96875,129.65625,129.34375,128.125,130.0625,128.8125,131.71875,128.5,128.90625
2005-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-10,115.40625,114.78125,115.78125,114.65625,115.28125,115.5,114.71875,116.0625,115.40625,115.15625,115.23125
2010-04-10,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
