ValidTime,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,percentile_40.0
2004-03-30,13.59375,13.5625,13.59375,13.75,13.59375,13.5625,13.625,13.59375,13.59375,13.78125,13.59375
2005-03-30,23.0625,22.96875,23.03125,22.96875,22.96875,22.96875,22.9375,23.0,22.96875,23.0,22.96875
2006-03-30,14.15625,14.0625,14.09375,14.09375,14.09375,14.09375,14.09375,14.09375,14.125,14.0625,14.09375
2007-03-30,10.09375,10.125,10.09375,10.09375,10.21875,10.125,10.15625,10.125,10.1875,10.125,10.125
2008-03-30,10.65625,10.65625,10.65625,10.6875,10.6875,10.65625,10.65625,10.6875,10.65625,10.625,10.65625
2009-03-30,12.53125,12.5625,12.5,12.8125,12.59375,12.53125,12.65625,12.5,12.875,12.5,12.53125
2010-03-30,11.5,11.46875,11.5,11.53125,11.53125,11.53125,11.53125,11.53125,11.53125,11.5,11.51875
2011-03-30,18.9375,18.90625,18.875,18.90625,18.90625,18.90625,18.90625,18.90625,18.875,18.90625,18.90625
2012-03-30,11.125,10.84375,11.15625,10.8125,10.78125,12.375,10.96875,10.90625,10.875,10.9375,10.89375
2013-03-30,17.1875,17.125,17.125,17.15625,17.09375,17.125,17.09375,17.09375,17.15625,17.15625,17.125
2014-03-30,10.6875,10.6875,10.6875,10.71875,10.6875,10.65625,10.6875,10.71875,10.6875,10.65625,10.6875
2015-03-30,12.6875,12.71875,12.6875,12.71875,12.71875,12.75,12.6875,12.71875,12.75,12.71875,12.71875
2016-03-30,9.65625,9.625,9.59375,9.625,9.59375,9.625,9.625,9.59375,9.65625,9.625,9.625
2017-03-30,9.8125,9.8125,9.8125,9.8125,9.84375,9.875,9.8125,9.8125,9.8125,9.8125,9.8125
2018-03-30,14.375,14.34375,14.34375,14.375,14.34375,14.375,14.375,14.375,14.375,14.34375,14.3625
2019-03-30,9.375,10.25,9.40625,9.46875,9.71875,9.46875,10.21875,9.5,9.4375,9.5625,9.46875
2020-03-30,11.0,10.84375,10.875,11.03125,10.9375,10.96875,10.9375,10.90625,10.96875,11.03125,10.9375
2021-03-30,8.90625,8.90625,8.9375,8.90625,8.90625,8.90625,8.9375,8.90625,8.90625,8.90625,8.90625
2022-03-30,8.09375,8.0625,8.0625,8.09375,8.03125,8.0625,8.0625,8.0625,8.0625,8.09375,8.0625
2004-04-02,13.90625,13.75,13.84375,14.15625,13.84375,13.625,13.9375,13.625,13.65625,13.625,13.7125
2005-04-02,23.59375,23.6875,23.59375,23.59375,23.6875,23.59375,23.625,23.5625,23.59375,23.5625,23.59375
2006-04-02,13.90625,13.90625,13.875,13.90625,13.78125,13.90625,13.84375,13.8125,13.84375,13.875,13.8625
2007-04-02,10.21875,10.21875,10.1875,10.25,10.1875,10.21875,10.1875,10.25,10.15625,10.1875,10.1875
2008-04-02,10.59375,10.5625,10.5625,10.59375,10.5625,10.5625,10.59375,10.5625,10.5625,10.5625,10.5625
2009-04-02,13.625,13.65625,13.625,13.59375,13.8125,13.625,13.625,13.65625,13.625,13.59375,13.625
2010-04-02,11.28125,11.28125,11.28125,11.28125,11.28125,11.28125,11.28125,11.28125,11.28125,11.28125,11.28125
2011-04-02,18.34375,18.375,18.3125,18.34375,18.46875,18.28125,18.46875,18.28125,18.375,18.28125,18.33125
2012-04-02,11.09375,11.125,11.125,11.09375,11.09375,11.0625,11.09375,11.125,11.09375,11.125,11.09375
2013-04-02,18.8125,18.78125,18.8125,18.8125,18.8125,18.8125,18.8125,18.8125,18.8125,18.78125,18.8125
2014-04-02,10.625,10.625,10.65625,10.65625,10.65625,10.625,10.6875,10.59375,10.625,10.6875,10.625
2015-04-02,12.15625,12.21875,12.1875,12.15625,12.15625,12.15625,12.15625,12.1875,12.1875,12.1875,12.15625
2016-04-02,9.34375,9.4375,9.4375,9.40625,9.375,9.375,9.375,9.375,9.40625,9.3125,9.375
2017-04-02,9.875,9.875,9.90625,9.875,9.9375,9.875,9.875,9.875,9.875,9.875,9.875
2018-04-02,14.46875,13.90625,14.0625,13.8125,13.84375,13.90625,13.8125,13.875,14.6875,13.875,13.875
2019-04-02,9.34375,9.28125,9.3125,9.375,9.21875,9.28125,9.375,9.21875,9.28125,9.21875,9.28125
2020-04-02,12.71875,12.71875,12.78125,12.8125,12.78125,12.71875,12.78125,12.75,12.71875,12.78125,12.7375
2021-04-02,8.625,8.65625,8.65625,8.625,8.625,8.625,8.625,8.625,8.625,8.625,8.625
2022-04-02,8.40625,8.375,8.375,8.375,8.40625,8.375,8.375,8.375,8.375,8.34375,8.375
2004-04-06,14.1875,14.21875,14.25,14.28125,14.21875,14.28125,14.1875,14.28125,14.25,14.1875,14.21875
2005-04-06,21.96875,22.0625,22.0,22.15625,22.09375,22.0,22.03125,22.125,22.0625,22.03125,22.03125
2006-04-06,13.53125,13.5625,13.53125,13.53125,13.5625,13.53125,13.5625,13.53125,13.5625,13.5,13.53125
2007-04-06,10.15625,10.15625,10.15625,10.1875,10.1875,10.15625,10.1875,10.15625,10.15625,10.1875,10.15625
2008-04-06,10.125,10.09375,10.125,10.0625,10.0625,10.0625,10.09375,10.0625,10.0625,10.09375,10.0625
2009-04-06,14.5625,14.53125,14.5625,14.5625,14.5625,14.5625,14.5625,14.5625,14.5625,14.5625,14.5625
2010-04-06,10.96875,10.90625,10.9375,10.9375,10.9375,10.9375,10.9375,10.9375,10.90625,10.96875,10.9375
2011-04-06,18.25,18.21875,18.28125,18.25,18.21875,18.25,18.21875,18.25,18.21875,18.21875,18.21875
2012-04-06,10.90625,10.9375,10.90625,10.9375,10.96875,11.03125,10.9375,10.90625,10.96875,10.9375,10.9375
2013-04-06,18.5,18.5,18.5,18.40625,18.5625,18.46875,18.34375,18.40625,18.4375,18.8125,18.45625
2014-04-06,11.0625,11.0625,11.0625,11.0625,11.03125,11.03125,11.0625,11.03125,11.03125,11.03125,11.03125
2015-04-06,11.625,11.65625,11.625,11.625,11.65625,11.59375,11.65625,11.59375,11.625,11.65625,11.625
2016-04-06,9.5,9.4375,9.40625,9.46875,9.46875,9.4375,9.46875,9.375,9.40625,9.59375,9.4375
2017-04-06,10.125,10.125,10.09375,10.15625,10.1875,10.09375,10.125,10.15625,10.125,10.125,10.125
2018-04-06,14.71875,14.65625,14.6875,14.71875,14.6875,14.78125,14.71875,14.71875,14.71875,14.6875,14.70625
2019-04-06,9.53125,9.5625,9.625,9.46875,9.875,9.5,9.96875,9.46875,9.53125,9.5625,9.53125
2020-04-06,14.0625,14.09375,14.0625,14.09375,14.0625,14.0625,14.09375,14.03125,14.0625,14.09375,14.0625
2021-04-06,8.4375,8.5,8.5,8.46875,8.4375,8.5,8.46875,8.46875,8.46875,8.46875,8.46875
2022-04-06,8.15625,8.28125,8.15625,8.21875,8.1875,8.1875,8.1875,8.21875,8.1875,8.15625,8.1875
2004-04-09,14.9375,14.90625,14.96875,14.9375,14.9375,14.9375,14.9375,14.9375,14.9375,14.9375,14.9375
2005-04-09,26.90625,26.96875,26.84375,27.1875,26.875,27.03125,26.90625,26.90625,27.09375,26.90625,26.90625
2006-04-09,13.15625,13.15625,13.125,13.1875,13.15625,13.21875,13.1875,13.1875,13.15625,13.15625,13.15625
2007-04-09,10.125,10.15625,10.1875,10.15625,10.15625,10.15625,10.15625,10.125,10.09375,10.125,10.14375
2008-04-09,10.3125,10.3125,10.3125,10.28125,10.3125,10.3125,10.3125,10.3125,10.3125,10.25,10.3125
2009-04-09,14.8125,14.71875,14.6875,14.75,14.75,14.75,14.71875,14.75,14.75,14.75,14.75
2010-04-09,10.78125,10.75,10.75,10.75,10.78125,10.75,10.8125,10.75,10.75,10.78125,10.75
2011-04-09,17.15625,17.28125,17.1875,17.34375,17.15625,17.125,17.40625,17.15625,17.21875,17.28125,17.175
2012-04-09,10.875,10.78125,10.8125,10.78125,10.75,10.8125,10.84375,10.8125,10.84375,10.78125,10.8
2013-04-09,18.5625,18.625,18.46875,18.53125,18.5,18.6875,18.65625,18.5,18.53125,18.625,18.53125
2014-04-09,10.9375,10.9375,10.9375,10.90625,10.9375,10.9375,10.9375,10.9375,10.9375,10.96875,10.9375
2015-04-09,11.40625,11.375,11.40625,11.40625,11.375,11.34375,11.5,11.4375,11.375,11.34375,11.375
2016-04-09,9.40625,9.375,9.40625,9.40625,9.375,9.375,9.40625,9.375,9.40625,9.375,9.375
2017-04-09,10.0,9.9375,9.96875,10.0,10.0,9.96875,10.0,9.96875,9.96875,10.0,9.96875
2018-04-09,14.25,14.28125,14.25,14.28125,14.25,14.34375,14.28125,14.25,14.34375,14.28125,14.26875
2019-04-09,9.8125,9.90625,9.875,9.875,9.8125,9.84375,9.84375,9.8125,9.84375,9.875,9.84375
2020-04-09,13.8125,13.84375,13.84375,13.875,13.84375,13.875,13.84375,13.84375,13.875,13.84375,13.84375
2021-04-09,8.3125,8.34375,8.3125,8.34375,8.3125,8.34375,8.3125,8.375,8.28125,8.375,8.3125
2022-04-09,8.78125,8.6875,8.78125,8.6875,8.78125,8.71875,8.71875,8.78125,8.6875,8.71875,8.71875
2004-04-13,15.3125,15.1875,15.0625,15.1875,15.0,15.1875,15.09375,15.09375,15.03125,15.125,15.09375
2005-04-13,28.875,28.90625,28.90625,29.03125,29.125,29.15625,28.875,29.125,29.125,28.90625,28.90625
2006-04-13,13.71875,13.71875,13.71875,13.6875,13.75,13.6875,13.71875,13.71875,13.6875,13.78125,13.71875
2007-04-13,10.03125,10.0625,10.03125,10.03125,10.0625,10.03125,10.03125,10.03125,10.03125,10.0625,10.03125
2008-04-13,9.875,9.90625,9.875,9.875,9.90625,9.875,9.90625,9.84375,9.90625,9.90625,9.875
2009-04-13,15.0625,15.03125,15.03125,15.0625,15.0625,15.0625,15.0625,15.0625,15.03125,15.0625,15.0625
2010-04-13,10.75,10.71875,10.71875,10.84375,10.84375,11.03125,10.875,10.71875,10.71875,10.71875,10.71875
2011-04-13,16.75,16.8125,16.71875,16.65625,16.625,16.6875,16.65625,16.65625,16.59375,16.71875,16.65625
2012-04-13,11.0,11.15625,11.0,11.40625,11.0,10.96875,11.03125,11.0625,10.90625,11.03125,11.0
2013-04-13,18.75,18.71875,18.65625,18.6875,18.6875,18.65625,18.75,18.75,18.6875,18.71875,18.6875
2014-04-13,11.0,11.03125,11.03125,11.03125,11.03125,11.0,11.03125,11.0,11.03125,11.0,11.01875
2015-04-13,11.4375,11.4375,11.4375,11.4375,11.4375,11.4375,11.4375,11.4375,11.4375,11.40625,11.4375
2016-04-13,9.53125,9.5,9.53125,9.59375,9.6875,9.65625,9.59375,9.5625,9.59375,9.59375,9.58125
2017-04-13,10.0,10.0,10.21875,10.03125,10.03125,9.96875,10.09375,10.03125,9.96875,10.0,10.0
2018-04-13,15.1875,15.21875,15.21875,15.21875,15.25,15.21875,15.3125,15.1875,15.21875,15.25,15.21875
2019-04-13,10.0,10.03125,10.03125,10.0,10.0,10.0,10.0,10.03125,10.0,9.96875,10.0
2020-04-13,12.53125,12.59375,12.53125,12.53125,12.53125,12.53125,12.53125,12.5625,12.5,12.5625,12.53125
2021-04-13,8.40625,8.40625,8.375,8.375,8.34375,8.375,8.40625,8.375,8.34375,8.375,8.375
2022-04-13,9.25,9.21875,9.15625,9.25,9.1875,9.21875,9.28125,9.28125,9.3125,9.25,9.2375
2004-04-16,16.90625,16.96875,16.6875,17.09375,16.65625,16.8125,16.46875,16.59375,17.21875,16.9375,16.7625
2005-04-16,30.59375,31.0625,30.75,31.1875,30.8125,30.78125,30.6875,30.65625,30.6875,30.53125,30.6875
2006-04-16,14.71875,14.75,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875,14.71875
2007-04-16,10.0,10.0625,10.0,10.0,10.03125,10.0,10.0,9.96875,10.0,10.0,10.0
2008-04-16,9.53125,9.5,9.53125,9.5,9.53125,9.5,9.5625,9.53125,9.5,9.5,9.5
2009-04-16,15.09375,15.0625,15.125,15.09375,15.09375,15.0625,15.0625,15.09375,15.0625,15.09375,15.08125
2010-04-16,11.15625,11.09375,11.1875,11.09375,11.1875,11.125,11.09375,11.15625,11.21875,11.1875,11.14375
2011-04-16,16.5,16.5,16.90625,16.5,16.4375,17.75,16.5,16.625,16.71875,16.59375,16.5
2012-04-16,11.5,11.90625,11.5,11.5625,11.71875,11.5625,11.5625,11.46875,11.625,11.5,11.5375
2013-04-16,18.75,18.875,18.78125,18.84375,19.375,18.8125,18.8125,18.9375,19.0625,18.75,18.8125
2014-04-16,11.21875,11.21875,11.25,11.25,11.21875,11.21875,11.25,11.25,11.28125,11.25,11.2375
2015-04-16,11.25,11.21875,11.21875,11.25,11.25,11.21875,11.21875,11.21875,11.21875,11.21875,11.21875
2016-04-16,9.59375,9.625,9.59375,9.65625,9.625,9.59375,9.59375,9.59375,9.625,9.5625,9.59375
2017-04-16,10.28125,10.25,10.25,10.28125,10.3125,10.25,10.3125,10.28125,10.28125,10.3125,10.28125
2018-04-16,16.65625,16.625,16.6875,16.65625,16.6875,16.65625,16.6875,16.65625,16.6875,16.6875,16.65625
2019-04-16,10.1875,10.15625,10.1875,10.15625,10.15625,10.15625,10.1875,10.125,10.15625,10.1875,10.15625
2020-04-16,12.0,11.96875,13.0,11.90625,12.03125,11.9375,11.84375,12.3125,12.625,12.53125,11.9875
2021-04-16,8.21875,8.21875,8.21875,8.25,8.21875,8.21875,8.3125,8.21875,8.25,8.21875,8.21875
2022-04-16,9.375,9.375,9.34375,9.40625,9.40625,9.375,9.40625,9.40625,9.40625,9.375,9.375
