ValidTime,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,percentile_40.0
2004-04-03,210.8125,199.25,202.53125,234.9375,200.78125,217.96875,204.84375,202.1875,202.5,209.78125,202.51875
2005-04-03,228.5,228.71875,229.71875,228.71875,229.0,229.125,229.53125,229.34375,230.03125,228.84375,228.9375
2006-04-03,193.0,192.8125,192.75,191.6875,192.375,192.90625,194.78125,192.28125,190.75,193.21875,192.6
2007-04-03,171.90625,173.34375,171.65625,171.40625,174.125,170.875,173.34375,174.125,172.15625,172.59375,172.05625
2008-04-03,184.53125,185.25,184.0625,185.25,184.375,185.90625,187.09375,186.875,187.0625,185.9375,185.25
2009-04-03,186.6875,187.21875,185.34375,193.625,186.9375,186.5625,188.0625,185.0625,192.6875,185.875,186.6375
2010-04-03,178.21875,178.65625,178.4375,179.21875,178.84375,179.5,178.4375,178.90625,179.15625,178.96875,178.76875
2011-04-03,194.25,190.96875,190.96875,190.9375,190.15625,192.59375,191.4375,191.90625,190.90625,191.9375,190.96875
2012-04-03,170.28125,168.90625,170.28125,169.3125,168.84375,175.59375,172.53125,173.90625,169.53125,172.9375,169.98125
2013-04-03,195.09375,195.4375,195.34375,198.9375,195.84375,195.0,195.40625,194.90625,197.53125,195.21875,195.29375
2014-04-03,163.59375,163.15625,163.78125,164.09375,163.875,164.65625,163.6875,164.375,164.84375,163.8125,163.8
2015-04-03,174.03125,174.0625,174.96875,174.53125,174.6875,174.4375,174.28125,174.375,175.03125,174.3125,174.35
2016-04-03,169.90625,170.15625,169.59375,169.34375,169.75,170.15625,169.78125,170.46875,169.96875,169.78125,169.78125
2017-04-03,177.15625,176.65625,176.03125,177.28125,176.8125,176.6875,176.40625,175.96875,176.125,176.625,176.5375
2018-04-03,182.5625,183.4375,183.9375,184.0625,183.0625,184.625,184.78125,184.53125,183.8125,184.4375,183.8875
2019-04-03,181.25,201.75,184.71875,187.625,185.28125,186.09375,195.875,182.4375,181.78125,187.46875,185.05625
2020-04-03,174.1875,172.09375,167.625,185.96875,177.46875,176.1875,169.1875,171.125,170.21875,180.125,171.70625
2021-04-03,164.84375,164.375,163.8125,164.84375,163.90625,164.15625,164.125,164.0,163.96875,164.0625,164.0375
2022-04-03,164.125,163.3125,161.59375,161.53125,161.71875,161.3125,161.65625,162.6875,161.5625,162.96875,161.63125
2004-04-06,250.65625,220.1875,212.75,262.71875,224.9375,236.3125,247.34375,216.59375,212.125,212.03125,218.75
2005-04-06,228.53125,229.875,229.90625,229.34375,229.375,228.75,228.84375,229.46875,229.03125,228.9375,228.99375
2006-04-06,203.34375,203.375,202.15625,202.65625,201.25,204.1875,200.8125,201.9375,202.125,201.46875,202.05
2007-04-06,170.84375,171.6875,170.09375,169.75,169.65625,171.34375,171.375,173.65625,169.90625,171.25,170.54375
2008-04-06,179.90625,181.71875,179.96875,180.875,181.34375,182.21875,180.78125,181.0625,181.75,180.6875,180.8375
2009-04-06,190.75,193.0,191.5625,189.15625,190.9375,190.96875,189.71875,189.75,194.875,189.65625,190.35
2010-04-06,176.375,176.59375,176.15625,176.625,176.15625,177.09375,176.4375,176.6875,177.0,177.0,176.53125
2011-04-06,191.3125,191.4375,191.28125,190.46875,191.53125,190.75,191.34375,191.5,191.375,190.78125,191.3
2012-04-06,170.71875,170.90625,170.15625,169.46875,170.90625,170.0625,171.96875,171.15625,171.9375,170.875,170.8125
2013-04-06,196.5625,195.34375,196.5625,195.65625,195.78125,195.0625,195.78125,195.71875,195.875,195.59375,195.69375
2014-04-06,161.28125,162.28125,162.78125,161.5,163.4375,161.875,165.0625,161.40625,161.78125,162.75,161.8375
2015-04-06,173.3125,173.625,173.8125,172.75,173.0625,173.3125,173.75,172.46875,173.40625,172.9375,173.2125
2016-04-06,168.75,169.78125,169.78125,169.96875,168.53125,169.15625,169.78125,169.21875,169.40625,169.5,169.33125
2017-04-06,175.90625,176.125,176.34375,176.03125,176.21875,176.0,176.0625,175.25,175.15625,175.78125,175.9625
2018-04-06,195.53125,192.53125,187.8125,188.84375,197.5,194.375,204.09375,188.25,190.03125,184.40625,189.55625
