ValidTime,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,percentile_40.0
2004-04-01,309.90625,304.84375,314.03125,308.03125,310.8125,317.78125,317.875,306.53125,313.78125,308.1875,309.21875
2005-04-01,291.6875,289.90625,293.875,290.96875,290.1875,291.96875,290.21875,292.6875,294.96875,291.40625,291.23125
2006-04-01,223.53125,218.125,222.15625,216.0625,217.5,223.84375,217.78125,218.90625,220.0625,221.9375,218.59375
2007-04-01,210.8125,214.0625,216.0625,208.46875,225.15625,212.8125,219.65625,221.6875,213.375,210.875,213.15
2008-04-01,220.96875,219.65625,219.90625,220.65625,219.84375,223.25,222.09375,224.46875,226.65625,222.84375,220.84375
2009-04-01,309.9375,306.0625,308.5,312.78125,314.84375,308.90625,310.25,308.125,313.40625,308.625,308.79375
2010-04-01,231.5,231.28125,232.0,232.34375,230.875,234.6875,232.1875,234.84375,232.125,233.5,232.075
2011-04-01,343.125,342.96875,342.25,337.0,334.875,347.25,343.96875,338.03125,339.3125,347.21875,341.075
2012-04-01,242.78125,248.28125,244.5,243.90625,248.375,244.375,244.21875,245.75,245.6875,252.21875,244.45
2013-04-01,240.96875,241.28125,243.34375,242.46875,239.8125,241.09375,246.15625,242.75,243.0,240.65625,241.20625
2014-04-01,232.75,232.0625,228.78125,230.0625,232.34375,231.75,231.9375,232.03125,228.78125,228.53125,231.075
2015-04-01,203.625,204.5,206.25,204.03125,205.1875,205.15625,204.46875,205.78125,206.40625,203.4375,204.4875
2016-04-01,241.5625,242.09375,241.3125,243.46875,243.59375,242.59375,242.75,245.03125,244.0625,242.875,242.6875
2017-04-01,218.28125,221.375,222.03125,221.71875,221.625,217.75,218.625,216.75,216.0,219.625,218.4875
2018-04-01,190.9375,190.78125,191.1875,191.8125,190.8125,190.65625,188.84375,193.1875,193.375,191.0625,190.8875
2019-04-01,267.46875,266.84375,263.0,274.75,276.15625,264.78125,267.6875,270.4375,270.1875,264.875,267.21875
2020-04-01,271.15625,270.59375,267.625,274.96875,273.25,270.71875,267.6875,272.5625,274.34375,270.875,270.8125
2021-04-01,298.3125,302.1875,300.0,304.21875,302.84375,302.46875,303.28125,303.1875,303.03125,303.8125,302.69375
2022-04-01,253.1875,253.90625,252.03125,254.03125,253.59375,254.1875,252.96875,252.75,252.21875,252.3125,252.88125
2004-04-04,298.53125,291.84375,294.9375,299.40625,301.96875,288.71875,307.0,297.46875,291.09375,305.90625,296.45625
2005-04-04,288.8125,289.46875,286.09375,284.875,287.875,288.5625,290.40625,284.59375,287.59375,288.0,287.7625
2006-04-04,218.9375,219.90625,217.71875,223.53125,216.4375,224.90625,223.28125,217.125,221.09375,217.1875,218.45
2007-04-04,219.15625,218.0625,212.125,218.59375,207.125,211.625,210.875,214.96875,209.1875,210.0,211.325
2008-04-04,215.6875,217.4375,217.4375,214.375,214.78125,218.21875,215.3125,216.09375,216.21875,216.78125,215.93125
2009-04-04,294.875,295.6875,297.8125,292.28125,293.90625,295.71875,296.21875,289.96875,289.78125,293.875,293.89375
2010-04-04,238.09375,233.15625,235.5,236.78125,237.8125,236.34375,238.125,238.0,237.40625,237.40625,237.15625
2011-04-04,335.59375,334.90625,336.375,335.65625,334.34375,336.0625,335.4375,335.4375,335.9375,334.96875,335.4375
2012-04-04,239.46875,243.625,242.03125,243.34375,243.5625,244.6875,245.0625,242.78125,244.09375,245.09375,243.475
2013-04-04,250.65625,250.03125,251.28125,251.84375,252.5625,249.5,250.0625,248.75,251.625,250.09375,250.08125
2014-04-04,226.34375,232.53125,229.375,231.9375,232.65625,225.1875,232.46875,222.78125,229.34375,237.71875,229.3625
2015-04-04,194.125,196.40625,196.6875,197.34375,198.03125,198.6875,198.21875,194.09375,196.46875,197.71875,196.6
2016-04-04,235.15625,234.84375,234.75,234.21875,235.5,231.65625,234.15625,237.0,235.46875,237.46875,234.80625
2017-04-04,228.53125,230.125,228.09375,228.3125,228.6875,230.3125,227.28125,225.96875,228.6875,226.90625,228.225
2018-04-04,199.65625,203.96875,199.09375,204.25,196.6875,191.90625,196.59375,200.9375,199.5,191.90625,198.13125
2019-04-04,261.21875,269.65625,262.375,264.84375,260.21875,258.15625,264.46875,260.59375,263.71875,258.71875,260.96875
2020-04-04,256.90625,255.71875,257.1875,255.53125,258.03125,257.125,252.5625,256.3125,254.8125,254.75,255.64375
2021-04-04,289.96875,290.1875,291.21875,288.71875,289.53125,290.46875,287.15625,287.40625,292.46875,288.375,289.20625
2022-04-04,256.6875,254.4375,256.0,255.03125,255.0,257.875,258.34375,254.75,257.34375,256.25,255.6125
2004-04-08,287.75,288.75,289.0,289.6875,290.15625,290.25,289.15625,286.59375,287.28125,286.46875,288.35
2005-04-08,275.59375,275.8125,274.90625,275.78125,277.53125,273.46875,275.375,275.21875,277.84375,273.6875,275.3125
2006-04-08,222.03125,227.4375,230.84375,228.71875,225.96875,224.3125,226.125,227.90625,227.8125,225.375,226.0625
2007-04-08,208.84375,208.34375,213.09375,209.96875,211.875,206.0625,207.21875,209.6875,211.0,210.15625,209.35
2008-04-08,210.78125,213.0,211.28125,210.4375,211.78125,210.4375,211.5625,213.4375,211.3125,211.75,211.3
2009-04-08,284.6875,285.3125,285.90625,279.65625,278.96875,281.6875,283.28125,283.9375,281.65625,281.8125,281.7625
2010-04-08,250.75,248.8125,250.4375,248.71875,251.3125,251.09375,249.34375,252.65625,250.9375,250.59375,250.53125
2011-04-08,339.3125,344.90625,338.40625,338.96875,337.90625,339.625,340.53125,337.875,341.0625,339.03125,339.00625
2012-04-08,244.1875,243.28125,236.0,233.71875,250.5,244.1875,244.875,239.09375,239.75,248.25,241.86875
2013-04-08,245.8125,242.6875,243.96875,246.3125,241.78125,242.78125,244.53125,244.90625,243.71875,242.5,243.34375
2014-04-08,224.6875,227.5,224.90625,228.34375,230.0625,227.25,226.71875,228.8125,226.25,225.40625,226.53125
2015-04-08,200.6875,202.59375,203.15625,204.875,200.9375,204.78125,203.71875,203.53125,201.0,201.5625,202.18125
2016-04-08,235.90625,236.15625,233.65625,235.71875,237.1875,229.5625,234.71875,230.875,233.9375,237.03125,234.40625
2017-04-08,229.46875,229.40625,228.46875,228.84375,231.25,229.5,228.625,227.90625,231.0625,225.59375,228.75625
2018-04-08,214.28125,216.03125,214.0625,211.0625,210.65625,212.8125,214.03125,212.6875,221.46875,210.40625,212.7625
2019-04-08,250.84375,251.8125,248.40625,252.84375,255.03125,250.4375,250.625,251.1875,251.90625,251.6875,251.05
2020-04-08,246.03125,249.28125,245.625,248.21875,251.6875,245.71875,243.8125,248.875,249.0625,249.375,247.34375
2021-04-08,291.84375,293.0625,295.53125,286.875,291.0625,289.71875,289.6875,292.15625,288.46875,292.6875,290.525
2022-04-08,255.96875,257.34375,253.1875,256.59375,250.28125,247.71875,256.46875,253.03125,256.28125,252.3125,253.125
2004-04-11,297.875,296.9375,295.3125,295.34375,299.21875,295.3125,294.34375,291.875,295.28125,297.25,295.3125
2005-04-11,259.15625,260.78125,259.375,263.65625,258.0625,258.96875,261.15625,261.125,260.5,259.96875,259.73125
2006-04-11,218.0625,213.84375,217.59375,217.46875,219.5625,218.4375,223.03125,218.1875,217.125,221.90625,217.875
2007-04-11,207.65625,206.03125,207.8125,205.25,207.90625,209.0625,209.9375,206.3125,210.875,207.65625,207.65625
2008-04-11,212.625,209.15625,213.28125,211.71875,211.15625,213.15625,211.34375,213.1875,211.375,212.53125,211.58125
2009-04-11,276.625,275.78125,277.6875,274.8125,282.375,281.28125,277.1875,277.34375,278.875,280.625,277.28125
2010-04-11,247.8125,250.21875,246.34375,250.78125,244.6875,250.15625,247.8125,245.75,249.78125,250.4375,247.8125
2011-04-11,324.71875,327.84375,330.5625,335.65625,326.4375,327.0,333.1875,332.125,330.25,330.375,329.2875
