,flood_start,flood_end,Cercle,duration
0,2022-09-23,2022-09-24,DJENNE,2
1,2022-09-23,2022-09-24,BANDIAGARA,2
2,2022-09-17,2022-09-18,KORO,2
3,2022-09-17,2022-09-18,KORO,2
4,2022-09-15,2022-09-16,BAROUELI,2
5,2022-09-15,2022-09-16,BLA,2
6,2022-09-10,2022-09-11,SAN,2
7,2022-09-06,2022-09-07,BANDIAGARA,2
8,2022-09-06,2022-09-07,KORO,2
9,2022-09-06,2022-09-07,BANDIAGARA,2
10,2022-09-06,2022-09-07,KORO,2
11,2022-09-06,2022-09-07,GOURMA-RH,2
12,2022-09-06,2022-09-07,GOURMA-RH,2
13,2022-09-06,2022-09-07,GOURMA-RH,2
14,2022-09-05,2022-09-06,DJENNE,2
15,2022-09-05,2022-09-06,DJENNE,2
16,2022-09-05,2022-09-06,DJENNE,2
17,2022-09-04,2022-09-05,SAN,2
18,2022-09-02,2022-09-03,SEGOU,2
19,2022-09-01,2022-09-02,DIOILA,2
20,2022-09-01,2022-09-02,DIOILA,2
21,2022-08-31,2022-09-01,DOUENTZA,2
22,2022-08-28,2022-08-29,NARA,2
23,2022-08-28,2022-08-29,SEGOU,2
24,2022-08-27,2022-08-28,NARA,2
25,2022-08-27,2022-08-28,NARA,2
26,2022-08-24,2022-08-25,BOUREM,2
27,2022-08-24,2022-08-25,BOUREM,2
28,2022-08-24,2022-08-25,BANDIAGARA,2
29,2022-08-18,2022-08-19,SEGOU,2
30,2022-08-12,2022-08-13,BAMAKO,2
31,2022-08-12,2022-08-13,BAMAKO,2
32,2022-08-12,2022-08-13,BAMAKO,2
33,2022-08-12,2022-08-13,KATI,2
34,2022-08-12,2022-08-13,KATI,2
35,2022-08-12,2022-08-13,KATI,2
36,2022-08-12,2022-08-13,BAMAKO,2
37,2022-08-12,2022-08-13,GOUNDAM,2
38,2022-08-12,2022-08-13,GOURMA-RH,2
39,2022-08-12,2022-08-13,GOURMA-RH,2
40,2022-08-12,2022-08-13,GOURMA-RH,2
41,2022-08-12,2022-08-13,TOMBOUCTO,2
42,2022-08-09,2022-08-10,BOUREM,2
43,2022-08-04,2022-08-05,BOUGOUNI,2
44,2022-08-04,2022-08-05,KADIOLO,2
45,2022-07-29,2022-07-30,SEGOU,2
46,2022-07-20,2022-07-21,SEGOU,2
47,2022-07-17,2022-07-18,DIOILA,2
48,2022-07-10,2022-07-11,NIAFUNKE,2
49,2022-07-10,2022-07-11,TOMBOUCTO,2
50,2022-07-10,2022-07-11,TOMBOUCTO,2
51,2022-06-29,2022-06-30,DIOILA,2
52,2022-06-29,2022-06-30,NARA,2
53,2022-06-27,2022-06-28,MOPTI,2
54,2022-06-20,2022-06-21,NARA,2
55,2022-06-20,2022-06-21,KAYES,2
56,2022-06-17,2022-06-18,KATI,2
57,2022-06-17,2022-06-18,BAMAKO,2
58,2022-06-17,2022-06-18,DIOILA,2
59,2022-06-06,2022-06-07,MOPTI,2
60,2022-05-01,2022-05-02,KIDAL,2
70,2019-08-07,2019-08-07,GOUMERA,1
71,2019-08-07,2019-08-07,ESSOUK,1
72,2019-08-07,2019-08-07,INTACHDAYTE,1
73,2019-08-07,2019-08-07,TESSALIT,1
74,2019-08-07,2019-08-07,AGUELHOK,1
75,2019-08-07,2019-08-07,TAMKOUTAT,1
76,2019-08-07,2019-08-07,BOUREM,1
77,2019-08-07,2019-08-07,GAO,1
78,2019-08-07,2019-08-07,KITA,1
79,2019-08-07,2019-08-07,NIAFUNKE,1
80,2019-08-07,2019-08-07,TOMBOUCTO,1
81,2019-08-07,2019-08-07,ZEGOUA,1
82,2019-08-07,2019-08-07,SONA,1
83,2019-08-07,2019-08-07,KOURY,1
84,2019-08-07,2019-08-07,KOUTIALA,1
85,2019-08-07,2019-08-07,BIRAMABOUGOU,1
86,2019-08-07,2019-08-07,SIKASSO,1
87,2019-08-07,2019-08-07,SANDIA,1
88,2019-08-07,2019-08-07,TOUBAKORO,1
89,2019-08-07,2019-08-07,KENEKOUN,1
90,2019-08-07,2019-08-07,KOLOKANI,1
91,2019-08-07,2019-08-07,KAYES,1
92,2019-08-07,2019-08-07,DIRE,1
93,2019-08-07,2019-08-07,ANSONGO,1
100,2019-05-16,2019-05-17,BAMAKO,2
101,2018-10-12,2018-10-12,SIKASSO,1
102,2018-10-05,2018-10-05,SIKASSO,1
103,2018-09-19,2018-09-19,BAMAKO,1
106,2018-09-19,2018-09-19,KIDAL,1
112,2018-09-19,2018-09-19,MENAKA,1
113,2018-09-18,2018-09-18,NARA,1
114,2018-08-31,2018-08-31,GAO,1
115,2018-08-18,2018-08-18,DIRE,1
121,2017-11-30,2017-11-30,SIKASSO,1
122,2017-11-30,2017-11-30,BAMAKO,1
123,2017-11-30,2017-11-30,GAO,1
124,2017-11-30,2017-11-30,SEGOU,1
126,2017-11-08,2017-11-09,BLA,2
127,2017-11-08,2017-11-09,BLA,2
128,2017-11-02,2017-11-03,SIKASSO,2
130,2017-10-07,2017-10-08,BAMAKO,2
131,2017-09-08,2017-09-09,MOPTI,2
