admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0103;0;2018-08-24;2018-10-09;47;1452.3040771484375
ML0104;0;2018-08-27;2018-09-20;25;1535.76318359375
ML0105;0;2018-08-27;2018-09-20;25;1351.666015625
ML0203;0;2018-08-31;2018-10-15;46;4893.0908203125
ML0204;0;2018-08-31;2018-10-15;46;4893.0908203125
ML0206;0;2018-08-31;2018-10-14;45;4744.345703125
ML0301;0;2016-08-23;2016-10-06;45;642.1720581054688
ML0301;1;2018-08-18;2018-10-16;60;1098.8826904296875
ML0303;0;2016-08-29;2016-10-05;38;607.2653198242188
ML0303;1;2018-08-18;2018-10-15;59;1019.9642333984375
ML0305;0;2016-08-23;2016-10-07;46;782.4144287109375
ML0305;1;2018-08-18;2018-10-15;59;1139.3233642578125
ML0402;0;2016-08-27;2016-10-12;47;1292.667236328125
ML0402;1;2017-09-08;2017-09-09;2;930.8638305664062
ML0402;2;2018-08-23;2018-10-24;63;2002.023193359375
ML0406;0;2018-09-04;2018-10-14;41;4088.79248046875
ML0503;0;2018-09-03;2018-10-20;48;3021.027099609375
ML0506;0;2018-09-04;2018-11-11;69;2799.22021484375
ML0901;0;2018-08-31;2018-10-14;45;4783.91357421875
