identifier;events;flood_start;flood_end;duration;peak_streamflow
Ansongo;0;2016-01-08;2016-01-11;4;1404.33349609375
Ansongo;1;2016-12-08;2016-12-12;5;1391.1624755859375
Ansongo;2;2018-11-25;2019-01-15;52;1536.4462890625
Ansongo;3;2019-11-23;2020-01-24;63;1560.1177978515625
Ansongo;4;2020-11-17;2021-01-09;54;1527.9776611328125
Ansongo;5;2021-12-02;2021-12-23;22;1440.7989501953125
Ansongo;6;2022-11-18;2023-01-13;57;1514.657470703125
Bafing Makana;0;2018-08-30;2018-09-18;20;1202.08203125
Bafing Makana;1;2019-08-31;2019-09-26;27;984.1984252929688
Bafing Makana;2;2020-09-01;2020-09-25;25;1461.451904296875
Bafing Makana;3;2022-09-02;2022-09-08;7;850.1394653320312
Bafing Makana;4;2022-09-23;2022-09-24;2;646.91259765625
Bamako;0;2018-09-02;2018-10-10;39;4635.30126953125
Bamako;1;2019-09-05;2019-10-16;42;4529.701171875
Bamako;2;2020-09-08;2020-10-13;36;4735.9912109375
Bamako;3;2021-09-05;2021-10-02;28;4305.0244140625
Bamako;4;2022-09-13;2022-10-13;31;4298.953125
Banankoro;0;2018-09-02;2018-10-11;40;3432.48046875
Banankoro;1;2019-09-06;2019-10-14;39;3388.416259765625
Banankoro;2;2020-09-11;2020-10-10;30;3469.242919921875
Banankoro;3;2021-09-05;2021-09-28;24;3102.51025390625
Banankoro;4;2022-09-08;2022-10-13;36;3353.267822265625
Bougouni;0;2016-09-05;2016-09-21;17;411.636962890625
Bougouni;1;2018-08-22;2018-10-11;51;673.6932373046875
Bougouni;2;2019-08-31;2019-10-14;45;533.002685546875
Bougouni;3;2020-09-05;2020-10-18;44;589.2723999023438
Bougouni;4;2021-09-01;2021-09-30;30;479.1741638183594
Bougouni;5;2022-09-03;2022-10-10;38;461.02685546875
Dire;0;2018-09-16;2018-12-18;94;2075.836181640625
Dire;1;2019-09-21;2019-12-25;96;2088.848876953125
Dire;2;2020-09-17;2020-12-22;97;2275.747314453125
Dire;3;2021-10-06;2021-11-02;28;1840.0430908203125
Dire;4;2021-11-17;2021-11-23;7;1789.8302001953125
Dire;5;2022-09-30;2022-12-21;83;2044.1766357421875
Douna;0;2016-09-01;2016-10-06;36;1198.7601318359375
Douna;1;2018-08-26;2018-10-21;57;1964.0784912109375
Douna;2;2019-08-31;2019-10-26;57;1501.310302734375
Douna;3;2020-08-31;2020-10-26;57;1704.0284423828125
Douna;4;2021-08-19;2021-10-08;51;1612.5986328125
Douna;5;2022-09-10;2022-10-17;38;1643.918212890625
Gao;0;2016-01-08;2016-01-18;11;1526.3941650390625
Gao;1;2018-11-11;2019-01-08;59;1677.624267578125
Gao;2;2019-10-27;2020-01-15;81;1732.4210205078125
Gao;3;2020-10-03;2021-01-11;101;1824.9833984375
Gao;4;2022-11-07;2023-01-12;67;1664.580078125
Guelelinkoro;0;2018-08-22;2018-10-10;50;1303.14892578125
Guelelinkoro;1;2019-08-31;2019-10-14;45;1217.8380126953125
Guelelinkoro;2;2020-09-12;2020-09-24;13;991.8906860351562
Guelelinkoro;3;2020-10-12;2020-10-13;2;682.3031616210938
Guelelinkoro;4;2021-09-04;2021-09-30;27;956.6213989257812
Guelelinkoro;5;2022-09-01;2022-09-17;17;906.5328369140625
Kayes;0;2016-09-16;2016-09-19;4;359.332275390625
Kayes;1;2018-08-28;2018-10-13;47;633.4027099609375
Kayes;2;2019-08-24;2019-09-29;37;644.2240600585938
Kayes;3;2020-08-22;2020-10-30;70;787.33544921875
Kayes;4;2021-08-19;2021-10-07;50;473.8768615722656
Kayes;5;2022-09-19;2022-10-20;32;472.2984924316406
Koulikoro;0;2018-09-02;2018-10-10;39;4680.50244140625
Koulikoro;1;2019-09-05;2019-10-16;42;4567.50244140625
Koulikoro;2;2020-09-11;2020-10-17;37;4853.04638671875
Koulikoro;3;2021-09-05;2021-10-02;28;4393.21240234375
Koulikoro;4;2022-09-13;2022-10-13;31;4469.3212890625
Mopti;0;2018-09-06;2018-10-23;48;2340.953857421875
Mopti;1;2019-09-05;2019-10-25;51;2431.243896484375
Mopti;2;2020-09-08;2020-10-29;52;2832.635986328125
Mopti;3;2021-09-10;2021-10-12;33;2229.2587890625
Mopti;4;2022-09-19;2022-10-24;36;2184.18896484375
Pankourou;0;2016-09-01;2016-09-28;28;586.1380004882812
Pankourou;1;2018-08-22;2018-10-14;54;1029.5843505859375
Pankourou;2;2019-08-31;2019-10-16;47;827.2728881835938
Pankourou;3;2020-09-01;2020-09-26;26;739.2476806640625
Pankourou;4;2020-10-11;2020-10-17;7;475.3708801269531
Pankourou;5;2021-08-16;2021-10-02;48;822.4840087890625
Pankourou;6;2022-09-01;2022-10-09;39;784.8097534179688
Sofara;0;2016-09-01;2016-10-06;36;988.6710205078125
Sofara;1;2018-08-27;2018-10-27;62;1317.477783203125
Sofara;2;2019-09-01;2019-10-29;59;1331.568359375
Sofara;3;2020-08-27;2020-11-03;69;1603.028564453125
Sofara;4;2021-08-21;2021-10-13;54;1134.4200439453125
Sofara;5;2022-09-17;2022-10-22;36;1117.506591796875
