identifier;events;flood_start;flood_end;duration;peak_streamflow
Ansongo;0;2016-01-08;2016-01-18;11;1404.3428955078125
Ansongo;1;2016-12-08;2016-12-13;6;1391.17724609375
Ansongo;2;2018-11-24;2019-01-16;54;1536.4576416015625
Ansongo;3;2019-11-22;2020-01-24;64;1560.128662109375
Ansongo;4;2020-11-17;2021-01-10;55;1527.99560546875
Ansongo;5;2021-12-01;2021-12-23;23;1440.8089599609375
Ansongo;6;2022-11-16;2023-01-13;59;1514.6678466796875
Bafing Makana;0;2018-08-28;2018-09-21;25;1218.2059326171875
Bafing Makana;1;2019-08-26;2019-10-11;47;1065.148193359375
Bafing Makana;2;2020-08-28;2020-10-12;46;1477.215087890625
Bafing Makana;3;2021-08-29;2021-09-21;24;847.9019165039062
Bafing Makana;4;2022-08-31;2022-09-27;28;897.8839721679688
Bamako;0;2018-09-01;2018-10-13;43;4695.31689453125
Bamako;1;2019-09-03;2019-10-19;47;4540.1865234375
Bamako;2;2020-09-05;2020-10-18;44;4764.615234375
Bamako;3;2021-09-04;2021-10-04;31;4369.33642578125
Bamako;4;2022-09-04;2022-10-16;43;4344.921875
Banankoro;0;2018-09-01;2018-10-13;43;3445.54833984375
Banankoro;1;2019-09-04;2019-10-16;43;3381.1123046875
Banankoro;2;2020-09-09;2020-10-12;34;3533.863525390625
Banankoro;3;2021-09-04;2021-09-30;27;3129.349609375
Banankoro;4;2022-09-05;2022-10-14;40;3275.9638671875
Bougouni;0;2016-09-01;2016-10-01;31;420.4627380371094
Bougouni;1;2018-08-20;2018-10-14;56;688.7965087890625
Bougouni;2;2019-08-28;2019-10-19;53;537.5955810546875
Bougouni;3;2020-09-04;2020-10-19;46;616.8024291992188
Bougouni;4;2021-08-28;2021-10-02;36;491.6705322265625
Bougouni;5;2022-09-01;2022-10-12;42;472.0525817871094
Dire;0;2018-09-25;2018-12-04;71;2075.836181640625
Dire;1;2019-10-03;2019-12-11;70;2088.848876953125
Dire;2;2020-10-01;2020-12-15;76;2275.747314453125
Dire;3;2022-10-10;2022-11-30;52;2044.1766357421875
Douna;0;2016-09-01;2016-10-07;37;1200.402099609375
Douna;1;2018-08-26;2018-10-22;58;1968.344970703125
Douna;2;2019-08-31;2019-10-26;57;1501.8045654296875
Douna;3;2020-08-31;2020-10-26;57;1705.10009765625
Douna;4;2021-08-19;2021-10-09;52;1618.7537841796875
Douna;5;2022-09-08;2022-10-18;41;1644.0474853515625
Gao;0;2016-01-08;2016-01-11;4;1527.4215087890625
Gao;1;2018-11-13;2019-01-06;55;1678.6614990234375
Gao;2;2019-11-03;2019-11-06;4;1521.8031005859375
Gao;3;2019-11-17;2020-01-12;57;1733.46533203125
Gao;4;2020-10-09;2021-01-09;93;1826.031982421875
Gao;5;2022-11-12;2023-01-05;55;1665.6270751953125
Kayes;0;2018-08-25;2018-10-07;44;1510.63818359375
Kayes;1;2019-08-26;2019-10-12;48;1439.0284423828125
Kayes;2;2020-08-26;2020-10-21;57;1714.57373046875
Kayes;3;2021-08-22;2021-09-29;39;925.9896850585938
Kayes;4;2022-09-21;2022-10-10;20;987.7841796875
Koulikoro;0;2018-09-02;2018-10-14;43;4630.33349609375
Koulikoro;1;2019-09-03;2019-10-17;45;4525.568359375
Koulikoro;2;2020-09-08;2020-10-19;42;4772.896484375
Koulikoro;3;2021-09-01;2021-10-05;35;4357.5908203125
Koulikoro;4;2022-09-05;2022-10-17;43;4351.75927734375
Mopti;0;2018-09-04;2018-10-25;52;3541.5478515625
Mopti;1;2019-09-04;2019-10-30;57;3544.6884765625
Mopti;2;2020-09-02;2020-11-02;62;4273.5546875
Mopti;3;2021-09-05;2021-10-15;41;3223.4736328125
Mopti;4;2022-09-17;2022-10-25;39;3106.998046875
Pankourou;0;2016-08-30;2016-10-01;33;601.8115234375
Pankourou;1;2018-08-20;2018-10-14;56;1049.145751953125
Pankourou;2;2019-08-31;2019-10-16;47;847.8269653320312
Pankourou;3;2020-08-31;2020-10-18;49;776.0664672851562
Pankourou;4;2021-08-15;2021-10-04;51;834.789794921875
Pankourou;5;2022-08-27;2022-10-10;45;800.094482421875
Sofara;0;2016-09-02;2016-10-04;33;991.2313842773438
Sofara;1;2018-08-29;2018-10-25;58;1328.898193359375
Sofara;2;2019-09-03;2019-10-28;56;1343.54296875
Sofara;3;2020-08-30;2020-11-02;65;1605.8975830078125
Sofara;4;2021-08-24;2021-10-11;49;1129.7763671875
Sofara;5;2022-09-17;2022-10-19;33;1118.6644287109375
