admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2018-09-07;2018-09-20;14;1425.501953125
ML0101;1;2019-09-03;2019-09-13;11;1361.9454345703125
ML0101;2;2020-09-07;2020-10-02;26;1750.4853515625
ML0102;0;2018-09-12;2018-09-15;4;415.2714538574219
ML0102;1;2019-08-26;2019-09-03;9;618.0117797851562
ML0102;2;2020-08-31;2020-09-17;18;861.5140991210938
ML0103;0;2018-09-08;2018-09-23;16;1445.3931884765625
ML0103;1;2019-09-02;2019-09-09;8;1382.477294921875
ML0103;2;2020-09-05;2020-10-03;29;1742.160400390625
ML0104;0;2018-09-01;2018-09-13;13;1733.622802734375
ML0104;1;2019-08-28;2019-09-04;8;1633.5367431640625
ML0104;2;2020-09-07;2020-09-16;10;1762.7733154296875
ML0105;0;2020-09-09;2020-09-13;5;1450.2109375
ML0107;0;2020-09-04;2020-09-10;7;1308.8873291015625
ML0201;0;2019-08-27;2019-08-31;5;193.15142822265625
ML0201;1;2020-08-29;2020-09-06;9;268.2996520996094
ML0202;0;2018-09-03;2018-09-26;24;1947.4002685546875
ML0202;1;2020-09-12;2020-09-21;10;1730.1033935546875
ML0202;2;2021-09-15;2021-09-20;6;1666.5654296875
ML0202;3;2022-09-26;2022-09-27;2;1614.34375
ML0203;0;2018-09-11;2018-09-21;11;4949.1328125
ML0203;1;2019-09-10;2019-09-29;20;4829.162109375
ML0203;2;2020-09-13;2020-09-26;14;4899.9638671875
ML0204;0;2018-09-11;2018-09-21;11;4949.1328125
ML0204;1;2019-09-10;2019-09-29;20;4829.162109375
ML0204;2;2020-09-13;2020-09-26;14;4915.4130859375
ML0205;0;2019-08-27;2019-09-01;6;435.40496826171875
ML0205;1;2020-09-03;2020-09-12;10;496.78326416015625
ML0206;0;2018-09-11;2018-09-21;11;4724.77392578125
ML0206;1;2019-09-12;2019-09-26;15;4649.8603515625
ML0206;2;2020-09-14;2020-09-27;14;4874.64013671875
ML0207;0;2019-08-26;2019-09-01;7;618.0117797851562
ML0207;1;2020-09-02;2020-09-09;8;596.6093139648438
ML0301;0;2018-08-25;2018-09-27;34;1136.5162353515625
ML0301;1;2019-09-14;2019-09-24;11;867.795166015625
ML0301;2;2020-09-10;2020-09-12;3;781.3536376953125
ML0301;3;2021-09-01;2021-09-07;7;835.8515014648438
ML0301;4;2021-09-18;2021-09-21;4;790.2417602539062
ML0302;0;2018-08-25;2018-09-22;29;467.364501953125
ML0302;1;2019-09-12;2019-09-21;10;329.57659912109375
ML0302;2;2021-09-01;2021-09-04;4;303.369140625
ML0303;0;2018-08-25;2018-09-30;37;1025.4114990234375
ML0303;1;2019-09-14;2019-09-24;11;804.7286376953125
ML0303;2;2021-09-02;2021-09-06;5;781.2664794921875
ML0303;3;2021-09-17;2021-09-21;5;776.92626953125
ML0303;4;2022-09-16;2022-09-17;2;726.7734375
ML0304;0;2018-09-02;2018-09-07;6;548.9600219726562
ML0304;1;2020-08-30;2020-09-13;15;640.6456909179688
ML0305;0;2018-08-28;2018-09-27;31;1151.65478515625
ML0305;1;2019-09-15;2019-09-21;7;942.1709594726562
ML0305;2;2020-09-10;2020-09-15;6;926.9361572265625
ML0305;3;2021-09-01;2021-09-06;6;944.6517333984375
ML0306;0;2018-08-28;2018-09-29;33;1375.244140625
ML0306;1;2019-09-02;2019-09-26;25;1197.6080322265625
ML0306;2;2021-09-04;2021-09-06;3;1017.293212890625
ML0401;0;2018-09-13;2018-09-20;8;4372.46875
ML0401;1;2020-09-14;2020-09-27;14;4375.5029296875
ML0402;0;2018-09-08;2018-10-05;28;2088.188720703125
ML0402;1;2020-09-13;2020-09-29;17;1820.4197998046875
ML0402;2;2020-10-12;2020-10-14;3;1666.724853515625
ML0402;3;2022-09-26;2022-10-04;9;1723.2645263671875
ML0403;0;2018-09-16;2018-09-21;6;3957.416015625
ML0403;1;2019-09-16;2019-09-17;2;3796.091796875
ML0403;2;2020-09-13;2020-09-29;17;4191.17822265625
ML0403;3;2021-09-21;2021-09-22;2;3741.7294921875
ML0403;4;2022-09-27;2022-10-06;10;4041.577392578125
ML0404;0;2019-08-25;2019-09-02;9;456.6398620605469
ML0404;1;2020-08-29;2020-09-12;15;398.0613098144531
ML0405;0;2018-09-12;2018-10-13;32;1794.6383056640625
ML0405;1;2019-09-15;2019-09-29;15;1504.4254150390625
ML0405;2;2020-09-09;2020-10-23;45;1814.7196044921875
ML0405;3;2022-10-02;2022-10-04;3;1416.685546875
ML0406;0;2018-09-16;2018-09-20;5;4012.5126953125
ML0406;1;2019-09-23;2019-09-25;3;3870.9775390625
ML0406;2;2020-09-13;2020-09-27;15;4213.3427734375
ML0406;3;2021-09-21;2021-09-22;2;3822.24169921875
ML0406;4;2022-09-28;2022-10-05;8;4039.373046875
ML0502;0;2018-08-10;2018-08-11;2;252.82469177246094
ML0502;1;2019-08-26;2019-08-27;2;257.4754638671875
ML0503;0;2018-09-15;2018-09-26;12;2997.509521484375
ML0503;1;2019-09-19;2019-09-30;12;3009.34912109375
ML0503;2;2020-09-11;2020-10-13;33;3445.754638671875
ML0503;3;2021-09-20;2021-09-27;8;2959.283935546875
ML0504;0;2018-08-10;2018-08-14;5;369.4753723144531
ML0504;1;2019-08-25;2019-08-27;3;305.40240478515625
ML0505;0;2018-08-10;2018-08-11;2;175.03286743164062
ML0505;1;2019-08-26;2019-08-27;2;154.13424682617188
ML0506;0;2019-09-28;2019-09-30;3;2828.711669921875
ML0506;1;2020-09-16;2020-10-31;46;3186.509521484375
ML0507;0;2018-09-15;2018-09-24;10;3199.74365234375
ML0507;1;2019-09-21;2019-09-27;7;3005.495361328125
ML0507;2;2020-09-12;2020-09-30;19;3663.697265625
ML0507;3;2021-09-20;2021-09-25;6;3031.27880859375
ML0508;0;2019-10-25;2019-10-26;2;2785.827392578125
ML0508;1;2020-09-21;2020-11-01;42;3149.78515625
ML0601;0;2020-09-20;2020-12-05;77;2412.72314453125
ML0602;0;2019-10-23;2019-10-29;7;2215.31884765625
ML0602;1;2020-09-20;2020-11-26;68;2492.651123046875
ML0603;0;2020-10-09;2020-12-09;62;2169.410888671875
ML0604;0;2019-10-03;2019-10-25;23;2300.122802734375
ML0604;1;2020-09-19;2020-11-23;66;2548.3876953125
ML0605;0;2020-10-09;2020-12-06;59;2125.28515625
ML0701;0;2019-12-11;2019-12-28;18;1618.1341552734375
ML0702;0;2019-11-21;2019-11-25;5;2019.037841796875
ML0702;1;2020-10-25;2020-12-01;38;2084.1826171875
ML0703;0;2020-10-27;2020-12-20;55;1876.7535400390625
ML0901;0;2018-09-11;2018-09-21;11;4775.41845703125
ML0901;1;2019-09-12;2019-09-29;18;4650.02978515625
ML0901;2;2020-09-14;2020-09-26;13;4840.6591796875
