identifier;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2018-09-05;2018-09-24;20;1425.501953125
ML0101;1;2019-08-30;2019-09-15;17;1361.9454345703125
ML0101;2;2020-09-05;2020-10-08;34;1750.4853515625
ML0102;0;2018-08-22;2018-09-16;26;449.7134094238281
ML0102;1;2019-08-26;2019-09-07;13;618.0117797851562
ML0102;2;2020-08-31;2020-09-18;19;861.5140991210938
ML0102;3;2021-08-19;2021-08-20;2;188.3648223876953
ML0103;0;2018-09-05;2018-09-25;21;1445.3931884765625
ML0103;1;2019-08-30;2019-09-16;18;1387.325439453125
ML0103;2;2020-09-05;2020-10-08;34;1742.160400390625
ML0104;0;2018-09-01;2018-09-16;16;1733.622802734375
ML0104;1;2019-08-28;2019-09-22;26;1633.5367431640625
ML0104;2;2020-09-03;2020-09-21;19;1779.5797119140625
ML0105;0;2018-09-01;2018-09-16;16;1375.7108154296875
ML0105;1;2019-08-28;2019-09-22;26;1149.57470703125
ML0105;2;2020-09-03;2020-09-21;19;1450.2109375
ML0105;3;2021-08-21;2021-08-22;2;899.4017944335938
ML0107;0;2018-09-12;2018-09-15;4;529.71630859375
ML0107;1;2019-08-27;2019-09-02;7;728.4833374023438
ML0107;2;2020-08-26;2020-09-14;20;1308.8873291015625
ML0201;0;2018-08-21;2018-08-22;2;71.84890747070312
ML0201;1;2018-09-04;2018-09-14;11;125.23072052001953
ML0201;2;2019-08-26;2019-09-03;9;193.15142822265625
ML0201;3;2020-08-05;2020-08-15;11;93.10829162597656
ML0201;4;2020-08-27;2020-09-14;19;268.2996520996094
ML0202;0;2018-08-31;2018-09-26;27;1947.4002685546875
ML0202;1;2019-09-14;2019-09-20;7;1591.55712890625
ML0202;2;2020-09-10;2020-09-22;13;1730.1033935546875
ML0202;3;2021-09-03;2021-09-23;21;1666.5654296875
ML0202;4;2022-09-18;2022-10-03;16;1637.797607421875
ML0203;0;2018-09-08;2018-09-24;17;4949.1328125
ML0203;1;2019-09-07;2019-10-04;28;4829.162109375
ML0203;2;2020-09-13;2020-09-27;15;4899.9638671875
ML0203;3;2021-09-20;2021-09-26;7;4484.06494140625
ML0203;4;2022-09-27;2022-10-04;8;4477.05810546875
ML0204;0;2018-09-09;2018-09-24;16;4949.1328125
ML0204;1;2019-09-08;2019-10-02;25;4829.162109375
ML0204;2;2020-09-13;2020-09-27;15;4915.4130859375
ML0204;3;2021-09-20;2021-09-26;7;4504.95068359375
ML0204;4;2022-09-27;2022-10-04;8;4518.3154296875
ML0205;0;2018-08-31;2018-09-14;15;289.3081359863281
ML0205;1;2019-08-27;2019-09-03;8;435.40496826171875
ML0205;2;2020-08-27;2020-09-16;21;663.4580078125
ML0205;3;2021-08-19;2021-08-21;3;169.28164672851562
ML0205;4;2022-09-22;2022-09-23;2;168.28160095214844
ML0206;0;2018-09-09;2018-09-22;14;4724.77392578125
ML0206;1;2019-09-10;2019-10-01;22;4649.8603515625
ML0206;2;2020-09-13;2020-09-29;17;4874.64013671875
ML0206;3;2021-09-19;2021-09-26;8;4537.41259765625
ML0206;4;2022-09-20;2022-10-05;16;4526.564453125
ML0207;0;2018-08-05;2018-08-06;2;139.70535278320312
ML0207;1;2018-09-12;2018-09-14;3;226.31256103515625
ML0207;2;2019-08-26;2019-09-03;9;618.0117797851562
ML0207;3;2020-08-28;2020-09-14;18;653.7069702148438
ML0207;4;2022-09-05;2022-09-06;2;119.66980743408203
