identifier;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2018-08-29;2018-10-04;37;1434.318115234375
ML0101;1;2019-08-28;2019-10-10;44;1363.6527099609375
ML0101;2;2020-08-28;2020-10-18;52;1789.0611572265625
ML0101;3;2021-08-25;2021-09-26;33;967.34423828125
ML0101;4;2022-09-06;2022-10-06;31;1061.771484375
ML0102;0;2018-08-06;2018-09-20;46;478.691162109375
ML0102;1;2019-08-26;2019-09-14;20;637.4523315429688
ML0102;2;2020-08-06;2020-08-07;2;172.22874450683594
ML0102;3;2020-08-27;2020-09-26;31;905.1732177734375
ML0102;4;2021-08-19;2021-08-22;4;163.52188110351562
ML0102;5;2022-09-06;2022-09-07;2;166.36572265625
ML0102;6;2022-09-25;2022-09-27;3;176.04063415527344
ML0103;0;2018-08-23;2018-10-08;47;1436.358154296875
ML0103;1;2019-08-27;2019-10-12;47;1358.9459228515625
ML0103;2;2020-08-23;2020-10-22;61;1710.9969482421875
ML0103;3;2021-08-21;2021-10-04;45;982.505859375
ML0103;4;2022-09-08;2022-10-10;33;979.1893920898438
ML0104;0;2018-08-30;2018-09-18;20;1601.58837890625
ML0104;1;2019-08-28;2019-09-28;32;1521.081787109375
ML0104;2;2020-08-29;2020-10-07;40;1753.8262939453125
ML0104;3;2021-08-23;2021-09-08;17;932.1302490234375
ML0104;4;2022-09-06;2022-09-08;3;836.490478515625
ML0104;5;2022-09-20;2022-09-22;3;826.5368041992188
ML0105;0;2018-08-30;2018-09-18;20;1383.9931640625
ML0105;1;2019-08-28;2019-09-27;31;1151.6800537109375
ML0105;2;2020-08-29;2020-10-07;40;1477.649169921875
ML0105;3;2021-08-20;2021-09-08;20;932.1302490234375
ML0105;4;2022-09-06;2022-09-08;3;836.490478515625
ML0107;0;2016-07-27;2016-08-01;6;472.86431884765625
ML0107;1;2016-08-12;2016-09-16;36;510.5587463378906
ML0107;2;2018-08-14;2018-09-21;39;580.3570556640625
ML0107;3;2019-08-26;2019-09-05;11;803.0223388671875
ML0107;4;2020-08-06;2020-08-07;2;324.41668701171875
ML0107;5;2020-08-22;2020-09-16;26;1165.1544189453125
ML0107;6;2021-08-19;2021-08-23;5;377.1559753417969
ML0107;7;2022-09-03;2022-09-28;26;462.3499450683594
ML0201;0;2017-08-25;2017-08-26;2;40.264739990234375
ML0201;1;2018-08-16;2018-08-17;2;52.3928337097168
ML0201;2;2018-08-29;2018-09-14;17;120.4152603149414
ML0201;3;2019-08-26;2019-09-13;19;207.18333435058594
ML0201;4;2020-08-05;2020-09-15;42;247.88905334472656
ML0201;5;2021-08-19;2021-08-21;3;19.198495864868164
ML0201;6;2022-09-22;2022-09-23;2;34.417816162109375
ML0202;0;2016-08-25;2016-10-09;46;1295.1009521484375
ML0202;1;2018-08-22;2018-10-20;60;1893.8065185546875
ML0202;2;2019-08-28;2019-10-25;59;1620.9808349609375
ML0202;3;2020-08-27;2020-10-28;63;1715.886962890625
ML0202;4;2021-08-14;2021-10-10;58;1668.905517578125
ML0202;5;2022-09-06;2022-10-21;46;1621.5484619140625
ML0203;0;2018-09-01;2018-10-16;46;4935.2353515625
ML0203;1;2019-08-30;2019-10-19;51;4755.34619140625
ML0203;2;2020-09-08;2020-10-18;41;4850.81689453125
ML0203;3;2021-09-02;2021-10-04;33;4526.287109375
ML0203;4;2022-09-08;2022-10-19;42;4425.912109375
ML0204;0;2018-09-01;2018-10-16;46;4935.2353515625
ML0204;1;2019-08-31;2019-10-19;50;4772.67236328125
ML0204;2;2020-09-06;2020-10-18;43;4862.44580078125
ML0204;3;2021-09-02;2021-10-04;33;4553.802734375
ML0204;4;2022-09-08;2022-10-19;42;4512.61328125
ML0205;0;2018-08-28;2018-09-15;19;300.3365783691406
ML0205;1;2019-08-26;2019-09-04;10;563.7254028320312
ML0205;2;2020-08-05;2020-08-07;3;124.43678283691406
ML0205;3;2020-08-27;2020-09-20;25;636.6084594726562
ML0205;4;2021-08-18;2021-08-22;5;239.55648803710938
ML0205;5;2022-09-22;2022-09-25;4;160.1110076904297
ML0206;0;2018-09-01;2018-10-14;44;4718.39892578125
ML0206;1;2019-09-02;2019-10-19;48;4653.74755859375
ML0206;2;2020-09-06;2020-10-18;43;4852.44677734375
ML0206;3;2021-09-01;2021-10-05;35;4491.7373046875
ML0206;4;2022-09-05;2022-10-17;43;4512.61328125
ML0207;0;2018-08-06;2018-09-16;42;345.32586669921875
ML0207;1;2019-08-25;2019-09-13;20;673.4669799804688
ML0207;2;2020-08-06;2020-08-07;2;143.10772705078125
ML0207;3;2020-08-28;2020-09-16;20;568.760498046875
ML0207;4;2022-09-06;2022-09-07;2;107.0478515625
ML0301;0;2016-08-25;2016-10-05;42;643.8836059570312
ML0301;1;2018-08-18;2018-10-15;59;1139.829345703125
ML0301;2;2019-08-28;2019-10-20;54;866.880859375
ML0301;3;2020-08-28;2020-10-22;56;824.8165893554688
ML0301;4;2021-08-12;2021-10-05;55;879.3756713867188
ML0301;5;2022-08-29;2022-10-13;46;789.5874633789062
ML0302;0;2016-08-29;2016-10-07;40;237.38381958007812
ML0302;1;2018-08-19;2018-10-15;58;451.2945556640625
ML0302;2;2019-08-29;2019-10-23;56;325.03240966796875
ML0302;3;2020-09-02;2020-10-17;46;254.75559997558594
ML0302;4;2021-08-16;2021-09-30;46;327.64617919921875
ML0302;5;2022-09-01;2022-10-12;42;262.6785583496094
ML0303;0;2016-08-29;2016-10-05;38;606.3642578125
ML0303;1;2018-08-19;2018-10-15;58;1029.891845703125
ML0303;2;2019-08-28;2019-10-22;56;808.8292236328125
ML0303;3;2020-08-30;2020-10-20;52;741.722412109375
ML0303;4;2021-08-13;2021-10-06;55;791.9169311523438
ML0303;5;2022-08-29;2022-10-13;46;779.5100708007812
ML0304;0;2016-08-18;2016-09-18;32;360.620361328125
ML0304;1;2017-08-10;2017-08-12;3;166.0627899169922
ML0304;2;2017-08-26;2017-09-05;11;240.5361328125
ML0304;3;2018-08-12;2018-09-30;50;505.97137451171875
ML0304;4;2019-08-26;2019-09-27;33;382.6135559082031
ML0304;5;2020-08-19;2020-10-14;57;666.996826171875
ML0304;6;2021-08-11;2021-09-05;26;437.4429626464844
ML0304;7;2021-09-16;2021-09-19;4;170.05921936035156
ML0304;8;2022-09-10;2022-09-28;19;348.4059143066406
ML0305;0;2016-08-23;2016-10-07;46;767.4913940429688
ML0305;1;2018-08-19;2018-10-15;58;1175.034423828125
ML0305;2;2019-08-27;2019-10-20;55;946.0242309570312
ML0305;3;2020-08-29;2020-10-21;54;941.9356079101562
ML0305;4;2021-08-09;2021-10-05;58;983.5049438476562
