admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0103;1;2019-08-28;2019-09-15;19;1358.9459228515625
ML0105;1;2019-08-29;2019-09-23;26;1151.6800537109375
ML0202;4;2022-09-18;2022-10-03;16;1621.5484619140625
ML0203;1;2019-09-08;2019-10-04;27;4755.34619140625
ML0204;4;2022-09-22;2022-10-05;14;4512.61328125
ML0205;1;2019-08-27;2019-09-04;9;563.7254028320312
ML0206;1;2019-09-10;2019-10-02;23;4653.74755859375
ML0207;0;2018-09-13;2018-09-14;2;150.6686553955078
ML0301;4;2022-09-06;2022-09-18;13;789.5874633789062
ML0302;1;2019-09-13;2019-09-24;12;325.03240966796875
ML0304;2;2019-08-30;2019-09-01;3;244.23367309570312
ML0305;0;2018-08-25;2018-09-30;37;1175.034423828125
ML0305;1;2019-09-15;2019-09-25;11;946.0242309570312
ML0401;4;2022-09-27;2022-10-08;12;4212.67431640625
ML0402;4;2022-09-20;2022-10-05;16;1735.9434814453125
ML0405;4;2022-09-25;2022-10-05;11;1514.8189697265625
ML0406;4;2022-09-25;2022-10-10;16;4033.42822265625
ML0503;4;2022-10-04;2022-10-06;3;2677.12841796875
ML0504;0;2017-08-27;2017-08-28;2;168.9147491455078
ML0504;6;2022-08-30;2022-09-01;3;179.1914520263672
ML0505;0;2017-08-10;2017-08-12;3;129.8594207763672
ML0505;5;2022-08-31;2022-09-01;2;129.46522521972656
ML0506;3;2022-10-18;2022-10-19;2;2779.5732421875
ML0604;0;2019-10-08;2019-10-09;2;2226.313232421875
ML0701;2;2019-12-05;2020-01-07;34;1623.6905517578125
ML0702;0;2019-11-23;2019-11-24;2;2002.1292724609375
ML0901;0;2018-09-10;2018-09-22;13;4764.3291015625
ML0901;1;2019-09-10;2019-10-01;22;4659.5751953125
ML0901;4;2022-09-24;2022-10-05;12;4395.0712890625
