admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0101;0;2016-07-26;2016-10-27;94;851.0252685546875
ML0101;1;2017-07-25;2017-10-07;75;759.7904663085938
ML0101;2;2018-08-08;2018-10-27;81;1477.6741943359375
ML0101;3;2019-07-27;2019-11-05;102;1405.579345703125
ML0101;4;2020-07-23;2020-11-11;112;1739.149169921875
ML0101;5;2021-08-03;2021-10-29;88;917.8015747070312
ML0101;6;2022-08-11;2022-11-04;86;1330.593017578125
ML0102;0;2016-08-15;2016-08-16;2;185.79751586914062
ML0102;1;2017-08-27;2017-08-28;2;108.77285766601562
ML0102;2;2018-08-09;2018-09-22;45;439.5993957519531
ML0102;3;2019-08-25;2019-09-15;22;734.5408325195312
ML0102;4;2020-08-05;2020-08-17;13;254.69468688964844
ML0102;5;2020-08-26;2020-09-28;34;1186.3372802734375
ML0102;6;2021-08-19;2021-08-25;7;152.405517578125
ML0102;7;2022-09-25;2022-09-29;5;141.98130798339844
ML0103;0;2016-07-26;2016-10-26;93;764.4228515625
ML0103;1;2017-07-26;2017-10-07;74;740.8002319335938
ML0103;2;2018-08-09;2018-10-24;77;1543.85986328125
ML0103;3;2019-07-28;2019-11-04;100;1607.3826904296875
ML0103;4;2020-07-24;2020-11-09;109;1731.0546875
ML0103;5;2021-08-04;2021-10-28;86;943.5875854492188
ML0103;6;2022-08-12;2022-11-03;84;1002.3277587890625
ML0104;0;2016-07-27;2016-10-09;75;753.6239013671875
ML0104;1;2017-07-31;2017-10-04;66;886.2788696289062
ML0104;2;2018-08-09;2018-10-17;70;1443.435546875
ML0104;3;2019-08-04;2019-10-29;87;1491.5789794921875
ML0104;4;2020-08-03;2020-10-23;82;1830.94189453125
ML0104;5;2021-08-05;2021-10-12;69;897.8281860351562
ML0104;6;2022-08-12;2022-10-22;72;1012.1571044921875
ML0105;0;2016-07-27;2016-10-12;78;753.6239013671875
ML0105;1;2017-07-24;2017-10-06;75;763.7446899414062
ML0105;2;2018-08-07;2018-10-20;75;1339.5318603515625
ML0105;3;2019-07-27;2019-10-30;96;1120.431884765625
ML0105;4;2020-07-31;2020-10-25;87;1728.6207275390625
ML0105;5;2021-08-03;2021-10-17;76;897.8281860351562
ML0105;6;2021-10-26;2021-10-28;3;255.2664031982422
ML0105;7;2022-08-07;2022-10-23;78;1012.1571044921875
ML0106;0;2016-08-21;2016-08-22;2;21.800344467163086
ML0106;1;2018-08-12;2018-08-13;2;43.27412033081055
ML0106;2;2018-09-12;2018-09-14;3;26.42816734313965
ML0106;3;2019-08-26;2019-09-03;9;65.9669418334961
ML0106;4;2020-08-06;2020-08-08;3;31.1235408782959
ML0106;5;2020-08-27;2020-09-14;19;143.80758666992188
ML0106;6;2022-09-02;2022-09-04;3;21.808670043945312
ML0107;0;2016-07-28;2016-09-21;56;521.03662109375
ML0107;1;2017-08-23;2017-09-01;10;328.3265075683594
ML0107;2;2018-08-08;2018-09-27;51;555.1719970703125
ML0107;3;2019-08-25;2019-09-12;19;752.9554443359375
ML0107;4;2020-07-28;2020-09-25;60;1574.0797119140625
ML0107;5;2020-10-07;2020-10-12;6;229.10255432128906
ML0107;6;2021-08-17;2021-08-31;15;450.6376953125
ML0107;7;2022-08-20;2022-10-03;45;503.02044677734375
ML0201;0;2016-08-30;2016-08-31;2;42.06892395019531
ML0201;1;2017-08-24;2017-08-26;3;30.867090225219727
ML0201;2;2018-08-13;2018-08-14;2;78.86846160888672
ML0201;3;2018-08-19;2018-08-21;3;76.3395767211914
ML0201;4;2018-09-02;2018-09-14;13;134.45091247558594
ML0201;5;2019-08-26;2019-09-04;10;114.89212036132812
ML0201;6;2019-09-10;2019-09-11;2;34.662254333496094
