event_ID;index;identifier;flood_start;flood_end;duration
Ansongo_0;0;Ansongo;2016-10-24;2017-02-07;107
Ansongo_1;1;Ansongo;2017-11-21;2017-12-20;30
Ansongo_2;2;Ansongo;2018-11-04;2018-12-30;57
Bafing Makana_0;0;Bafing Makana;2017-07-08;2017-07-09;2
Bamako_0;0;Bamako;2016-09-16;2016-09-24;9
Bamako_1;1;Bamako;2016-10-02;2016-10-05;4
Bamako_2;2;Bamako;2018-08-22;2018-08-28;7
Bamako_3;3;Bamako;2018-09-01;2018-10-18;48
Banankoro_0;0;Banankoro;2016-09-03;2016-09-04;2
Banankoro_1;1;Banankoro;2016-09-12;2016-10-10;29
Banankoro_2;2;Banankoro;2018-08-21;2018-08-27;7
Banankoro_3;3;Banankoro;2018-08-30;2018-10-20;52
Bougouni_0;0;Bougouni;2016-08-12;2016-10-03;53
Bougouni_1;1;Bougouni;2018-08-17;2018-08-18;2
Bougouni_2;2;Bougouni;2018-08-24;2018-09-01;9
Bougouni_3;3;Bougouni;2018-09-04;2018-10-21;48
Douna_0;0;Douna;2016-07-28;2016-10-31;96
Douna_1;1;Douna;2017-08-26;2017-09-24;30
Douna_2;2;Douna;2017-10-07;2017-10-14;8
Douna_3;3;Douna;2018-08-04;2018-11-11;100
Kayes_0;0;Kayes;2016-09-02;2016-09-03;2
Kayes_1;1;Kayes;2018-08-30;2018-09-01;3
Kayes_2;2;Kayes;2018-09-03;2018-09-09;7
Koulikoro_0;0;Koulikoro;2018-09-05;2018-10-14;40
Mopti_0;0;Mopti;2016-08-24;2016-11-08;77
Mopti_1;1;Mopti;2018-08-31;2018-11-22;84
Pankourou_0;0;Pankourou;2016-08-02;2016-10-18;78
Pankourou_1;1;Pankourou;2018-08-07;2018-09-11;36
Sofara_0;0;Sofara;2016-08-06;2016-11-07;94
Sofara_1;1;Sofara;2017-08-15;2017-09-27;44
Sofara_2;2;Sofara;2018-08-13;2018-11-20;100
