index;event_ID;identifier;flood_start;flood_end;duration;admin_unit;admin_unit_NAME
0;Bafing Makana_0;Bafing Makana;2016-07-12;2016-07-14;3;ML0105;KITA
1;Bafing Makana_1;Bafing Makana;2016-07-12;2016-07-14;3;ML0104;KENIEBA
2;Bafing Makana_2;Bafing Makana;2016-11-19;2016-11-20;2;ML0105;KITA
3;Bafing Makana_3;Bafing Makana;2016-11-19;2016-11-20;2;ML0104;KENIEBA
4;Bafing Makana_4;Bafing Makana;2017-07-08;2017-07-09;2;ML0105;KITA
5;Bafing Makana_5;Bafing Makana;2017-07-08;2017-07-09;2;ML0104;KENIEBA
6;Bafing Makana_6;Bafing Makana;2017-10-21;2017-10-22;2;ML0105;KITA
7;Bafing Makana_7;Bafing Makana;2017-10-21;2017-10-22;2;ML0104;KENIEBA
8;Bafing Makana_8;Bafing Makana;2018-11-08;2018-11-11;4;ML0105;KITA
9;Bafing Makana_9;Bafing Makana;2018-11-08;2018-11-11;4;ML0104;KENIEBA
0;Bamako_0;Bamako;2016-09-16;2016-09-25;10;ML0901;BAMAKO
1;Bamako_1;Bamako;2016-09-16;2016-09-25;10;ML0204;KATI
2;Bamako_2;Bamako;2016-10-01;2016-10-07;7;ML0901;BAMAKO
3;Bamako_3;Bamako;2016-10-01;2016-10-07;7;ML0204;KATI
4;Bamako_4;Bamako;2018-08-22;2018-08-29;8;ML0901;BAMAKO
5;Bamako_5;Bamako;2018-08-22;2018-08-29;8;ML0204;KATI
6;Bamako_6;Bamako;2018-09-01;2018-10-19;49;ML0901;BAMAKO
7;Bamako_7;Bamako;2018-09-01;2018-10-19;49;ML0204;KATI
0;Banankoro_0;Banankoro;2016-08-31;2016-10-12;43;ML0203;KENEKOUN
1;Banankoro_1;Banankoro;2017-09-10;2017-09-14;5;ML0203;KENEKOUN
2;Banankoro_2;Banankoro;2018-08-20;2018-10-22;64;ML0203;KENEKOUN
0;Bougouni_0;Bougouni;2016-08-12;2016-10-03;53;ML0301;BOUGOUNI
1;Bougouni_1;Bougouni;2018-08-17;2018-08-18;2;ML0301;BOUGOUNI
2;Bougouni_2;Bougouni;2018-08-24;2018-09-01;9;ML0301;BOUGOUNI
3;Bougouni_3;Bougouni;2018-09-04;2018-10-21;48;ML0301;BOUGOUNI
0;Douna_0;Douna;2016-08-02;2016-10-27;87;ML0402;BLA
1;Douna_1;Douna;2016-08-02;2016-10-27;87;ML0406;SEGOU
2;Douna_2;Douna;2017-09-01;2017-09-20;20;ML0402;BLA
3;Douna_3;Douna;2017-09-01;2017-09-20;20;ML0406;SEGOU
4;Douna_4;Douna;2018-08-08;2018-11-08;93;ML0402;BLA
5;Douna_5;Douna;2018-08-08;2018-11-08;93;ML0406;SEGOU
0;Kayes_0;Kayes;2016-09-02;2016-09-03;2;ML0103;SANDIA
1;Kayes_1;Kayes;2018-08-30;2018-08-31;2;ML0103;SANDIA
2;Kayes_2;Kayes;2018-09-03;2018-09-04;2;ML0103;SANDIA
3;Kayes_3;Kayes;2018-09-06;2018-09-09;4;ML0103;SANDIA
0;Koulikoro_0;Koulikoro;2018-09-06;2018-10-10;35;ML0206;TOUBAKORO
0;Mopti_0;Mopti;2016-08-26;2016-11-07;74;ML0506;MOPTI
1;Mopti_1;Mopti;2018-09-02;2018-11-21;81;ML0506;MOPTI
0;Pankourou_0;Pankourou;2016-08-02;2016-10-18;78;ML0303;KOLONDIEBA
1;Pankourou_1;Pankourou;2016-08-02;2016-10-18;78;ML0301;BOUGOUNI
2;Pankourou_2;Pankourou;2016-08-02;2016-10-18;78;ML0305;BIRAMABOUGOU
3;Pankourou_3;Pankourou;2018-08-07;2018-09-11;36;ML0303;KOLONDIEBA
4;Pankourou_4;Pankourou;2018-08-07;2018-09-11;36;ML0301;BOUGOUNI
5;Pankourou_5;Pankourou;2018-08-07;2018-09-11;36;ML0305;BIRAMABOUGOU
0;Sofara_0;Sofara;2016-08-06;2016-11-07;94;ML0503;DJENNE
1;Sofara_1;Sofara;2016-08-06;2016-11-07;94;ML0506;MOPTI
2;Sofara_2;Sofara;2017-08-15;2017-09-27;44;ML0503;DJENNE
3;Sofara_3;Sofara;2017-08-15;2017-09-27;44;ML0506;MOPTI
4;Sofara_4;Sofara;2018-08-13;2018-11-21;101;ML0503;DJENNE
5;Sofara_5;Sofara;2018-08-13;2018-11-21;101;ML0506;MOPTI
