,identifier,TP,FP,FN,POD,FAR,precision,recall,f1,admin_unit_NAME
0,ML0101,0,0,1,0.0,,0.0,0.0,0.0,BAFOULABE
1,ML0103,0,2,3,0.0,1.0,0.0,0.0,0.0,SANDIA
2,ML0105,0,1,1,0.0,1.0,0.0,0.0,0.0,KITA
3,ML0107,0,0,2,0.0,,0.0,0.0,0.0,YELIMANE
4,ML0202,1,0,5,0.167,0.0,1.0,0.167,0.286,DIOILA
5,ML0203,0,1,1,0.0,1.0,0.0,0.0,0.0,KENEKOUN
6,ML0204,0,1,2,0.0,1.0,0.0,0.0,0.0,KATI
7,ML0205,0,1,1,0.0,1.0,0.0,0.0,0.0,KOLOKANI
8,ML0206,0,1,5,0.0,1.0,0.0,0.0,0.0,TOUBAKORO
9,ML0207,1,2,5,0.167,0.667,0.333,0.167,0.222,NARA
10,ML0301,0,1,2,0.0,1.0,0.0,0.0,0.0,BOUGOUNI
11,ML0302,0,2,2,0.0,1.0,0.0,0.0,0.0,ZEGOUA
12,ML0304,0,1,1,0.0,1.0,0.0,0.0,0.0,KOUTIALA
13,ML0305,2,3,7,0.222,0.6,0.4,0.222,0.286,BIRAMABOUGOU
14,ML0401,1,0,0,1.0,0.0,1.0,1.0,1.0,BARAOUELI
15,ML0402,1,2,4,0.2,0.667,0.333,0.2,0.25,BLA
16,ML0404,0,1,1,0.0,1.0,0.0,0.0,0.0,NIONO
17,ML0405,2,0,1,0.667,0.0,1.0,0.667,0.8,SAN
18,ML0406,1,0,12,0.077,0.0,1.0,0.077,0.143,SEGOU
19,ML0503,2,0,0,1.0,0.0,1.0,1.0,1.0,DJENNE
20,ML0504,2,2,1,0.667,0.5,0.5,0.667,0.571,DOUENTZA
21,ML0505,1,1,2,0.333,0.5,0.5,0.333,0.4,KORO
22,ML0506,0,1,6,0.0,1.0,0.0,0.0,0.0,MOPTI
23,ML0601,0,2,2,0.0,1.0,0.0,0.0,0.0,DIRE
24,ML0602,0,1,1,0.0,1.0,0.0,0.0,0.0,GOUNDAM
25,ML0603,0,1,2,0.0,1.0,0.0,0.0,0.0,GOURMA-RHAROUS
26,ML0604,0,3,3,0.0,1.0,0.0,0.0,0.0,NIAFUNKE
27,ML0605,0,3,4,0.0,1.0,0.0,0.0,0.0,TOMBOUCTOU
28,ML0701,0,1,1,0.0,1.0,0.0,0.0,0.0,ANSONGO
29,ML0702,0,2,3,0.0,1.0,0.0,0.0,0.0,BOUREM
30,ML0703,0,3,5,0.0,1.0,0.0,0.0,0.0,TAMKOUTAT
31,ML0901,1,2,9,0.1,0.667,0.333,0.1,0.154,BAMAKO
32,total,15,41,95,0.136,0.732,0.268,0.136,0.181,
