,admin_unit,TP,FP,FN,POD,FAR,precision,recall,f1,admin_unit_NAME
13,ML0103,3,0,1,0.75,0.0,1.0,0.75,0.857,SANDIA
10,ML0104,0,2,5,0.0,1.0,0.0,0.0,0.0,KENIEBA
2,ML0105,0,1,5,0.0,1.0,0.0,0.0,0.0,KITA
9,ML0203,1,0,2,0.333,0.0,1.0,0.333,0.5,KENEKOUN
6,ML0204,2,0,2,0.5,0.0,1.0,0.5,0.667,KATI
1,ML0206,1,0,0,1.0,0.0,1.0,1.0,1.0,TOUBAKORO
8,ML0301,6,0,0,1.0,0.0,1.0,1.0,1.0,BOUGOUNI
7,ML0303,2,0,0,1.0,0.0,1.0,1.0,1.0,KOLONDIEBA
4,ML0305,2,0,0,1.0,0.0,1.0,1.0,1.0,BIRAMABOUGOU
3,ML0402,3,0,0,1.0,0.0,1.0,1.0,1.0,BLA
5,ML0406,1,0,2,0.333,0.0,1.0,0.333,0.5,SEGOU
14,ML0503,1,0,2,0.333,0.0,1.0,0.333,0.5,DJENNE
11,ML0506,2,0,3,0.4,0.0,1.0,0.4,0.571,MOPTI
12,ML0901,2,0,2,0.5,0.0,1.0,0.5,0.667,BAMAKO
0,total,26,3,24,0.52,0.103,0.897,0.52,0.658,
