,identifier,TP,FP,FN,POD,FAR,precision,recall,f1
0,Ansongo,2,1,1,0.667,0.333,0.667,0.667,0.667
1,Bafing Makana,0,0,1,0.0,,0.0,0.0,0.0
2,Bamako,1,0,1,0.5,0.0,1.0,0.5,0.667
3,Banankoro,1,0,3,0.25,0.0,1.0,0.25,0.4
4,Bougouni,4,0,2,0.667,0.0,1.0,0.667,0.8
5,Douna,2,0,1,0.667,0.0,1.0,0.667,0.8
6,Kayes,4,0,0,1.0,0.0,1.0,1.0,1.0
7,Koulikoro,2,0,1,0.667,0.0,1.0,0.667,0.8
8,Mopti,1,0,1,0.5,0.0,1.0,0.5,0.667
9,Pankourou,2,0,1,0.667,0.0,1.0,0.667,0.8
10,Sofara,2,0,2,0.5,0.0,1.0,0.5,0.667
11,total,21,1,14,0.6,0.045,0.955,0.6,0.737
