,Tossaye,Koryoume,Goundam,Dire,Tonka,Sarafere,Ansongo,Akka,Kayes,Kabate,Kara,Tilembeya,Sofara,Ke Macina,Galougo,Kirango Aval,Toukoto,Beneny Kegny,Oualia,Siramakana,Gourbassy,Dibia,Koulikoro,Dioila,Bafing Makana,Daka Saydou,Kouoro 2,Gouala,Banankoro,Selingue,Bougouni,Na,Niger River At Tossaye,Tamani,Banifing At Kolondieba,Koli-Koli A Korientze,Bara Issa A Awoye,Gao,Pankourou,Bamako,Diangola,Niger A Kenieroba,Guelelinkoro,Mahina,Douna,Kana,Baoule At Madina Diassa
26/06/2024,0.140625,3.171875,2.9375,0.046875,0.078125,1.515625,0.140625,0.296875,0.296875,0.140625,0.296875,21278.98438,107.421875,7.875,0,0.75,0,0.5,0.453125,1.015625,,,,,,,,,,,,0.375,0.28125,0.0625,,3.859375,0.859375,2.015625,,,,,,,21632.78125,3.140625,
27/06/2024,0.140625,3.15625,2.921875,0.046875,0.078125,1.515625,0.140625,0.296875,0.296875,0.140625,0.296875,21198.21875,107.296875,7.859375,0,0.75,0,0.5,0.4375,1.015625,,,,,,,,,,,,0.375,0.28125,0.0625,,3.828125,0.859375,2.015625,,,,,,,21552.75,3.140625,
28/06/2024,0.140625,3.15625,2.921875,0.046875,0.078125,1.515625,0.140625,0.296875,0.296875,0.140625,0.296875,21083.28125,107.15625,7.859375,0,0.75,0,0.5,0.4375,1,,,,,,,,,,,,0.375,0.28125,0.0625,,3.8125,0.859375,2.015625,,,,,,,21440.40625,3.140625,
29/06/2024,0.140625,3.140625,2.90625,0.046875,0.078125,1.5,0.140625,0.296875,0.296875,0.140625,0.296875,20986.09375,107.03125,7.84375,0,0.75,0,0.5,0.4375,0.984375,,,,,,,,,,,,0.375,0.28125,0.0625,,3.796875,0.859375,2.015625,,,,,,,21343.40625,3.140625,
30/06/2024,0.140625,3.125,2.90625,0.046875,0.078125,1.5,0.140625,0.296875,0.296875,0.140625,0.296875,20888.82813,106.890625,7.828125,0,0.75,0,0.5,0.4375,0.96875,,,,,,,,,,,,0.375,0.28125,0.0625,,3.78125,0.859375,2.015625,,,,,,,21245.6875,3.140625,
01/07/2024,0.140625,3.109375,2.90625,0.046875,0.078125,1.5,0.140625,0.296875,0.296875,0.140625,0.296875,20797.125,106.765625,7.8125,0,0.75,0,0.5,0.4375,0.953125,,,,,,,,,,,,0.375,0.28125,0.0625,,3.75,0.859375,2.015625,,,,,,,21151.89063,3.140625,
02/07/2024,0.140625,3.109375,2.890625,0.046875,0.0625,1.5,0.140625,0.296875,0.296875,0.140625,0.296875,20715.95313,106.640625,7.796875,0,0.75,0,0.5,0.421875,0.9375,,,,,,,,,,,,0.375,0.28125,0.0625,,3.734375,0.859375,2,,,,,,,21068.96875,3.140625,
03/07/2024,0.140625,3.09375,2.890625,0.046875,0.0625,1.5,0.140625,0.296875,0.296875,0.140625,0.296875,20610.5625,106.515625,7.796875,0,0.75,0,0.5,0.421875,0.921875,,,,,,,,,,,,0.375,0.28125,0.0625,,3.71875,0.859375,2,,,,,,,20962.95313,3.140625,
04/07/2024,0.140625,3.078125,2.875,0.046875,0.0625,1.5,0.140625,0.296875,0.296875,0.140625,0.296875,20535.70313,106.390625,7.78125,0,0.75,0,0.5,0.421875,0.90625,,,,,,,,,,,,0.375,0.265625,0.0625,,3.703125,0.859375,2,,,,,,,20888.20313,3.140625,
05/07/2024,0.140625,3.0625,2.875,0.046875,0.0625,1.5,0.140625,0.296875,0.296875,0.140625,0.28125,20441.375,106.25,7.765625,0,0.75,0,0.484375,0.421875,0.890625,,,,,,,,,,,,0.375,0.265625,0.0625,,3.6875,0.859375,2,,,,,,,20794.01563,3.125,
06/07/2024,0.140625,3.046875,2.875,0.046875,0.0625,1.484375,0.140625,0.296875,0.28125,0.140625,0.28125,20338.23438,106.125,7.75,0,0.75,0,0.484375,0.421875,0.875,,,,,,,,,,,,0.375,0.265625,0.0625,,3.671875,0.84375,1.984375,,,,,,,20691.1875,3.125,
07/07/2024,0.140625,3.03125,2.859375,0.046875,0.0625,1.484375,0.140625,0.296875,0.28125,0.140625,0.28125,20233.79688,106,7.734375,0,0.75,0,0.484375,0.40625,0.875,,,,,,,,,,,,0.375,0.265625,0.0625,,3.65625,0.84375,1.984375,,,,,,,20588.4375,3.125,
08/07/2024,0.140625,3.015625,2.859375,0.046875,0.0625,1.484375,0.140625,0.296875,0.28125,0.140625,0.28125,20117.98438,105.859375,7.734375,0,0.734375,0,0.484375,0.40625,0.859375,,,,,,,,,,,,0.375,0.265625,0.0625,,3.640625,0.84375,1.984375,,,,,,,20474.04688,3.125,
09/07/2024,0.140625,3,2.859375,0.046875,0.0625,1.484375,0.140625,0.296875,0.28125,0.140625,0.28125,19999.95313,105.734375,7.71875,0,0.734375,0,0.484375,0.40625,0.84375,,,,,,,,,,,,0.375,0.265625,0.0625,,3.625,0.84375,1.984375,,,,,,,20355.32813,3.125,
10/07/2024,0.140625,3,2.84375,0.046875,0.0625,1.484375,0.140625,0.296875,0.28125,0.125,0.28125,19881.57813,105.609375,7.703125,0,0.734375,0,0.484375,0.40625,0.828125,,,,,,,,,,,,0.375,0.265625,0.0625,,3.609375,0.84375,1.984375,,,,,,,20237.65625,3.125,
11/07/2024,0.125,2.984375,2.84375,0.046875,0.0625,1.484375,0.140625,0.296875,0.28125,0.125,0.28125,19754.1875,105.484375,7.6875,0,0.734375,0,0.484375,0.40625,0.8125,,,,,,,,,,,,0.375,0.265625,0.046875,,3.59375,0.84375,1.984375,,,,,,,20109.90625,3.125,
12/07/2024,0.125,2.96875,2.828125,0.046875,0.0625,1.484375,0.140625,0.28125,0.28125,0.125,0.28125,19628.45313,105.359375,7.6875,0,0.734375,0,0.484375,0.390625,0.796875,,,,,,,,,,,,0.375,0.265625,0.046875,,3.578125,0.84375,1.984375,,,,,,,19982.67188,3.125,
13/07/2024,0.125,2.953125,2.828125,0.046875,0.0625,1.46875,0.140625,0.28125,0.28125,0.125,0.28125,19506.125,105.234375,7.671875,0,0.734375,0,0.484375,0.390625,0.78125,,,,,,,,,,,,0.375,0.265625,0.046875,,3.5625,0.84375,1.96875,,,,,,,19858.78125,3.125,
14/07/2024,0.125,2.9375,2.828125,0.046875,0.0625,1.46875,0.140625,0.28125,0.28125,0.125,0.28125,19387.95313,105.09375,7.65625,0,0.734375,0,0.484375,0.390625,0.765625,,,,,,,,,,,,0.375,0.265625,0.046875,,3.546875,0.84375,1.96875,,,,,,,19740.20313,3.125,
15/07/2024,0.125,2.921875,2.8125,0.046875,0.0625,1.46875,0.140625,0.28125,0.28125,0.125,0.28125,19268.90625,104.96875,7.640625,0,0.734375,0,0.484375,0.390625,0.765625,,,,,,,,,,,,0.375,0.265625,0.046875,,3.53125,0.84375,1.96875,,,,,,,19622.29688,3.125,
16/07/2024,0.125,2.90625,2.8125,0.046875,0.0625,1.46875,0.140625,0.28125,0.28125,0.125,0.28125,19144.15625,104.84375,7.625,0,0.734375,0,0.484375,0.390625,0.75,,,,,,,,,,,,0.375,0.265625,0.046875,,3.515625,0.84375,1.96875,,,,,,,19497.32813,3.109375,
17/07/2024,0.125,2.90625,2.8125,0.046875,0.0625,1.46875,0.140625,0.28125,0.28125,0.125,0.28125,19020.48438,104.71875,7.625,0,0.734375,0,0.484375,0.390625,0.734375,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.5,0.84375,1.96875,,,,,,,19372.70313,3.109375,
18/07/2024,0.125,2.890625,2.796875,0.046875,0.0625,1.46875,0.140625,0.28125,0.265625,0.125,0.28125,18904.0625,104.59375,7.609375,0,0.734375,0,0.484375,0.375,0.71875,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.484375,0.84375,1.953125,,,,,,,19255.04688,3.109375,
19/07/2024,0.125,2.875,2.796875,0.03125,0.0625,1.46875,0.140625,0.28125,0.265625,0.125,0.28125,18801.57813,104.46875,7.59375,0,0.734375,0,0.484375,0.375,0.703125,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.484375,0.84375,1.953125,,,,,,,19151.51563,3.109375,
20/07/2024,0.125,2.859375,2.78125,0.03125,0.0625,1.46875,0.140625,0.28125,0.265625,0.125,0.28125,18674.5625,104.34375,7.578125,0,0.734375,0,0.484375,0.375,0.6875,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.46875,0.84375,1.953125,,,,,,,19024.67188,3.109375,
21/07/2024,0.125,2.84375,2.78125,0.03125,0.0625,1.453125,0.140625,0.28125,0.265625,0.125,0.28125,18565.53125,104.21875,7.578125,0,0.734375,0,0.484375,0.375,0.6875,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.453125,0.84375,1.953125,,,,,,,18914,3.109375,
22/07/2024,0.125,2.828125,2.78125,0.03125,0.0625,1.453125,0.140625,0.28125,0.265625,0.125,0.28125,18456.45313,104.09375,7.5625,0,0.734375,0,0.484375,0.375,0.671875,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.453125,0.84375,1.953125,,,,,,,18803.6875,3.109375,
23/07/2024,0.125,2.8125,2.765625,0.03125,0.0625,1.453125,0.140625,0.28125,0.265625,0.125,0.28125,18363.34375,103.953125,7.546875,0,0.734375,0,0.484375,0.375,0.65625,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.4375,0.84375,1.953125,,,,,,,18708.20313,3.109375,
24/07/2024,0.125,2.796875,2.765625,0.03125,0.0625,1.453125,0.140625,0.28125,0.265625,0.125,0.28125,18255.67188,103.828125,7.53125,0,0.734375,0,0.484375,0.359375,0.640625,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.421875,0.84375,1.9375,,,,,,,18598.85938,3.109375,
25/07/2024,0.125,2.7890625,2.7578125,0.0390625,0.0625,1.453125,0.140625,0.28125,0.265625,0.125,0.28125,18180.13281,103.7109375,7.5234375,0,0.7265625,0,0.4765625,0.359375,0.6328125,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.4140625,0.8359375,1.9375,,,,,,,18520.64844,3.1015625,
26/07/2024,0.1171875,2.7734375,2.75,0.0390625,0.0625,1.4453125,0.1328125,0.28125,0.265625,0.125,0.28125,18096.9375,103.5859375,7.5078125,0,0.7265625,0,0.4765625,0.359375,0.625,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.40625,0.8359375,1.9375,,,,,,,18436.42188,3.1015625,
27/07/2024,0.1171875,2.7578125,2.7421875,0.0390625,0.0625,1.4453125,0.1328125,0.2734375,0.265625,0.125,0.28125,17998.55469,103.4609375,7.5,0,0.7265625,0,0.4765625,0.359375,0.609375,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.3984375,0.8359375,1.9375,,,,,,,18337.24219,3.1015625,
28/07/2024,0.1171875,2.75,2.7421875,0.0390625,0.0625,1.4453125,0.1328125,0.2734375,0.2578125,0.125,0.28125,17926.90625,103.3359375,7.484375,0,0.7265625,0,0.4765625,0.359375,0.5859375,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.390625,0.8359375,1.9296875,,,,,,,18263.8125,3.1015625,
29/07/2024,0.1171875,2.734375,2.734375,0.0390625,0.0625,1.4453125,0.1328125,0.2734375,0.2578125,0.125,0.2734375,17862.22656,103.2109375,7.4765625,0,0.7265625,0,0.4765625,0.3515625,0.578125,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.3828125,0.8359375,1.9296875,,,,,,,18197.21875,3.1015625,
30/07/2024,0.1171875,2.7265625,2.7265625,0.0390625,0.0625,1.4375,0.1328125,0.2734375,0.2578125,0.125,0.2734375,17811.01563,103.0859375,7.4609375,0,0.71875,0,0.4765625,0.3515625,0.5625,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.3671875,0.8359375,1.9296875,,,,,,,18142.86719,3.09375,
31/07/2024,0.1171875,2.7109375,2.71875,0.0390625,0.0625,1.4375,0.1328125,0.2734375,0.2578125,0.125,0.2734375,17755.78906,102.9609375,7.453125,0,0.71875,0,0.4765625,0.3515625,0.5546875,,,,,,,,,,,,0.359375,0.265625,0.046875,,3.359375,0.8359375,1.921875,,,,,,,18086.35156,3.09375,
01/08/2024,0.1171875,2.703125,2.71875,0.0390625,0.0625,1.4375,0.1328125,0.2734375,0.2578125,0.125,0.2734375,17726.61719,102.8359375,7.4375,0,0.71875,0,0.4765625,0.34375,0.546875,,,,,,,,,,,,0.359375,0.265625,0.0390625,,3.3515625,0.8359375,1.921875,,,,,,,18055.85938,3.09375,
02/08/2024,0.1171875,2.6875,2.7109375,0.03125,0.0625,1.4296875,0.1328125,0.2734375,0.2578125,0.125,0.2734375,17688.47656,102.7109375,7.4296875,0,0.71875,0,0.4765625,0.34375,0.5390625,,,,,,,,,,,,0.359375,0.265625,0.0390625,,3.34375,0.8359375,1.921875,,,,,,,18014.73438,3.09375,
03/08/2024,0.1171875,2.671875,2.703125,0.03125,0.0625,1.4296875,0.1328125,0.2734375,0.2578125,0.125,0.2734375,17662.89063,102.5859375,7.4140625,0,0.71875,0,0.4765625,0.34375,0.53125,,,,,,,,,,,,0.359375,0.265625,0.0390625,,3.3359375,0.8359375,1.9140625,,,,,,,17986.8125,3.09375,
04/08/2024,0.1171875,2.6640625,2.703125,0.03125,0.0625,1.4296875,0.1328125,0.2734375,0.25,0.125,0.2734375,17655.17969,102.46875,7.3984375,0,0.71875,0,0.46875,0.3359375,0.5234375,,,,,,,,,,,,0.359375,0.265625,0.0390625,,3.328125,0.828125,1.9140625,,,,,,,17974.71094,3.09375,
05/08/2024,0.1171875,2.6484375,2.6953125,0.03125,0.0625,1.4296875,0.1328125,0.2734375,0.25,0.125,0.2734375,17650.55469,102.34375,7.390625,0,0.71875,0,0.46875,0.3359375,0.5078125,,,,,,,,,,,,0.359375,0.2578125,0.0390625,,3.3203125,0.828125,1.9140625,,,,,,,17969.35938,3.0859375,
06/08/2024,0.109375,2.640625,2.6875,0.03125,0.0625,1.421875,0.1328125,0.2734375,0.25,0.125,0.2734375,17621.64844,102.21875,7.375,0,0.71875,0,0.46875,0.3359375,0.5,,,,,,,,,,,,0.359375,0.2578125,0.0390625,,3.3125,0.828125,1.90625,,,,,,,17942.25781,3.0859375,
07/08/2024,0.109375,2.6328125,2.6796875,0.03125,0.0625,1.421875,0.1328125,0.265625,0.25,0.125,0.2734375,17598.96094,102.1015625,7.3671875,0,0.71875,0,0.46875,0.328125,0.484375,,,,,,,,,,,,0.359375,0.2578125,0.0390625,,3.3125,0.828125,1.90625,,,,,,,17921.51563,3.0859375,
