StationName,Sub-Basin,Latitude  N  (°),Longitude W (°),Altitude Z (m),superficie du BV    (km2),dates de creation ,temps propagation (ans),2,5,10,20,50,100,200,500,1000,
Guélélinkoro,Sankarani,11.15,-8.5643,,23300,,ND,,,,,,,,,,
Séligué Aval,,11.64,"-8,23",325,34200,1964,,618,717,790,853,897,939,981,1031,1063,
Gouala,,11.97,"-8,23",-,35300,-,,576,654,692,729,767,795,821,856,874,
Banankoro, Niger Supérieur,11.68,"-8,66",,71800,1967,le temps de progation entre Banankoro et Bamako peuvent être variables entre 4 et 12 jours. le temps de progation entre Banankoro et Bamako sont dépendants des apports du Sankarani. ,566,677,724,763,835,871,906,941,975,
Kéniéroba ,,12.1,"-8,31",-,113000,1953,,544,614,655,679,723,750,768,803,821,
Bamako,,12.63,"-7,99",316,117000,1941,,331,370,387,407,427,442,451,468,482,
Koulikoro,,12.86,"-7,56",290,120000,1907,Bamako - Koulikoro: 1 jour ,532,596,625,653,693,707,733,760,774,
Tamani,,13.33,"-6,83",282,131500,1952, Koulikoro - Tamani: 3 jours ,519,579,620,646,688,705,736,756,782,
Ségou ,,13.45,"-6,26",279,136500,1958,Tamani - Kirango : 2 jous,456,506,537,559,581,601,621,642,656,
Kirango,,13.69,"-6,07",275,137000,1925,,495,555,585,614,644,672,686,714,728,
Ké-Macina ,,13.95,"-5,35",277,147000,1953, Kirango - Ké-Macina : 1 jour  ,564,623,658,681,715,737,757,782,793,
Mopti,Delta du Niger,14.49,"-4,20",261,281600,1922,ND,492,610,641,662,688,703,719,739,750,
Nantaka,,14.54,"-4,21",261,281600,-,,569,639,680,719,759,795,819,859,878,
Akka,,15.39,"-4,23",-,307000,1955,,459,486,504,522,546,563,575,592,604,
Niafunké,,15.93,"-3,98",258,348300,1926,,461,475,503,521,543,560,571,588,599,
Diré,,16.27,"-3,38",258,366500,1954,,329,496,515,531,551,563,573,586,595,
Koryoumé,Niger Moyen ,16.67,"-3,03",-,360000,1963,,412,482,512,526,551,561,575,590,604,
Taoussa,,16.97,"-0,55",250,340000,1954,,484,507,532,550,575,588,605,623,635,
Ansongo ,,15.66,"-00,49",242,566000,1950,,141,297,309,316,325,331,336,342,347,
Gao,,16.26,"-0,05",245,556000,1948,,336,413,430,446,462,472,482,495,502,
Labbezanga,,14.95,"-0,69",-,-,-,,204,249,261,269,279,287,293,299,305,
Sofara,Bani,14.01,"-4,25",263,129400,1952,,527,595,633,670,707,726,761,779,814,
Beneny Kegny,,13.38,"-4,92",266,116000,1951,,526,619,682,733,794,837,872,923,945,
Douna,,13.21,"-5,89",281,101300,1922,,563,702,768,825,888,939,963,1020,1055,
Kana,,12.95,"-06,34",283,-,-,,,,,,,,,,,
Bougouni,Baoulé,11.39,"-7,45",330,15700,1975,,672,782,876,964,1049,1120,1139,1207,1282,
Dioila,,12.51,"-6,83",292,32500,1953,,517,632,686,770,848,884,923,993,1052,
Kouoro1,Banifing,12.01,"-5,69",298,14300,1957,,691,875,983,1106,1181,1274,1345,1414,1544,
Pankourou,Bagoé,11.45,-6.58,292,32150,1956,,777,973,1066,1134,1240,1274,1351,1436,1519,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Senegal Basin,,,,,,,,,,,,,,,,,
"Station names,",Sub-Basin,Latitude  N  (°),Longitude W (°),Altitude Z (m),Catchment area    (km2),dates de creation ,,,,,,,,,,,
Daka Saidou,Bafing ,11.94,"-10,61",307,15700,1952,,,,,,,,,,,
Bafing Makana,,12.55,"-10,28",-,21000,1961,,,,,,,,,,,
Dibiya,,13.14,"-10,48",125,33500,1961,,,,,,,,,,,
MAHINA,,13.75,"-10,85",90,38400,1956,,,,,,,,,,,
Oualia,Bakoye,13.6,"-10,38",108,84700,1954,,,,,,,,,,,
Diangola,,12.8,"-9,48",-,12100,1973,,,,,,,,,,,
Gourbassy,Falèmé,13.39,"-11,63",-,17100,1954,,,,,,,,,,,
Kayes,Sénégal,14.44,"-11,44",20,157400,1903,,,,,,,,,,,
Gouina,,14.0161,-11.1054,48,128600,+,,,,,,,,,,,
