Date,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01 12:00,488.6000061,540.7999878,369.1000061,695.0999756,559.7000122,763.2999878,492.6000061,583.7000122,663.5,551.7999878,730.4000244,369.1000061,373.1000061,392,277.2000122,308.6000061,406.8999939,681.7000122,258.2999878,454.8999939,438.2999878,331.3999939,262.2000122,312.5,262.2000122,208.3000031,204.3000031,253.6999969,260.7000122,200.8000031,233.3000031,394.2999878,350.2999878,380.2000122,419.3999939,583.7000122,549.7999878,371.5,369.8999939,375.3999939,442.2999878,447,447,330.7000122,450.8999939,474.2000122,283.1000061,408.6000061,,517.9000244,508.8999939,398.2999878,320.2000122,497.6000061,349.5,362.1000061,478.7000122,380.8999939,276.8999939
02/01 12:00,483.6000061,521.9000244,364.1000061,687.2000122,548.7000122,755.4000244,482.3999939,570.7999878,650.5999756,537.2000122,714.7000122,364.1000061,362.8999939,381.7999878,274.3999939,307.2000122,400.5,668.5,256.2000122,441.8999939,431.8999939,325,257.5,307.5,257.5,202.8999939,207,252.6999969,258.7999878,195,228.5,389.2999878,346.7000122,381,414.3999939,567.2999878,551.5999756,371.5,375.8999939,369,434.8999939,444.2000122,445.6000061,343.8999939,447.2999878,470.7000122,281.7999878,406.1000061,416.8999939,517.9000244,496.6000061,398.2999878,309.1000061,492.6000061,340.6000061,375.7000122,478.3999939,372,275.6000061
03/01 12:00,477.2999878,503.3999939,356.5,675.7999878,538.7000122,743.5999756,472.7999878,555.0999756,634.9000244,517.5,693.2999878,357.8999939,352,370.7999878,266.7000122,301.2999878,388.2999878,658.4000244,248.5,420.3999939,418.2999878,314.2000122,251.8999939,298.5,250.8000031,201.5,203.1000061,249.3000031,239,183.6999969,219.6000061,380.2999878,343.6000061,369.3999939,405.3999939,541.7999878,555.5999756,370.1000061,369,359.6000061,428.7999878,428.1000061,435.5,334.8999939,447,462,297.7999878,417.6000061,379.6000061,509.1000061,490,404.2999878,308.6000061,463.3999939,341.7000122,389.6000061,475.2999878,368.2999878,268
04/01 12:00,471.1000061,496.2000122,345.7000122,657.2000122,524.9000244,724.7000122,469.2999878,537.4000244,622.5,507.5,669.2999878,351.6000061,343.8999939,364.2000122,274.7000122,296.3999939,377.1000061,641.0999756,242.6000061,410,401.2000122,307.6000061,244.8999939,281.7000122,237.3999939,197.1000061,189.6000061,249,228.8000031,180.6000061,211.3000031,364.8999939,330.2999878,358.2000122,387.2000122,534.2000122,550.2000122,365.6000061,358.2000122,356.1000061,410.7000122,406.1000061,414.1000061,316.2999878,445.6000061,442.3999939,317.7000122,423.2000122,344.6000061,480.6000061,482.2999878,409,308.6000061,410.2999878,346.1000061,390.3999939,461.7000122,359.3999939,258.7999878
05/01 12:00,463.3999939,488.5,339.1000061,635.4000244,516.5999756,707.4000244,458.8999939,517.5,618.0999756,498,658.4000244,345.2999878,333.1000061,356.5,290.1000061,293.2999878,369,619.4000244,234.6000061,406.5,386.8999939,301.2999878,241.3000031,268.7999878,225.5,193.5,188.6000061,249,220.6000061,183.6000061,206.3999939,356.5,318.7000122,351.6000061,371.2000122,530.2999878,548,365.2000122,353,345.7000122,406.5,406.1000061,398.1000061,312.1000061,441.1000061,423.2000122,374,408.8999939,306.8999939,471.3999939,471.3999939,425.1000061,308.6000061,383.8999939,340.1000061,388.7999878,449.3999939,355.7999878,256
06/01 12:00,454,477.7000122,332.7000122,620.7000122,507.5,697.0999756,453.6000061,507.5,603,495.8999939,642.9000244,336.2999878,327.7999878,347.1000061,291.6000061,281.3999939,358.2000122,604.7999878,230.6999969,397.3999939,371.2000122,296.3999939,230.1999969,252.8000031,219.3000031,195.3000031,187.6000061,246.8999939,217.8000031,182.8999939,202.8000031,345.7000122,326.7999878,345.2999878,365.6000061,515.5999756,542.2000122,363.7999878,351.2999878,340.5,400.2000122,394.6000061,377.7999878,301.6000061,440.7000122,419,448.1000061,402,292.2000122,445.8999939,460.6000061,463.1000061,311.7999878,374.8999939,322.2999878,384.3999939,451.5,346.8999939,248.1999969
07/01 12:00,451.8999939,471.1000061,326.5,612.2999878,496.6000061,687.4000244,451.8999939,493.7999878,587,487.2000122,628.7000122,322.2999878,326.1000061,343.6000061,276.8999939,268.7999878,360,596.4000244,229.3999939,393.8999939,360,294.7000122,226.1000061,230.8999939,215.3999939,201,182.1000061,240.1999969,220.8000031,179.6000061,202.5,340.5,327.5,339.1000061,361,500.2000122,541.7999878,359.2000122,342.5,340.1000061,411.3999939,377.7999878,363.5,297.7999878,443.5,408.6000061,431.6000061,397.1000061,295.7999878,435.1000061,436.5,449.6000061,320.7000122,362.6000061,318,384.1000061,447.2999878,346.3999939,244.6000061
08/01 12:00,446,463.3999939,321.6000061,602.5999756,490,677.5999756,447.2999878,476.7000122,571.0999756,473.2000122,618.5,319.7999878,320.2000122,331.7000122,268.3999939,259,381,586.5999756,225,382,341.5,290.1000061,223.6999969,228.1000061,219.8000031,195,175.1000061,239.6999969,221.1000061,180.3000031,201.5,338.7000122,328.8999939,332.7000122,340.3999939,483,541.7999878,358.8999939,324.3999939,338.7000122,415.5,355.7999878,335.8999939,302,452.6000061,403.2999878,412.3999939,396.7000122,296.1000061,434.3999939,414.1000061,453,318,353.2000122,309.1000061,384.1000061,443.7999878,343.2000122,244.3999939
09/01 12:00,439.7000122,452.6000061,319.7999878,587,483.7000122,670,442.7999878,465.2000122,556.9000244,470.7000122,603,313.7999878,313.7999878,321.8999939,258,256.2000122,368.3999939,571.0999756,219.3000031,369.3999939,340.1000061,288.3999939,217,232.5,203.8000031,186.6999969,174.6000061,239.6999969,228.3000031,179.5,197.1000061,334.1000061,333.3999939,326.5,316.6000061,470,538.2000122,357.5,308.2999878,334.1000061,398.1000061,353,335.2000122,303.7000122,451.8999939,401.6000061,393.5,393.8999939,298.8999939,430.2000122,403.7000122,458,294.2000122,352.7000122,308.6000061,379.3999939,430.2000122,337.5,244.3999939
10/01 12:00,433.2999878,447.2999878,313.7999878,572.7999878,477.2999878,653.5,427.7999878,458.6000061,550.2000122,463.3999939,588.7999878,309,306.2000122,321.2000122,251.8999939,248.5,334.7999878,556.9000244,212.3000031,359.6000061,337.2999878,282.5,214.3999939,226.3000031,199.3999939,192.6999969,174.6000061,238.6999969,243.6000061,165.5,193.5,333.7999878,333.7999878,320.2000122,312.1000061,457.5,524.9000244,357.2000122,299.8999939,335.2000122,393.8999939,322.6000061,339.7999878,305.5,447.2999878,397.1000061,374.6000061,383.3999939,307.8999939,416.5,403,465,251.5,357.3999939,308.6000061,366,416.2999878,345.8999939,244.3999939
11/01 12:00,427.1000061,444.2000122,307.6000061,564.4000244,471.1000061,601.7000122,419.3999939,450.7999878,546.2000122,452.6000061,580.4000244,304.3999939,295.3999939,318.3999939,242.8000031,244.6999969,327.7999878,544.9000244,209.6999969,358.8999939,331,276.2000122,206.6999969,225.8000031,190.3999939,193.1999969,172.5,234.3000031,217.5,163.6000061,193.1999969,333.7999878,333.7999878,313.7999878,303,444.8999939,516.5999756,369.1000061,290.5,342.6000061,390.3999939,284.5,337.2999878,298.2000122,445.6000061,395.2999878,359.8999939,379.5,308.6000061,412.7000122,401.6000061,454.3999939,257.7000122,370.7000122,308.6000061,360.5,415.5,348,243.1999969
12/01 12:00,420.7000122,433.7000122,301.2999878,554.7000122,464.7999878,597.7000122,408.6000061,437.2000122,529.4000244,446,570.5999756,289.3999939,288.7000122,306.5,235.6000061,243.3999939,326.1000061,525.4000244,202,356.1000061,335.2000122,268.3999939,201.6999969,225.8000031,192.8999939,193.1999969,165.8000031,228.6000061,210,169.5,193.1999969,332.3999939,332.3999939,307.6000061,302.2999878,433.7000122,507.5,362.7999878,289.7999878,359,407.8999939,286.7000122,326.7999878,302,441.1000061,390.7000122,349.1000061,383.7999878,308.6000061,400.8999939,395.7000122,449,288.2999878,366.7999878,308.6000061,337.7000122,413.8999939,352.3999939,239.8999939
13/01 12:00,414.5,425.7000122,295,539.0999756,458.6000061,597.7000122,402,418.7000122,511.2000122,439.7000122,558.7000122,282.5,282.5,296.7999878,233,237.8999939,323,518.2999878,198.1999969,347.1000061,322.2999878,259,199.1999969,225.8000031,192.1999969,191.1000061,163.6000061,220.6000061,202,170,193.1999969,326.5,326.5,304,302.2999878,428.5,495.2000122,350.6000061,289.7999878,385.2000122,409.2999878,281.3999939,321.6000061,303.7000122,440.7000122,390.3999939,318.7000122,385.5,308.6000061,386.8999939,390.7000122,387.7999878,313.8999939,350.2999878,307,310.2000122,411.1000061,352.7000122,239.6999969
14/01 12:00,405.3999939,414.7999878,291.5,523.2000122,452.2000122,590.5999756,391.5,402.6000061,508.5,433.2999878,552.5,274.7999878,276.2000122,294.7000122,224.3000031,229.8999939,327.2000122,519.7000122,195.8000031,343.6000061,318.3999939,257.2999878,201.1999969,224.8000031,187.8000031,183.3999939,158,217.8000031,197.1000061,170,193.1999969,320.2000122,318.7999878,308.2999878,302.2999878,428.1000061,481.2000122,342.2000122,289.7999878,382,412.1000061,347.5,321.2000122,305.5,439.2999878,387.6000061,322.2999878,390,303,369.7000122,390.3999939,384.1000061,329.6000061,335.8999939,302.6000061,308.6000061,413.7000122,354.2999878,239.6999969
15/01 12:00,391.3999939,406.7999878,293,509.3999939,443.2000122,563.9000244,368.7000122,395.7000122,502.6000061,425.7000122,531.5999756,263.8999939,269.7999878,287.2999878,214.8999939,225,323.2999878,532.5,191.1999969,331.7000122,306.5,251.8999939,197.1000061,221.3999939,184.1999969,175.6000061,157.6000061,218.8000031,193.5,169,191.1000061,313.7999878,312.1000061,308.6000061,302.2999878,426.7000122,459.8999939,346,289.7999878,340.1000061,418.2999878,345.7000122,319.7999878,295.3999939,434.7000122,375.7000122,330,384.7999878,287.7000122,359.6000061,390.3999939,382.5,318.6000061,322,299.2000122,308.6000061,411.1000061,358.6000061,239.6999969
16/01 12:00,389,394.6000061,281.3999939,502.6000061,426.3999939,547.0999756,352.2999878,389.2999878,496.2000122,414.7999878,517,257.6000061,263.6000061,276.5,206.6999969,220.3000031,309.7000122,554.2000122,195.3000031,320.5,302.3999939,243.8999939,191.3999939,221.1000061,183.8999939,164.3999939,157.6000061,212.3000031,195.3000031,164.6999969,184.3999939,309,320.5,308.6000061,302.2999878,419.3999939,425,350.6000061,289.7999878,354.1000061,407.2000122,323,313.7999878,288.7000122,433,361.7000122,346.3999939,362.3999939,306.6000061,360.2999878,390.3999939,378.1000061,299.7000122,324.3999939,290.2999878,308.6000061,416.7999878,355.7999878,238.5
