Date,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01 12:00,,289.6000061,481.1000061,310.5,292.3999939,392.7000122,376.7999878,214.3999939,326.2000122,309.5,190.1999969,200.1999969,143.5,235.8000031,208.8999939,328.3999939,191.5,206.3999939,272.2000122,193.5,190.1999969,109.9000015,82.88999939,49.36999893,23.04000092,48.79000092,83.70999908,132.5,33.86999893,60.43999863,57.50999832,49.49000168,57.65000153,40.74000168,10.77000046,11.93999958,17.68000031,17.30999947,12.68999958,28.84000015,22.28000069,20.76000023,42.59999847,32.15000153,31.68000031,145.3000031,63.70000076,48.15999985,44.38000107,,119.1999969,84.13999939,49.00999832,36.04000092,65.97000122,36.75999832,43.56000137,702.2000122,706.5999756,670.7000122,681,574.7999878,698.7000122,710.2000122,621.7999878,638.9000244,679.7999878,704.2999878,664.7000122
02/01 12:00,,285.1000061,468.6000061,307.7999878,289,392.6000061,373,211.5,320.5,300.7999878,186.6000061,195.1000061,141.1000061,231.3000031,206,323.1000061,190.1000061,202,268.5,186.8000031,185.8000031,108,81.62999725,47.31999969,22.43000031,47.49000168,81.68000031,129.1999969,32.36999893,59.54000092,57.50999832,49.27999878,52.93999863,39.77000046,10.42000008,11.81000042,17.20000076,17.18000031,11.77000046,27.95000076,21.67000008,20.19000053,41.84999847,31.54999924,31.51000023,141.8000031,62.58000183,46.29999924,41.77000046,,117.0999985,82.13999939,47.22999954,34.40000153,63.74000168,35.61999893,41.91999817,703.4000244,704.5,670.5,676.9000244,600.2000122,698.2000122,710.4000244,608.9000244,641.5,682.5,704.2999878,664.9000244
03/01 12:00,,281,454.1000061,302.6000061,285,377.5,367.3999939,207.8999939,312.5,290.7000122,183.1999969,191.6000061,138.1999969,225.8999939,202.3999939,316.7000122,187.8000031,196.1999969,262.2999878,182.5,179.6999969,106.4000015,79.47000122,45.43999863,21.68000031,46.33000183,79.22000122,126.1999969,31.55999947,58.18999863,57.50999832,48.59999847,47.15000153,37.97000122,10.10000038,11.38000011,16.61000061,16.47999954,10.89000034,27.71999931,21.09000015,19.59000015,40.93000031,30.79999924,30.79999924,136.6000061,61.40000153,44.47999954,40.65999985,,111.6999969,81.01000214,45.36000061,32.88000107,61.56999969,34.79000092,39.90000153,700.7000122,703.5999756,667.9000244,674,615,698.2000122,710.2000122,603.7999878,644.4000244,680,704.2999878,664.9000244
04/01 12:00,,277,441.6000061,299.2000122,281,368.2000122,358.3999939,203.3999939,305.3999939,282.7999878,179.5,188.1999969,135.1999969,220.3999939,199.5,310.7000122,183.3000031,190.8000031,254.8000031,176,175.3000031,104.1999969,77.23999786,43.58000183,20.92000008,44.50999832,76.18000031,123.1999969,30.79999924,56.25999832,57.25999832,48.34000015,43.88999939,36.31000137,9.986000061,11.26000023,15.89000034,15.31999969,10.34000015,26.82999992,20.75,19,39.58000183,29.70999908,30.04000092,131.3999939,59.79000092,43.45999908,39.72000122,,109.5999985,79.88999939,43.5,31.37000084,60.34999847,34.36999893,36.40999985,698.4000244,700.7000122,665,673.7999878,621.2000122,696.7000122,707.5,596.9000244,648.7000122,675.5999756,702.5999756,666.0999756
05/01 12:00,,273.5,426.5,293.3999939,277,361.1000061,349.2000122,197.3999939,297.3999939,276.2999878,174.8999939,184.8999939,132.1999969,214.8999939,197,305.2999878,179.5,189.6999969,248.3000031,170,173.1000061,102.8000031,75.25,41.70999908,20.20000076,42.63999939,74.13999939,120,30.04000092,54.66999817,56.45000076,47.25999832,42.59000015,35.18999863,9.678999901,10.85999966,14.85999966,14.26000023,9.795999527,25.53000069,19.62999916,18.39999962,37.29999924,27.85000038,29.28000069,126.0999985,58.66999817,42.52000046,38.79000092,,107,78.76999664,41.63000107,30.23999977,59.61999893,33.61000061,37.70999908,697.5,698.4000244,662.0999756,673.7999878,624,695.0999756,705.9000244,593.7000122,654.5999756,672.0999756,698.4000244,666.5
06/01 12:00,,271.3999939,405.2999878,288.2000122,273,354.2000122,340.7000122,194.5,290.8999939,268.3999939,171.6000061,181.6000061,129.1999969,209.3999939,188.6000061,297.3999939,174.8999939,186.1999969,240.5,165.8000031,169.8999939,101.5,74.31999969,39.84000015,19.59000015,40.77999878,73.19999695,115.9000015,29.11000061,52.04000092,56.38999939,45.65000153,40.77999878,33.88000107,9.56099987,10.43000031,14.35999966,13.76000023,9.868000031,24.71999931,19.12999916,17.79999924,36.25999832,27,28.52000046,120.4000015,57.04000092,41.54000092,37.84999847,,103.8000031,77.13999939,39.81000137,29.81999969,57.15000153,32.77000046,36.15000153,695.2999878,698.2000122,659,673.7999878,622.5999756,694.9000244,702.7999878,589.9000244,660.2999878,668,698.2000122,667.7999878
07/01 12:00,,268.8999939,390.7000122,281.7000122,268.6000061,347.2999878,333.6000061,190,284.2999878,260.3999939,168.1999969,178.1999969,126.1999969,203.8999939,184.5,290.8999939,171.6000061,181.6000061,232.1999969,159.3000031,166.1999969,99.88999939,74.01000214,37.97000122,19,39.11999893,72.63999939,112.8000031,27.80999947,50.11000061,56.13999939,44.86999893,39.11999893,33.06999969,9.255999565,9.914999962,14.19999981,13.60000038,9.279000282,23.95999908,18.96999931,17.20999908,35.36000061,26.23999977,27.59000015,115.6999969,55.31999969,40.18999863,36.91999817,,102.5,74.38999939,38.79000092,29.37000084,54.86999893,30.68000031,34.47999954,694.4000244,698.2000122,653.7999878,673.7999878,618.5,692.2999878,701.2000122,589.5,661.7999878,666.4000244,696.7000122,667.5
08/01 12:00,,265,366.8999939,279.3999939,263.1000061,340,325.5,186.6000061,277.2999878,252.3999939,164.8999939,174.8999939,123.1999969,198.3999939,179.8999939,285.2000122,168.1999969,178.1999969,222.1999969,153.5,161.3000031,97.05000305,72.70999908,36.15000153,18.39999962,38.13000107,70.79000092,109.1999969,27,47.81999969,54.66999817,44.61000061,38.13000107,32.47999954,9.137999535,9.18500042,13.76000023,13.03999996,9.137999535,23.20000076,18.53000069,16.61000061,34.59000015,25.47999954,26.29000092,113,54.22000122,39.25999832,35.95000076,,99.84999847,72.06999969,37.84999847,27.97999954,53.72999954,29.09000015,32.95000076,691.5999756,697.5,653.2999878,673.7999878,614.5,691.9000244,699.7999878,587,659,664.7000122,695.0999756,662.5
09/01 12:00,,261.5,333.6000061,277.3999939,258.6000061,332.3999939,318.8999939,183.1999969,272.6000061,244.3999939,161.6000061,171.1999969,120.3000031,193.3999939,176.6000061,280.6000061,164.8999939,174.8999939,214.1999969,150.1000061,157,93.77999878,70.54000092,34.65000153,17.93000031,37.18999863,69.59999847,105.9000015,26.40999985,44.20000076,52.25,43.72999954,37.18999863,32.27000046,8.737999916,8.833000183,13.47000027,12.56999969,8.737999916,22.44000053,18.37000084,16.14999962,33.83000183,24.71999931,25.64999962,110.4000015,52.88000107,37.52000046,34.75,,97.83000183,70.44000244,37.29999924,26.09000015,52.74000168,27.61000061,31.43000031,689.2000122,694.5999756,653.2999878,672.2999878,590.2000122,690.5,698.2000122,584.4000244,652.2999878,662.2000122,695.0999756,662
10/01 12:00,,259.3999939,311.7999878,275.3999939,253.1000061,327.3999939,312.3999939,179.8999939,267.1000061,236.6999969,158.1999969,166.6000061,117.3000031,189.8999939,172.8999939,275.1000061,161.6000061,171.8999939,205.1000061,143.8000031,154.3999939,92.02999878,68.30000305,33.83000183,17.77000046,36.25999832,68.48999786,101.6999969,26.20000076,40.88000107,51,42.59000015,36.47000122,31.55999947,8.409000397,8.715000153,12.47000027,12.40999985,8.31499958,21.68000031,17.79999924,15.98999977,33.06999969,23.95999908,25.44000053,107.6999969,51.81000137,35.63999939,33.99000168,,96.51999664,68.72000122,35.68999863,25.18000031,51.40000153,26.78000069,30.09000015,689,692.2999878,653.2999878,669.0999756,566.5,689.0999756,698.2000122,584,648.7000122,662,695.0999756,662
