Date,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01 12:00,418.2000122,488.5,1034,615.5,859.7999878,1002,860.7000122,567.7999878,814.4000244,811.7999878,500.1000061,526,318,762.4000244,521.9000244,793.0999756,416.3999939,565.5999756,703.0999756,579.2999878,811.7999878,359.2000122,398.2000122,397,256.7999878,332.1000061,452.1000061,798.2000122,242.8999939,478.2000122,448.8999939,368.2000122,264.5,350.2000122,270.2000122,218.3000031,203.8000031,230.8999939,241.1000061,198.3999939,233,286.1000061,264.2999878,280.5,311.7999878,571.5999756,468.2999878,307.7999878,305.2999878,301.3999939,406.3999939,416.3999939,379.3999939,183.5,419.8999939,315.7000122,176.6999969,286.2000122,336.1000061,511.5,544.2000122,316.5,278.8999939,409.6000061,239.8000031,278.7000122,334.1000061,237.6999969,130.3000031
02/01 12:00,413.2000122,470.2000122,1021,604.4000244,866.2000122,986.0999756,849,557.2000122,802.7999878,799.2999878,491.2000122,523.5999756,311.5,756.4000244,511.8999939,777.0999756,408.5,551.7000122,695.7000122,570,800.7999878,351.8999939,383.7000122,389.2000122,250,324.8999939,442.7000122,784.0999756,236.3999939,469.6000061,442.5,354.8999939,255.1999969,326.2000122,265.8999939,206.8000031,201.8999939,232.3999939,241.1000061,191.6999969,229.6000061,275.7999878,261.3999939,279.7000122,306.2000122,555.9000244,450.2999878,302.2999878,302.1000061,297.6000061,374,397.2999878,364.2000122,173.3999939,404.6000061,317.7000122,167.6999969,275,350.7000122,552.2999878,549.7000122,331.7000122,272.5,392.6000061,224.5,259.2000122,312.6000061,251.8000031,121.4000015
03/01 12:00,403.8999939,458.2999878,1005,589.4000244,839.7000122,957.5,832,540.4000244,774.9000244,780.9000244,480.5,510.7999878,288.3999939,729.2000122,497.2000122,770,399,535.9000244,695.2000122,557.4000244,787.2999878,342,369.3999939,378.7000122,249.5,316.6000061,428.7999878,757.9000244,226.1000061,458.2999878,431.1000061,325.6000061,244.6999969,288.2999878,263.2000122,200.6000061,200.3999939,235.1000061,239.6000061,186.1999969,221.8000031,266.5,256.2999878,275.2999878,299.7000122,536.7999878,430.5,298.5,298.5,289.6000061,366.3999939,376.7999878,344.2999878,178.3999939,383.6000061,314.2000122,164.1000061,264.5,325,561.5999756,509.2999878,358.1000061,248.6000061,373,205.1000061,246.1999969,297.8999939,232,117.8000031
04/01 12:00,394.2000122,440.7999878,986.2999878,581.4000244,810.7999878,931.2000122,810.0999756,523.2999878,760.0999756,765.4000244,469.7000122,493.2000122,279.2000122,699.0999756,484.7999878,741.2000122,388.2999878,521.7999878,689.5,540.4000244,773.7000122,330.7000122,356.7999878,364.8999939,249.5,308.2000122,419.5,730.5999756,217.8000031,442,424.7000122,311.7000122,235.6999969,267.1000061,255.6000061,201.8999939,194,226,231.6999969,178.6000061,208.6000061,253.5,247,268.8999939,287.8999939,511.6000061,411.1000061,293.8999939,293.8999939,277.7999878,363.2000122,354.5,342.8999939,182,338.3999939,309.7000122,165,266.2999878,308.1000061,527.5999756,493.2999878,375.2000122,225.6000061,355.3999939,213,233.1000061,290.7000122,209,104.4000015
05/01 12:00,383.3999939,420.2999878,960.7999878,572.7000122,780.2000122,915.5999756,797.5999756,506.8999939,746.5,748.4000244,459.3999939,485.7000122,270.6000061,679.2000122,470,704.5,376.1000061,503,669.7000122,525.7000122,760.0999756,324.7999878,347.5,353.2999878,250.3999939,299.7999878,413.2000122,706.5999756,214.8999939,424,403.7000122,299.1000061,223.5,262.3999939,253.3999939,192,187.1000061,218.1999969,218.8999939,161.3000031,193.8999939,242.8000031,237,264.2000122,276.2999878,499.2999878,401.3999939,287.5,287.5,265.7000122,342,335.5,348.2999878,173.8000031,293.1000061,294.6000061,177.6000061,277.7000122,297.8999939,440,493.3999939,388,198.1000061,342.2000122,223.6000061,218.8999939,290.1000061,200.1000061,86.55999756
06/01 12:00,369.3999939,415.3999939,941.7999878,572.0999756,760.5,900.7999878,777.5,489.2999878,732.9000244,734.7999878,449.1000061,476.2999878,260,660.2000122,460.5,675.4000244,370.8999939,491.3999939,659.5,518.4000244,746.5,315.7000122,338.5,346.2000122,254,291.3999939,402.7999878,693.0999756,205.8999939,412.3999939,389.6000061,286.7000122,216,251.3999939,248.3000031,188.3000031,186.6000061,216.3000031,209.6000061,158.6999969,183.5,232.6000061,219.3000031,256.5,249.1999969,483.6000061,392.3999939,282.7999878,281.1000061,263.1000061,333.7000122,331,331.3999939,164.8000031,284.3999939,279.2999878,176,278.6000061,288.3999939,422.7000122,482.8999939,407.2999878,203,319.2999878,236.6999969,217,286.3999939,196.8000031,90.15000153
07/01 12:00,358.8999939,414,913.0999756,577.2999878,743.5,886,773,470.2999878,719.2000122,709.7999878,438.7999878,469.3999939,252.1000061,638.5999756,451.7000122,639.7000122,365.3999939,480.5,644,507.7999878,732.9000244,304.2000122,328.5,334.2000122,257.1000061,284.8999939,386.5,680.2999878,199,400.2999878,378.7000122,276.5,210.5,245.8000031,242.6999969,193.6000061,184.6000061,210.3000031,212.6000061,160.5,180.8000031,223.3999939,208.1999969,245.5,243.8999939,465.6000061,383.5,275.5,265.3999939,272.8999939,347.3999939,326.5,321.6000061,154.6000061,266.5,264.2999878,174.3999939,278.6000061,270.2000122,408.8999939,456.7000122,432.8999939,246.8999939,313.7999878,238.3999939,244.3999939,280.6000061,192.3000031,102.5999985
08/01 12:00,357.1000061,408.3999939,886.9000244,599.7999878,715.7000122,871.2000122,763.2000122,458.2999878,705.7999878,705.0999756,429.6000061,458.2999878,244.5,612.9000244,435.3999939,608.9000244,355.6000061,469.7000122,635.9000244,494.5,719.2000122,296.5,316.8999939,325,254.6999969,282.7000122,368.3999939,666.2000122,192.5,393.8999939,365.8999939,272.1000061,208.6000061,238.3000031,225.6000061,197,176.8999939,206.1000061,217.3000031,160.6999969,180,216.6000061,205.1999969,233.6000061,240.5,449,371.2999878,268.8999939,248.3000031,296.3999939,347.7999878,324.8999939,326.7000122,147.6000061,252.1999969,250.3999939,172.6999969,278.6000061,232.3999939,388.2999878,437.1000061,441.3999939,275.8999939,311.8999939,225.8999939,245.8000031,282.2999878,190.6999969,98.02999878
09/01 12:00,348.7000122,400.1000061,867.9000244,622.7000122,686.4000244,856.4000244,756.4000244,444.2999878,690.2000122,691.7000122,423.2000122,444.2999878,240.5,598.4000244,428.2000122,580.2000122,342.2000122,459.3999939,620,476.8999939,705.7999878,291.2000122,308.2000122,316.6000061,244.6999969,275.3999939,370.2999878,647.5,187.5,384.5,356.6000061,269.1000061,202.3999939,233.3000031,223.6000061,190.8999939,172.1999969,208,215.6000061,158.3000031,177.1999969,210.3000031,206.3999939,224.3999939,236.3999939,427.1000061,349.7000122,265.7999878,243.1999969,295.6000061,344.1000061,330.7999878,336.2000122,146.1000061,247.6000061,246,179,278.3999939,176.6000061,362.3999939,407.7000122,457.2999878,257.5,307.8999939,219.1000061,242.8000031,286.2999878,191.6999969,96.26999664
10/01 12:00,331.2000122,396.1000061,842.7000122,637.2000122,666.5,844.9000244,733.7000122,433.7000122,671.0999756,672.9000244,413.5,432.5,244.3999939,571.7999878,418.3999939,554.2000122,330.7000122,449.1000061,594.7000122,469.3999939,693.0999756,283.2000122,300.7000122,309.1000061,235.6999969,266.7999878,377.3999939,629.0999756,185.8000031,375.8999939,346.5,267.2000122,195.8000031,218.8000031,220.3999939,184,171.8999939,207.5,210.1000061,149.3000031,174.3000031,204.6000061,211.6999969,210.1000061,226.8999939,406.7999878,339.2999878,264.7999878,236.6000061,292.1000061,333.6000061,341.6000061,336.3999939,154.6000061,239.6000061,238.1999969,205.8000031,271.2999878,169.1999969,346.7999878,395.3999939,471.7000122,233.8000031,305.2999878,212.5,240.8999939,282.6000061,184.6000061,93.63999939
11/01 12:00,323.7999878,394.7000122,828.2000122,632.7999878,647.5,844.0999756,719.2000122,424.5,666.9000244,655.2000122,404.8999939,418.7000122,239.8999939,526.7999878,407.6000061,527.9000244,324.7999878,438.7999878,583,459.3999939,680.2999878,276.2999878,294.3999939,303.7999878,222.6999969,255.3000031,363.8999939,613.5999756,180.6000061,371.8999939,335.2000122,259.7999878,188,217.6999969,215.1000061,183.5,170.6999969,203.8000031,212.6999969,143.6999969,171.3999939,203.3999939,214.3000031,201.6000061,210.3000031,386.3999939,338.6000061,260.7000122,229.8000031,277.2000122,326.7999878,331.2999878,317.7000122,155,234.5,232.6000061,236.6000061,260.3999939,178.3000031,338.7000122,390.2999878,464.3999939,204.1999969,298.2999878,203.1999969,239.1000061,269,175.8000031,99.58000183
12/01 12:00,312.6000061,387,817.7000122,609.9000244,630.4000244,841.0999756,705.7999878,419.2000122,654.9000244,643.5999756,398.7000122,408.7000122,231.1999969,512.0999756,395.5,518.7000122,316.6000061,428.5,574.2999878,450.2000122,667.5999756,271.2999878,283.3999939,295.6000061,213.3999939,244.6999969,349,605.5,176.6000061,369.6000061,330.2000122,253.8000031,177.1999969,217,205.6999969,183.5,165.3999939,198.3999939,205.8000031,140.8000031,169.8000031,205.6999969,213.8000031,198.1999969,201,384,335.1000061,254.6000061,221.8000031,267.2000122,321,309.1000061,308.5,152.6000061,229.1999969,225.8000031,238.8999939,254.1000061,183.1000061,333.3999939,380.7000122,427.6000061,191.1999969,297.7000122,194,238.3000031,247.3000031,168.3000031,109.4000015
13/01 12:00,305.8999939,370.7000122,813.9000244,585.7999878,619.2999878,828.2000122,693.0999756,412.2000122,641,633.0999756,389.3999939,399,227.3000031,497.2000122,389.1000061,492.6000061,308.2000122,418.3999939,559,443.7000122,654.9000244,263.7000122,275.3999939,286.3999939,208.8000031,238.1000061,344.7000122,593.7000122,170.8000031,361.1000061,324.7999878,248.5,172.1000061,214.6999969,203.6000061,182.8999939,160.3999939,194.5,197.1000061,146.1000061,171.6999969,197.8999939,210.8000031,195.1999969,194,378.1000061,323.6000061,250.8000031,207.8999939,280.2999878,320.8999939,282.6000061,284.2000122,148.8000031,225.5,217.5,229,262.2999878,185.6000061,314.7000122,374.6000061,400.6000061,199.5,294.1000061,190.3000031,226.1999969,252.6999969,173.6999969,104.9000015
14/01 12:00,302.6000061,360.1000061,798,561.2000122,610.2000122,811.5999756,680.2999878,399.2999878,624.4000244,613.9000244,379.7000122,387.2000122,221.3000031,484.7999878,379.7000122,480.5,300.7000122,408.7000122,548.4000244,433.7000122,642.2999878,255.1000061,268.5,275.6000061,201,234.3999939,344.5,584.2999878,166.1999969,352,318.5,229.5,171.1999969,214.5,199,179.5,156.8999939,186.6999969,199.1999969,151.5,171.3000031,192.8999939,206.3000031,192.8000031,187.1000061,367.7999878,321.7999878,246.6000061,193,284.7999878,323.2999878,273.2000122,275.2999878,141.6999969,224,209.3000031,206,277.3999939,175.8999939,295.2999878,376.2000122,382,244.3000031,290.1000061,181.6999969,219.5,258.3999939,181.8000031,99.87000275
15/01 12:00,290.7999878,347.7999878,774.5,536.5,594,788.0999756,667.5999756,389.3999939,613.2000122,605.5,370.1000061,370.7000122,210.8999939,467.7000122,370.1000061,469.7000122,294.3999939,396.8999939,539.7999878,423.5,627.4000244,244.6999969,263.5,267.6000061,188.3000031,230,343.5,586.2999878,163.3999939,344,315.2000122,218,168.3999939,212.3999939,197.3000031,172.6000061,151,176.8999939,203.1000061,148.8999939,165.5,191.3000031,199.1999969,192.6000061,185.8999939,360.2999878,314.6000061,238.5,189.1000061,287.7000122,337,266,270.8999939,126,220.6999969,206,199.8000031,278.6000061,167.3999939,251,387,368.7999878,272,289.7000122,185.1000061,218.6000061,260,192.8000031,99.84999847
16/01 12:00,277.7000122,337.5,757.0999756,523,583,776.7999878,654.9000244,379.7000122,606.9000244,593.7000122,361.1000061,361.1000061,209.3999939,451.8999939,361.1000061,461.7000122,283.3999939,380.2000122,524.5,413.5,603.7999878,236.5,256,261.5,176.5,223.1000061,339.2000122,599.0999756,156.3999939,335.3999939,304.2000122,217.1999969,165.3999939,205.5,192.8999939,162.3000031,145,181.6000061,207.8000031,144.3000031,152.1999969,186.1999969,197.3000031,191.3000031,183,345.1000061,298.6000061,227.6000061,186.1000061,282.8999939,327,271.1000061,255.6000061,129.1999969,220.5,200.1000061,198.8999939,267.7999878,159.1000061,212.3000031,370.2000122,355.6000061,271.1000061,283,193.5,212.5,256.7999878,193.6999969,94.45999908
17/01 12:00,265.8999939,326.2000122,733.7000122,506.8999939,575.5999756,770,645,370.1000061,600.7999878,581.7000122,353,350,205.5,449.7000122,352,461.1000061,277.1000061,370.1000061,513.2999878,403.8999939,578.5,226.8999939,249.1000061,258.5,168.1000061,214.5,333.7000122,612.9000244,158.5,319.2000122,294.7000122,215.6000061,161.8000031,206.3999939,191.8999939,156.8000031,145.1999969,186.3000031,206.8000031,139.1999969,146.8999939,183,192.8999939,186.1999969,180.8000031,335.3999939,294.6000061,223.8000031,183,266.7999878,312.2000122,283.5,241.6999969,136.3000031,223.6999969,191.1000061,222.5,229.1999969,169,192.6000061,345.7000122,347,271.8999939,282.2000122,181.6000061,206.3000031,253.1999969,196.8000031,96.05000305
18/01 12:00,260.7000122,320.6000061,717.7999878,491.7000122,564.4000244,747.2999878,641.5999756,361.1000061,593.4000244,572.7000122,347.2000122,334.5,199.6999969,442.5,343,458.7999878,277.5,361.1000061,502.3999939,393.1000061,552.5999756,220.3000031,244.1999969,248.5,162.6000061,202.8000031,324.1000061,611.2000122,153.5,316.1000061,285.1000061,210.5,157.6000061,208.1999969,187.8000031,159.8000031,146.5,186.6000061,201.5,131.1000061,144.1000061,181.3999939,191.3000031,183,180.6000061,334.7000122,302.2000122,220.3999939,180.1000061,264.7999878,302.6000061,280.2000122,241.3000031,133.5,223.8000031,179.1999969,241.8999939,249.6000061,208.6000061,183.1999969,355.5,338.6000061,217,278.8999939,167.3999939,198.6000061,249.6999969,195.1000061,91.41999817
19/01 12:00,246.6999969,313.2999878,698.4000244,479.2999878,552.9000244,729.9000244,627.4000244,352,581.7000122,569.5,339.5,326,195.6000061,431.1000061,334,451.3999939,276.7999878,352,489,379.8999939,533.5,215.8000031,237.3000031,240.1000061,157.6999969,195.8000031,313.6000061,598.4000244,147.3999939,308.2000122,282.7000122,207.1000061,156,198,181.6999969,157.3999939,144.1000061,185.8999939,198.1999969,138.6000061,142.6000061,183.3000031,186.1999969,179.5,180.6000061,333.7999878,303.7000122,217.1999969,176.6000061,261.5,297.3999939,263,259.5,133.8999939,214.8000031,170.1999969,239.3999939,260.2000122,248,184.1000061,388.8999939,332.1000061,209.1999969,275.1000061,156.3999939,193.1999969,246.3000031,187.6000061,87.88999939
20/01 12:00,243.1999969,329,675,466,541.4000244,706.5999756,614.5999756,343,572.7000122,559.9000244,334.7000122,320.6000061,190,427.8999939,325,449.7000122,264.1000061,343,470.2999878,372.1000061,511.5,208.3000031,230.1999969,230.3999939,147.6999969,189.3999939,307,579.5,139.6000061,298.8999939,275.3999939,193.3000031,150.6999969,191.6000061,183.3000031,154.6999969,140.8999939,181.6999969,195.1999969,154.6000061,145,182.8999939,183,174.5,178,330,306.6000061,214,169.1000061,252.6000061,296.1000061,251.6999969,260.3999939,131.8999939,207.6000061,162.3999939,234.1000061,260.2000122,216.8999939,214.1999969,390,322.7000122,204.1000061,271.1000061,145.8999939,188.1000061,246.1999969,189,82.87000275
21/01 12:00,234,391,643.7000122,458,531.0999756,693.0999756,625.4000244,335,570.7999878,555.0999756,329.2000122,312.3999939,185.3000031,417.2999878,316.6000061,444.7999878,256,334,460.5,369.6000061,492,199.8999939,223.8999939,223.1000061,141.8999939,183.1000061,295.7999878,555.5,133,288.3999939,268.5,175.5,144.6999969,189.6000061,183.5,152.1000061,135.5,174,187.5,157.1000061,145.3000031,178.1999969,178.8000031,172.1000061,169,324.2999878,306.7999878,210.1000061,158.1000061,231.6999969,319.7000122,241.8999939,254.8999939,123.6999969,203,156.1000061,231.8999939,260.2000122,167.8000031,232.6000061,390.5,319.6000061,220.8999939,263.8999939,145.8000031,187.3000031,247.6000061,191.8999939,80.81999969
22/01 12:00,225.8999939,391.5,630.0999756,443.1000061,523.9000244,680.2999878,606.5,330.2000122,567.9000244,552.2000122,320.7999878,304,178.3000031,404.1000061,307.2999878,437.3999939,247.5,325,455.1000061,361.1000061,480.5,195.6000061,220.1000061,217.6000061,142.1999969,178.1999969,285.6000061,529.5999756,130.1999969,282.8999939,263.5,162.5,138.6000061,198,182.8999939,148.3000031,127.5999985,169.3000031,167.1999969,154.1000061,139.8000031,169.6000061,172.3999939,171.8999939,166.5,314.6000061,303.3999939,203.8999939,155.3000031,227.1000061,343.8999939,233.1000061,243.1000061,111,199.8000031,148.3999939,226,258.1000061,133.1000061,195.5,383.2000122,305,220.3999939,250.3000031,151,182.1000061,245.8000031,193.5,81.95999908
23/01 12:00,217.8000031,376.3999939,620.7000122,428.7999878,513.2999878,667.5999756,593.7000122,324.7999878,571.7999878,542.5999756,312.3999939,295.6000061,176.5,394.2000122,294.8999939,422.7000122,239.1000061,316.6000061,450,352,469.7000122,189.3999939,215.8000031,215.6000061,136.8000031,177.1000061,272.7999878,511.2000122,129.3999939,275.3999939,256.8999939,156.3000031,137.6000061,197.3000031,178.1999969,140.6999969,119.1999969,170.3000031,156.5,144,136.6000061,168.3999939,174.5,171.8999939,166.8999939,311,286.7000122,197.6999969,154.5,226,362.6000061,234.3999939,235.3999939,108.5,195.3999939,143.6000061,222.3000031,242.8999939,115.1999969,172.1999969,347.6000061,296,208.8000031,242.6999969,145.5,181.3999939,241.1000061,179.1999969,77.41999817
24/01 12:00,215.6000061,370.8999939,617.2999878,418.3999939,502.3999939,652.2000122,581.7000122,316.6000061,569.5,536.5,304,288.1000061,170.8000031,386.6000061,283.3999939,409,238.5,308.2000122,442.5,343,458.2999878,183.1000061,210.5,209,129.8999939,174.3000031,266.5,490.7999878,131.1999969,268.5,251.8999939,151.8999939,135.1999969,191.6000061,168.3999939,134.6999969,116.3000031,174.5,158.3999939,123.0999985,126,165.8000031,182.8999939,171.8999939,168.8999939,308.2000122,270.3999939,192.8999939,152.6000061,230.5,358.7999878,240,239.6999969,114.1999969,193.8000031,140.6999969,216.3000031,225.6999969,116.9000015,156.6000061,310.2000122,293.5,194.6999969,239.1000061,142.8000031,178.8000031,238.6999969,140.3999939,76.31999969
25/01 12:00,210.5,363.2999878,605.9000244,408.7000122,491.3999939,630.7999878,567.5999756,309.1000061,558.7000122,530.7999878,295.6000061,283.7999878,164.8999939,383.8999939,275.3999939,396.8999939,236.1000061,299.7999878,428.7999878,334,445.3999939,177.5,208.6000061,203.1000061,126,170.6999969,256.2000122,474.2999878,125.5999985,265.2000122,245.3000031,152.8999939,133.1999969,185.6000061,163.1999969,136,121,175.3999939,161.8000031,119.8000031,118.5999985,164.8999939,183.5,171.3000031,169,298.8999939,284.6000061,194,152.5,229.3999939,332.7999878,220.6999969,216.5,128.6000061,192.1000061,137.8999939,209.5,226.8999939,125,148.6000061,255.3000031,292.7000122,190.3000031,235.3999939,160.8000031,175.8999939,229.1999969,120.6999969,75.41000366
26/01 12:00,210.1000061,345,593.7000122,399,480.5,620.7000122,547.7000122,303.7999878,549.5999756,521.5,287.2999878,279.8999939,159.8000031,375.8999939,268.5,381.2999878,226.8999939,291.3999939,418.3999939,325,439.7000122,174.3000031,202.3999939,199.6000061,124.5999985,164.3000031,249.1000061,458.6000061,122.8000031,267.6000061,242.3000031,157,133.1000061,178.3999939,161.5,140.8999939,126.5,176.8999939,162.3000031,121.8000031,112.6999969,168.1000061,180.8999939,166.6999969,167.1999969,295.6000061,306,198.3999939,154.3000031,219,312.6000061,207.3000031,207,132.6999969,189.1999969,137.8999939,206,250.6000061,119.1999969,143.1000061,276.1000061,305,178.8999939,224.5,169.1999969,171.1999969,218.8999939,114.6999969,73.97000122
27/01 12:00,209.3999939,323,581.7000122,389.3999939,470.8999939,617.2999878,535.5999756,295.6000061,547.7000122,503,280.1000061,276,156.8000031,369.8999939,265.2000122,374.6000061,221.1000061,283.2000122,408.7000122,316.6000061,433.3999939,170.6999969,195,195.6000061,119.0999985,157.8000031,244.1999969,444.2999878,121.5,278.7000122,240.5,155.3999939,132.5,169.6000061,164,140.1000061,127.4000015,173.6999969,149.6000061,129.3000031,109.5999985,165.8000031,171.3000031,157.3000031,159.3000031,295.3999939,326,198,161.5,200.8000031,279.7000122,202.1000061,202.1000061,137.6999969,185.8999939,141.6000061,207.6000061,265.3999939,113.3000031,137.8000031,261.1000061,305.6000061,167.8000031,222.3999939,164.5,164.8000031,209.8000031,116.8000031,73.68000031
