Date,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01 12:00,634.7999878,1459,2797,2198,1757,2499,2118,1085,2327,1886,1055,1241,712.7000122,1786,1366,1906,1128,1253,1914,830.4000244,1550,595.0999756,507.7999878,389.5,262,432.2000122,615.2999878,1062,282.2000122,643.7999878,636.4000244,459.3999939,381.6000061,410.2000122,189.1000061,220.3000031,207.1000061,249.6999969,274.5,218.8000031,266,242.3999939,277.3999939,276.8999939,317.7999878,1018,564.5999756,376.6000061,400.1000061,519.5,760.7999878,557.2999878,496.6000061,287.5,616.5999756,366.7000122,286.2999878,418,459,586,684.4000244,909.2000122,349.6000061,824.2999878,439.5,414.5,630,418.8999939,152.6999969
02/01 12:00,624.7999878,1424,2793,2161,1722,2458,2099,1070,2284,1853,1030,1227,696.9000244,1767,1326,1869,1096,1229,1867,821.7000122,1501,573.7999878,506.1000061,390,257.7999878,435.2999878,607.7999878,1033,277.2000122,633.2000122,618,458.7999878,351.2000122,407.2000122,183.1999969,204.8999939,204,245.8000031,261.6000061,215.3999939,259.7999878,235.8000031,269.2999878,288.7000122,291.2000122,1004,557.5,357.1000061,397.8999939,490.6000061,741.4000244,547,486.7000122,276.3999939,603.5,357.6000061,275.1000061,405.2999878,436.6000061,578,661.0999756,875.9000244,327.2000122,786.5,429.5,394.5,619.7000122,405.7999878,149.3999939
03/01 12:00,609.7000122,1380,2771,2120,1684,2409,2062,1052,2226,1810,1001,1196,682.2000122,1691,1272,1832,1039,1200,1810,808.2999878,1433,538.7999878,506.6000061,362.5,250.3999939,436.3999939,595.9000244,992.2999878,270.2999878,613.5999756,599.4000244,453.8999939,323.8999939,387.5,191.1000061,186.6000061,200.1000061,239.1999969,247.1999969,209.1000061,250.1000061,230.5,258.7999878,297.8999939,273.2999878,967.4000244,545.2999878,346.8999939,386.6000061,463,719,531.0999756,473.8999939,269.3999939,590.9000244,345.3999939,275.6000061,392.5,436.6000061,569.4000244,630.5999756,844.4000244,302.5,758,416.1000061,378.5,607.9000244,398.3999939,147.1999969
04/01 12:00,598.2000122,1339,2725,2079,1650,2366,2016,1035,2161,1764,978.5999756,1163,682.9000244,1623,1202,1789,979.9000244,1160,1757,781.4000244,1405,507.2000122,504.1000061,355.7000122,242.3999939,430.3999939,572.5999756,967.4000244,262.7000122,592.5999756,576.5,442.7999878,310.8999939,364.8999939,224.8999939,172.5,198.6999969,235,235.8999939,203.6999969,235.1000061,227.8000031,240.1000061,304.6000061,272.1000061,920.7999878,531.5999756,340.7999878,366.6000061,440.1000061,695,517.2999878,455.3999939,266.7000122,579.5999756,327.8999939,272.3999939,377.1000061,438.2999878,556.4000244,602.2999878,803.2000122,280.7000122,756.7000122,419.8999939,367.6000061,588.4000244,389,141.6000061
05/01 12:00,587.0999756,1289,2671,2022,1625,2316,1957,1014,2112,1724,950.5,1117,688.2999878,1509,1200,1742,963.0999756,1107,1714,758,1369,488.8999939,488.3999939,339.5,229.3999939,422.6000061,548.4000244,929.7999878,250.3000031,579.5,562.7000122,427.1000061,312.8999939,336.3999939,230.8000031,162.1999969,200.5,229.3999939,224.6999969,200.6000061,225.1999969,229.1999969,221.1999969,306.7000122,274.7999878,870.5,516.4000244,335.2999878,348.3999939,421.3999939,669.0999756,506.7000122,434.7999878,261.6000061,565.7999878,315.7999878,268.5,362.6000061,457.6000061,539.0999756,577,753.9000244,263.3999939,752.4000244,414,358,569,380.3999939,135.5
06/01 12:00,575.4000244,1241,2633,1955,1602,2261,1895,999.2999878,2066,1674,921.4000244,1074,698.7999878,1446,1201,1686,938.4000244,1053,1676,738.7000122,1313,483.2999878,467.6000061,315.2000122,215.1999969,416.2999878,530.2999878,902.4000244,230,563.0999756,547.9000244,404.8999939,311.7000122,313,218.8999939,158.1999969,198.1000061,222.1000061,215.8999939,199,217,229.3000031,211,295.7000122,275.7000122,836.2999878,498.8999939,331,317.3999939,406.7000122,639.9000244,490.7000122,411.6000061,253.5,547.7000122,305.5,263,351.2999878,470.7999878,530.7999878,553.5,706.9000244,269.8999939,738.5,406.7000122,345.5,557.7000122,360.6000061,129.8999939
07/01 12:00,562.2999878,1192,2597,1884,1575,2202,1838,978.7999878,2018,1617,888.7999878,1032,711,1422,1190,1638,906.0999756,995.5999756,1629,724.2999878,1264,489.8999939,439.8999939,284.7000122,198.5,411.6000061,515.2999878,879.7000122,208.8000031,549.4000244,538.9000244,384,307.2000122,293.6000061,211,153.8000031,190.8000031,215.6999969,206.8999939,196.6000061,209.3000031,230.6999969,202.1000061,285,276.1000061,818.2000122,476.5,325,299.6000061,397.2000122,615.5,473.7999878,381.5,240.8000031,527.4000244,295.7000122,256.2999878,343.7000122,474.7999878,525.7999878,541.2999878,666.7999878,292.3999939,712.2999878,395.3999939,328.7000122,538.5999756,344.2000122,127.0999985
08/01 12:00,547.2000122,1144,2555,1827,1545,2155,1801,952.0999756,1968,1557,853.7000122,995.7999878,701.7999878,1387,1163,1597,870.2999878,950.0999756,1566,708.0999756,1220,490.2999878,425.7999878,260.3999939,180.5,408.2999878,518,850,192.8000031,535.7999878,512,372.2999878,298.7000122,266,207.3999939,151.8999939,182,215.1000061,194.1999969,193,198.8999939,232.3999939,194.3000031,266.8999939,275.5,819.7000122,464.3999939,320.2000122,280.6000061,388.8999939,597.5999756,456.5,345.2000122,225.1000061,505.3999939,278.7999878,252,334.6000061,466.6000061,522,536.9000244,639.5,309.7999878,686.7999878,380.2000122,306.7000122,517.7000122,313.3999939,129.1000061
09/01 12:00,529.4000244,1105,2505,1774,1516,2109,1767,912,1916,1515,822.2999878,966.2000122,684.9000244,1333,1107,1545,839.2999878,923.7999878,1525,690.7999878,1137,490.1000061,403.7999878,242.5,169.3999939,397.5,510.5,822,185.6000061,513.5999756,496.2000122,360.8999939,291.2000122,258.2000122,203.3999939,155.1000061,178,218,174.6000061,187.6000061,180.8999939,231.3999939,190.3000031,246.6999969,272.1000061,807,454.8999939,307,271.3999939,378.5,573.5999756,443,328.3999939,214.6999969,477.2999878,265.2000122,244.3000031,327.5,453.5,517,534.2000122,578.7000122,307.7000122,666.9000244,370.5,288.8999939,512.5,297.7000122,127.0999985
10/01 12:00,512.5,1069,2452,1721,1495,2073,1729,868.5,1870,1471,802.4000244,931.5,665.7000122,1264,1023,1499,820,885.2999878,1459,676.2999878,1098,489.8999939,381,214.1999969,159.6000061,382.5,499.5,794.9000244,179.1000061,495.6000061,481.6000061,348.1000061,285.1000061,249.1000061,200.5,163.5,175.3999939,224.6000061,158.5,182.1999969,164.8999939,229.6000061,187.8999939,235.6999969,268.1000061,780.7999878,442.2999878,308.7000122,263.6000061,370.2999878,548,426.2000122,320,207.8999939,444.2999878,249,233.5,321.2999878,433.2999878,505.5,531.5,566,296.7000122,642.9000244,356.8999939,277.1000061,508,288.7000122,124.6999969
11/01 12:00,496.7000122,1037,2403,1667,1454,2059,1680,831.7000122,1821,1434,787.5,908.7999878,636.5999756,1225,954.0999756,1445,797.7999878,855.2999878,1375,647,1066,489.7000122,360.2999878,201.8000031,150,364.3999939,487.1000061,770.5999756,180.1000061,478,475.1000061,333.3999939,277.2999878,235.1000061,196.3000031,171.1000061,174.5,227.8000031,151,177,156.8000031,225.6000061,186.1000061,233,258.6000061,755.4000244,428.8999939,308.8999939,255.1000061,356,524.7999878,410.7000122,321.7999878,206.3000031,424.7000122,234.5,225.6999969,317.2999878,427.2999878,477,522.2000122,574.7999878,283.2000122,624,342.1000061,267.7000122,498.1000061,280.5,119.1999969
12/01 12:00,485.3999939,1006,2351,1619,1396,2054,1624,800.7000122,1771,1386,777.9000244,883.2999878,604.0999756,1173,905.2999878,1399,778.2999878,812.5999756,1308,620.7000122,1020,489.5,335.3999939,212.3000031,134.8000031,340.2999878,470.7000122,747.2000122,179.8000031,466.8999939,472.5,317.1000061,270.1000061,221.8999939,193.1000061,176.3999939,173.3000031,213.8000031,151.6999969,175.6999969,156.8999939,220.6999969,186.3999939,228.3999939,244.6999969,719.5,415.3999939,304.3999939,250.6999969,333.5,523.9000244,397.6000061,311.6000061,205.3999939,403.5,226.8999939,220.5,313.7999878,409.8999939,458.1000061,509.6000061,598.0999756,265.1000061,602,326.8999939,267.2000122,484.2000122,266.7000122,118.9000015
13/01 12:00,475.5,980.5999756,2295,1570,1329,2043,1566,775.0999756,1715,1335,766.5999756,857.7000122,570.5999756,1123,868.5999756,1352,762.9000244,783.2000122,1259,601.0999756,982.5,489.2999878,310.7000122,245.3999939,119.6999969,316.2999878,454.8999939,724.5,178.1999969,457,468.7000122,305.2000122,264.2999878,209.6999969,188.3999939,175.3000031,168.6999969,189,153.8999939,174.5,161.3000031,216.6999969,186.8999939,220,227.5,682.7999878,396.5,296.7000122,256.3999939,338.1000061,521.9000244,388.2999878,299.3999939,202.6999969,386.2999878,217.6999969,216.6000061,311.6000061,375.6000061,445.1000061,502.8999939,598.4000244,251.6999969,573.4000244,308.8999939,268,464.2000122,258.2999878,116.8000031
14/01 12:00,462.8999939,953.7000122,2232,1517,1261,2012,1510,754.0999756,1669,1271,754.7000122,839.2999878,543.4000244,1081,841,1307,738.2000122,776.7000122,1227,589.9000244,951.7999878,489.2000122,291.7000122,258.8999939,109.6999969,289.2000122,440.1000061,704.5,178.3000031,459.2000122,463.2999878,299.7999878,257.2000122,200.1000061,184.1999969,174.5,164.1999969,168.8999939,154.1000061,173.3000031,166.6999969,210.5,187.3999939,213.1999969,207.6999969,658.7999878,371.7000122,285,263,329.2000122,533.0999756,380.7000122,288.1000061,198,369,214.3999939,217.8999939,307.7999878,334.3999939,430.7999878,495.8999939,588.5,235.3000031,541.4000244,290.6000061,279.2000122,446.7999878,253.6999969,111.1999969
15/01 12:00,450.8999939,924.5,2168,1460,1215,1959,1446,729.0999756,1615,1225,744.5,827.7000122,516.7999878,1027,824.9000244,1246,721.9000244,770.5,1207,577.2999878,925.5999756,483.3999939,280.8999939,247.5,101.5999985,261,435.5,678.5,178.6000061,452.8999939,457.3999939,299.2000122,251.3000031,191.8999939,177.6999969,167.8999939,156.8999939,157.8999939,155.8000031,172.5,168.8999939,198.8999939,187.1999969,203.6999969,183.5,634.9000244,347.3999939,276.6000061,263.5,329.2000122,562,367.3999939,278.7999878,193.5,352.3999939,213.8999939,241.6999969,302.7000122,294,410.1000061,486.3999939,572.5,228.3999939,535,286.1000061,289.8999939,421.2000122,245.6000061,109.5
16/01 12:00,436.5,895.2000122,2118,1408,1182,1878,1403,709.5,1559,1185,727.5999756,813.5999756,493.2000122,1016,799.9000244,1188,699.2999878,768.7999878,1162,562.4000244,904.7000122,455.2999878,280.5,214.6000061,96.55000305,233.8000031,428.6000061,649.5999756,178.1999969,442.3999939,451.2000122,294.7000122,244.1999969,183.3000031,173.3000031,160.8000031,146.3000031,152.1000061,155.5,169.8999939,166.5,180.3000031,185.5,191.6999969,171,607.5,325.2000122,269.7999878,253.3000031,338.7000122,539.2000122,354.8999939,271.2000122,190.1999969,338.3999939,215.6999969,255.8000031,294.7999878,266.7999878,386.7000122,472.7000122,554.9000244,225.1999969,525.2999878,278.1000061,296.3999939,405.1000061,234,104.8000031
17/01 12:00,423.1000061,866.5999756,2080,1361,1147,1791,1352,690.5,1509,1148,707,792.0999756,484,1008,775.9000244,1141,677.7000122,769.2999878,1126,546.2000122,880.5999756,411.8999939,284.2000122,199,94.33000183,208.1999969,416.2000122,632.2000122,176.3999939,428,434,278.3999939,238.8000031,174.6000061,169.8999939,155.6000061,137.5,149,158.1999969,166.5,165.1999969,162,185,180.5,173.8999939,578.7999878,306.6000061,264.5,236.6000061,344.7000122,509.2000122,343.5,263.1000061,185,327.5,219.6999969,271.7000122,281.5,242.3000031,356.6000061,452.8999939,542.9000244,223.6999969,507.7999878,265.7999878,296.7999878,391.1000061,225.3999939,100.3000031
18/01 12:00,411.2000122,838.7000122,2042,1317,1116,1726,1302,678.5999756,1479,1108,688.0999756,773,481.7999878,992.2000122,767.2000122,1114,657.9000244,755,1083,529.7000122,840.9000244,375.2000122,296.2000122,186.6999969,92.94999695,185.6999969,405.1000061,617.4000244,178.1000061,408.5,408,267.5,233.1000061,166.5,170.1999969,149.8000031,132.3999939,146,164.6000061,162.1999969,163.5,149.3000031,184.6000061,172.3000031,176.5,553.7000122,303.6000061,257.7999878,223.3999939,343.3999939,488.5,333.7000122,258,175.8000031,319.1000061,222.6999969,277.7000122,277.6000061,248.6000061,351.7000122,432.2999878,537.2999878,221.8999939,488,255.3999939,296.2999878,376.7000122,222.3999939,98.26000214
19/01 12:00,400.1000061,812.0999756,1995,1270,1088,1669,1257,666,1468,1064,670.2999878,753.7000122,476.2999878,968.7999878,755.7000122,1091,641,738.0999756,1031,512.9000244,800.9000244,358.2000122,313.6000061,180.3000031,93.37999725,173.1000061,389,604.9000244,181.1999969,396.7999878,386.1000061,260.2999878,226.8000031,159.1999969,168.8999939,141.1999969,131.6000061,141.8000031,165,158.3999939,163.3000031,146.1000061,183.3999939,169,184.8000031,537.7000122,322.7999878,252.3999939,207.8000031,340.3999939,464.3999939,325.8999939,255.8000031,169.6000061,315.7000122,219.8999939,272,271.5,235.1999969,,409.5,529,222.6000061,475.2999878,250,293.7000122,363.7999878,212.3999939,92.52999878
20/01 12:00,390.1000061,789.4000244,1939,1226,1053,1626,1218,659,1430,1021,652.5,738.5,473,944.9000244,732.4000244,1058,627.2999878,720.7000122,984,502.2999878,765.2999878,340.7999878,331.5,170.1000061,92.56999969,165.5,371.7999878,597.5999756,178.5,388.8999939,360.7999878,265.2999878,222.1000061,152.8999939,167.3999939,136.6999969,129.8999939,140.1000061,162.3000031,155.5,165.8000031,149.1000061,180.1999969,158.6000061,194.1000061,535,352,247.5,190.5,335.2999878,453.2000122,317.6000061,256,165.1999969,310.5,214.6000061,256.2999878,262.7999878,223.6000061,,389,515.4000244,225,466.5,241.3000031,286.2999878,353.7000122,204.5,85.5
21/01 12:00,378.2000122,771.5,1891,1188,1024,1588,1185,657.2000122,1367,999.9000244,633.5,717.4000244,468.1000061,922.2999878,703.7999878,1030,619,708.7000122,957.5999756,499.8999939,741,348.7000122,362.8999939,166.3999939,91.77999878,160.3000031,361,594.0999756,175.3000031,385.1000061,342.8999939,266.1000061,217.3999939,145.5,163,135.1000061,123.5999985,137.8000031,160.8999939,154.3000031,167.6999969,150.6999969,180.8999939,154.6000061,197.1000061,534.7999878,373.8999939,242.8000031,175.8000031,330.7999878,445.8999939,309,256.7999878,163.8999939,307.2000122,211.6999969,241.8999939,258.1000061,214.3000031,,371.2999878,496,217.1000061,442.3999939,231.3000031,280.7999878,336,200.8999939,79.23000336
22/01 12:00,367.3999939,754.2000122,1847,1151,1009,1561,1155,647.5,1304,981.0999756,612.5,694.2000122,457,896.2000122,688.5,1001,609,688.5999756,941.7999878,495.3999939,727.7999878,358.6000061,357.2000122,163.1000061,91.66999817,154.1000061,352.1000061,592.0999756,172.3999939,379.2999878,335.2999878,262.6000061,212,135.6000061,155.8999939,132.1000061,120.6999969,134.3000031,159,149.6999969,167.8000031,154,189.8000031,153.3000031,187.8999939,528.7000122,375.3999939,238.1999969,168.3000031,321,441.7999878,300.2000122,255.8999939,164.6000061,305.7000122,209.3999939,229.1999969,254.1000061,206.8000031,,354.7000122,476.6000061,208.1000061,435.6000061,227.8999939,277.7999878,328.5,196.8000031,73.63999939
23/01 12:00,359,744,1804,1121,989.5,1536,1129,638.5,1255,973.7000122,594.9000244,673.7999878,445.8999939,869.7000122,673.9000244,984.2999878,596.5999756,655.5999756,930.7000122,496.2000122,718.7000122,365.8999939,325.2999878,162.6999969,91.15000153,146.5,345.3999939,584.4000244,169,371.2999878,328,257.6000061,205.3999939,130.3000031,149.6000061,129.6000061,119.5,132.1999969,157.8999939,141.3000031,161.1999969,153.3000031,198.6000061,153.8000031,181,517.2999878,363.3999939,243.1999969,174.1999969,305.2000122,434.5,292.2000122,257,164.6000061,303.7000122,211.1000061,218.3000031,250.8000031,194.1000061,,343.3999939,457.3999939,207.6999969,434.3999939,225,274.2000122,320,193.6000061,69.80000305
24/01 12:00,355,728.9000244,1759,1094,969,1489,1107,628.2999878,1217,961.5999756,577.2000122,651.7999878,431.8999939,843.7999878,667.2999878,937,581.7999878,625.9000244,916.9000244,497.2999878,717.2999878,362.2000122,279.2999878,166.8999939,91.77999878,141.3999939,338.2999878,573.9000244,166.8000031,359.7000122,320,254.8000031,200.5,125.8000031,144.6000061,129.6000061,118.0999985,134.8000031,155,131.3000031,157,151,200.6999969,154.3999939,171.8999939,510.7000122,346.7000122,247.3999939,189.1999969,299.7000122,432.8999939,284.2999878,253.8999939,173.5,301.2999878,209.8000031,209.8000031,249,194.6000061,,339.5,446.3999939,209.6999969,433.3999939,226.6000061,267.2000122,304.2999878,185.1999969,68.51999664
25/01 12:00,350,712.7999878,1710,1065,945.4000244,1430,1076,610.7000122,1179,941.2000122,562.2000122,636.4000244,417.1000061,824,653.4000244,911.2000122,566.2000122,589.2999878,896,495.2999878,710.7999878,345.5,244.1000061,173.3000031,93.12000275,138.3999939,331,559,166.3000031,343.3999939,314.7999878,247.5,195.5,122.8000031,141.5,129.8000031,116.3000031,144.3000031,151.3000031,121.1999969,154.8000031,149.8000031,198.1000061,154.8999939,166,498.6000061,328.7999878,240.3000031,200.8999939,295.7000122,429.2000122,276.6000061,246,175.3999939,298.8999939,205.6000061,189.3000031,247.5,195.1000061,,324.7999878,439.1000061,210.6000061,436.2999878,233.6000061,255.8999939,290.6000061,181.3999939,64.41999817
