Date,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01 12:00,,774.7000122,478.3999939,743.0999756,656.9000244,292.2999878,658.5999756,514.2999878,325.6000061,313.7000122,235.1999969,424.7000122,341.1000061,491.2999878,273.7000122,310,487.2999878,191.5,340.7999878,160.8000031,106.9000015,57.86999893,26.5,76.51999664,127.3000031,218.6999969,37.61000061,71.51000214,85.80000305,53.27999878,69.93000031,40.20999908,14.85000038,18.77000046,31.80999947,31.25,25.31999969,45.91999817,45.79999924,42.15999985,56.95000076,47.27000046,46.27999878,188,87.33999634,75.91000366,67.30999756,,160.8000031,124.0999985,81.5,69.01999664,122.5999985,63.81000137,,93.01999664,142.5,117,226.3999939,173.1999969,0,201.5,142.5,5.237999916,171.1999969,152.8999939,65.83999634
02/01 12:00,,760.7999878,471.7000122,737.0999756,619.5999756,285.3999939,648.2999878,511.2000122,300,307,229.1999969,416.7000122,339.1000061,504.5,268.5,303.2000122,477.7999878,189.1999969,337.2999878,156.6999969,105.8000031,56.5,25.85000038,73.91000366,124.9000015,210.1000061,36.70999908,69.95999908,82.88999939,51.88999939,68.76999664,39.68000031,14.52999973,18.18000031,31.43000031,30.87999916,24.98999977,44.77000046,45.45999908,40.97999954,55.47999954,46.15999985,45.06999969,174.1000061,85.55000305,73.98000336,65.61000061,111.9000015,155.6999969,121.3000031,78.98999786,67.22000122,120.5,63.15000153,72.13999939,89.83999634,139.3999939,114.3000031,223.3999939,148.1999969,17.34000015,196.1000061,140.3000031,23.18000031,167.3000031,148.8000031,68.27999878
03/01 12:00,,738.2000122,454.7000122,731.5,579.7999878,278.1000061,634.5999756,512.0999756,277.5,298.7999878,222.8000031,405.2999878,332.3999939,513.7000122,261.8999939,295.5,462,186.1999969,329.3999939,152.1000061,103.6999969,54.63000107,25,70.62999725,121.4000015,199,35.50999832,67.91000366,79.01999664,50.31000137,66.51999664,38.56999969,14.13000011,17.76000023,30.75,30.32999992,24.55999947,43.45999908,44.95000076,39.65999985,53.86000061,44.81000137,43.47999954,172.8000031,84,72.02999878,63.97000122,109.6999969,153.3999939,118.4000015,76.81999969,65.36000061,117.8000031,62.13999939,67.51000214,87.83999634,134.6000061,112.0999985,182.3999939,141.8999939,73.40000153,191.3000031,137,34.25,162.8000031,143.8999939,70.98999786
04/01 12:00,,710.2999878,445.1000061,723.5999756,552.4000244,268.7999878,618.9000244,498.8999939,253.5,289.5,217.5,391.6000061,323.2000122,516,257.1000061,290.2999878,441.2000122,184.3999939,319.2000122,147.3999939,100.5,52.33000183,24.07999992,67.43000031,117.8000031,188.8000031,34.33000183,65.76000214,75.76999664,49.25,64.54000092,37.66999817,13.85000038,17.32999992,29.79999924,29.57999992,24.10000038,42.20999908,44.29000092,38.56999969,52.43999863,43.47999954,42.59999847,173.6999969,83.09999847,70.29000092,62.40000153,106.9000015,152.6999969,116.4000015,75.30999756,63.52999878,115.3000031,61.74000168,65.97000122,85.41000366,129.3000031,109.3000031,154.6999969,147.6999969,96.52999878,187.3999939,133.8999939,38.18000031,159.3000031,140.5,71.22000122
05/01 12:00,,674.2999878,433.8999939,706.5,567,257.6000061,599.0999756,479.2000122,250.6000061,278.2999878,212.3000031,376.5,310.5,506.2999878,250.3000031,286.5,415.2000122,181.1999969,305.6000061,142.8000031,97.09999847,50.40000153,23.11000061,64.43000031,114.4000015,179.6000061,33.18999863,63.41999817,72.47000122,48.04000092,63.25999832,36.25999832,13.73999977,16.87000084,29.25,28.52000046,23.61000061,41.00999832,43.52999878,37.81999969,51.31999969,42.20000076,42.13999939,169.6999969,80.45999908,68.70999908,60.81999969,103.4000015,147.5,114.6999969,73.69999695,61.43000031,112.1999969,60.33000183,64.19999695,83.23999786,123.1999969,106.6999969,146.8999939,152,97.13999939,182,129.6000061,38.38000107,156.8000031,138.5,70.83000183
06/01 12:00,,631.5999756,427.7999878,689.7999878,574.7999878,250.6999969,580.7000122,457.2000122,248.5,268.7000122,206.3000031,361.5,297,492.7999878,243.6999969,281.8999939,390.7999878,177.5,292.7999878,140.3000031,93.97000122,49.22000122,22.14999962,61.61999893,111.8000031,172,32.06999969,61.11000061,69.37000275,46.75999832,61.68000031,34.88000107,13.34000015,16.42000008,28.71999931,27.71999931,23.11000061,40.02000046,42.63999939,36.77000046,50.74000168,41.00999832,41.61999893,165.1999969,76.01000214,67.12999725,59.24000168,99.83999634,144,113,71.98999786,58.84999847,109.3000031,58.15999985,61.70000076,81.69999695,118.5999985,103.6999969,137.1999969,153.6000061,96.84999847,178.1000061,124.6999969,38.38000107,157.3000031,136,69.72000122
07/01 12:00,,583.4000244,413.3999939,673.2000122,559.5,246.8999939,562.2999878,433.3999939,247.8000031,259.3999939,199.3999939,346.2999878,284.2000122,476.5,239.8999939,275.8999939,373.3999939,173.6999969,280.5,137.6999969,91.08000183,48.04000092,21.18000031,59.06000137,109.0999985,166.1999969,30.95999908,58.84000015,66.83999634,45.43999863,59.47000122,33.65000153,12.92000008,15.97000027,28.13999939,26.59000015,22.59000015,39.49000168,41.5,36.16999817,49.97000122,40.02000046,40.97999954,159.1000061,74.90000153,65.55000305,57.65999985,96.73999786,141.1000061,111.0999985,70.38999939,57.54000092,105.5999985,55.79999924,58.90000153,80.12000275,114.5999985,102.3000031,132,154.5,94.37999725,175.5,117,38.38000107,157.1999969,133.6000061,68.23999786
08/01 12:00,,547.2000122,390,652.5999756,531.7999878,245.6999969,546.4000244,419.5,241.6999969,254.1000061,190.1000061,331.1000061,271.7999878,460.5,236.6999969,268.6000061,366.2000122,169.8999939,268.2999878,134.5,88.37000275,46.75999832,20.23999977,57.02000046,106.1999969,161.5,29.87999916,56.56999969,65.04000092,44.11999893,57.52999878,32.40000153,12.52000046,15.52999973,27.51000023,25.60000038,22.05999947,38.93000031,40.86999893,35.63000107,48.81999969,39.49000168,40.31000137,153.1000061,74.73999786,63.97000122,56.09999847,93.87000275,137.1000061,109.5999985,68.94000244,56.43999863,103.1999969,54.11000061,57.06999969,78.45999908,112.6999969,99.75,127.5999985,156.6999969,86.65000153,173.1000061,108.0999985,38.38000107,154.6999969,130.6000061,66.31999969
09/01 12:00,,505.8999939,363.2000122,632.4000244,505.2999878,242.3999939,531.5,408.1000061,234.8000031,248.3999939,182.6999969,318.1000061,258.6000061,447.1000061,232.1000061,259.2000122,356.8999939,166.1000061,256.2999878,131.3000031,85.68000031,45.43999863,19.35000038,54.93999863,103.0999985,156.6999969,28.86000061,54.40000153,63.40999985,42.86000061,55.15999985,30.95000076,12.13000011,15.18000031,26.75,24.68000031,21.42000008,38.33000183,40.27000046,35.13999939,48.11000061,38.91999817,39.61999893,147.8999939,74.16000366,62.40999985,54.61000061,92.76000214,132.6000061,107,67.63999939,55.5,100,53.74000168,55.90000153,76.77999878,111.3000031,97.80999756,121.1999969,161.6000061,83.94000244,170.6999969,101.5,38.38000107,154,127.9000015,65.72000122
10/01 12:00,,469.2999878,348.3999939,607.9000244,487.7999878,236,516.2999878,393.6000061,227.3000031,242,177.8000031,306.7000122,252.1999969,433.5,226.5,249.5,348.2000122,162.3000031,245.3999939,127.9000015,82.98999786,44.11000061,18.61000061,52.86000061,99.93000031,151.8999939,27.98999977,52.38999939,62.13999939,41.68000031,52.88999939,30.03000069,11.73999977,15.02999973,25.80999947,23.93000031,20.57999992,37.72999954,39.63000107,34.75,47.29999924,38.27999878,38.90000153,144,73.08000183,60.91999817,53.25999832,93.06999969,129.1999969,104.3000031,66.59999847,53.88000107,97.83999634,53.34999847,54.65000153,75.26999664,108.9000015,95.73999786,115.0999985,170,82.23000336,169,96.58999634,38.38000107,151.6000061,123.1999969,65.13999939
