Date,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01 12:00,54.29999924,62.31000137,82.88999939,,51.54000092,47.27000046,,55.86000061,37.59000015,,34.47999954,,46.47000122,46.18000031,43.97999954,46.18000031,44.79000092,55.86000061,49.40000153,44.61000061,79.30999756,64.16000366,54.47000122,56.77999878,58.15999985,78.66999817,67.58999634,59.22999954,53.74000168,82.27999878,60.02000046,57.45000076,56.95000076,54.88999939,62.95000076,67.30999756,75.34999847,56.11999893,83.55000305,72.12999725,,80.29000092,78.41000366,47.31999969
02/01 12:00,53.65999985,61.93999863,82.04000092,,50.90000153,47.16999817,,55.49000168,37.49000168,,33.84000015,,45.81999969,45.79999924,43.08000183,45.79999924,44.41999817,55.38000107,49.02999878,43.86999893,78.02999878,63.36999893,54,56.40999985,57.88999939,76.87999725,67.29000092,58.61999893,53.29999924,81.66999817,57.08000183,56.36000061,56.72999954,54.41999817,62.49000168,65.33000183,73.87000275,55.13000107,82.52999878,71.19000244,56.75,78.86000061,77.69999695,46.84999847
03/01 12:00,53.08000183,61.47999954,81,,50.41999817,46.72999954,,55.02999878,36.95000076,,33.47000122,,45.34000015,45.34000015,42.68999863,45.34000015,43.95999908,54.59999847,48.47000122,42.97000122,77.08000183,61.47999954,52.90000153,56.06000137,57.77000046,76.33000183,66.20999908,58.31000137,53.04999924,81.09999847,54.09999847,54.45000076,56.02000046,53.95999908,62.02999878,63.18000031,73.08999634,54.45000076,81.20999908,68.13999939,55.15000153,76.80999756,76.80000305,46.59000015
04/01 12:00,52.29000092,60.91999817,80.72000122,,49.95000076,46.38000107,,54.47000122,36.15999985,,33.34000015,,44.88000107,44.99000168,42.34999847,44.88000107,43.5,54,47.58000183,42.15000153,75.94999695,60.59000015,51.41999817,55.93000031,57.43999863,75.23999786,65.08000183,57.70000076,52.77999878,79.41000366,52.34999847,53.27999878,54.66999817,53.5,61.59999847,61.58000183,72.62999725,54.63999939,80.25,66.08000183,53.56999969,75.22000122,75.58999634,46.13000107
05/01 12:00,51.70000076,60.13000107,,,49.49000168,46.25,,53.66999817,35.45999908,,32.90000153,,44.31999969,44.75999832,41.25,44.31999969,43.04000092,53.11000061,46.75999832,41.77000046,74.26000214,60.09999847,50.88000107,55.49000168,57.31000137,73.94999695,63.91999817,57.15000153,52.38000107,77.76999664,51.04000092,52.63000107,53.72999954,52.99000168,61.34000015,60.47000122,72.13999939,54.68999863,79.33000183,63.56000137,52.77000046,74.48000336,73.76000214,45.65999985
06/01 12:00,50.79999924,59.43999863,,,49.13999939,45.91999817,,52.97999954,34.13000107,,32.43999863,,43.52999878,43.99000168,40.84000015,43.43000031,42.38000107,52.29000092,46.16999817,41.63999939,73.05999756,59.54000092,50.31999969,54.93000031,56.66999817,71.47000122,63.38999939,55.86000061,52.08000183,75.5,50.11999893,52.29000092,53.27000046,51.90000153,60.88000107,59.72999954,71.29000092,54.65000153,78.62999725,62.25,51.04999924,74.01999664,70.90000153,45.38999939
07/01 12:00,49.88000107,58.40999985,,,49.00999832,45.88999939,,51.84999847,32.95000076,,32.09000015,,43.04000092,43.61000061,40.61000061,42.50999832,41.15000153,51.70000076,45.27000046,41.20000076,72.54000092,58.74000168,49.52000046,54.13000107,55.54000092,69.83000183,62.52000046,54.08000183,50.84000015,73.34999847,49.81999969,51.50999832,52.84000015,51.00999832,60.38999939,58.79000092,70.79000092,54.41999817,77.91999817,60.72000122,50.27000046,73.55999756,68.27999878,44.97000122
08/01 12:00,48.95999908,58.22999954,,,48.56999969,45.79000092,,51.24000168,32.43999863,,31.95999908,,42.58000183,43.47999954,39.74000168,41.68999863,40.29999924,50.90999985,44.34999847,40.84000015,71.87999725,58.15000153,49.02999878,53.75,55.13999939,68.59999847,61.65000153,52.81999969,50.27999878,71.77999878,49.36000061,51.18000031,52.77000046,50.09000015,59.52999878,57.45999908,70.13999939,54.18000031,76.79000092,60.15999985,49.81000137,73.12000275,65.38999939,44.50999832
09/01 12:00,48.13999939,57.90000153,,,48.22000122,45.45000076,,50.45000076,31.97999954,,31.52000046,,42.02000046,42.93999863,38.91999817,41.20000076,39.91999817,50.41999817,43.52999878,40.70999908,70.65000153,57.45999908,48.47000122,53.61999893,55.00999832,68.26000214,61.34999847,52.16999817,49.81999969,70.79000092,48.90000153,50.52000046,52.34999847,49.54000092,58.47999954,56.95999908,69.63999939,53.74000168,75.65000153,59.08000183,49.56999969,73.05000305,64.11000061,44.04999924
10/01 12:00,47.45000076,57.66999817,,,47.99000168,45.41999817,,49.84999847,31.31999969,,31.04999924,,41.22999954,42.25,38.43000031,40.72999954,39.68999863,49.75,43.04000092,40.27000046,69.70999908,57.31000137,47.58000183,53.18000031,54.56999969,68.01000214,60.88999939,51.86000061,49.11999893,69.11000061,48.65000153,50.04999924,51.47999954,49.11999893,55.00999832,56.27999878,69.15000153,52.81999969,74.31999969,58.15000153,49.56999969,72.66000366,63.40999985,43.59000015
11/01 12:00,46.43000031,56.79999924,,,47.31999969,45.31999969,,49.06000137,30.18000031,,30.59000015,,40.72999954,42.09999847,37.97000122,40.16999817,38.91999817,48.72999954,42.58000183,39.81000137,68.88999939,56.66999817,46.75999832,52.72000122,54.20999908,68.01000214,60.40000153,51.43999863,48.20999908,67.31999969,48.43999863,49.61000061,50.70999908,48.65999985,52.81999969,55.58000183,68.29000092,51.68000031,73.76000214,57.61999893,49.56999969,72.62000275,62.95000076,43.13000107
12/01 12:00,46.04000092,56.08000183,,,47.16999817,44.99000168,,48.36999893,29.56999969,,29.93000031,,40.38000107,41.56000137,37.50999832,39.27999878,38.43000031,48.54999924,42.02000046,39.34999847,68.29000092,55.43999863,46.27000046,52.25999832,54.18000031,67.80000305,59.5,51,47.33000183,64.26999664,48.18999863,49.54999924,50.06999969,48.22999954,51.93000031,54.90000153,67.76000214,50.88000107,72.87000275,56.95999908,49.34999847,72.58999634,62.49000168,42.66999817
13/01 12:00,44.83000183,55.72000122,,,46.72999954,44.95999908,,47.24000168,28.78000069,,28.79999924,,40.15000153,40.75999832,37.04999924,38.45999908,37.97000122,48.00999832,41.22999954,38.88999939,67.5,54.38999939,45.81000137,51.49000168,54.18000031,67.55000305,58.15999985,50.75,46.18000031,63.41999817,48.16999817,49.15000153,50,47.93999863,51.40000153,54.22000122,67.09999847,49.63000107,71.98000336,56.27999878,49.11000061,72.19999695,61.54000092,42.20999908
14/01 12:00,43.68000031,54.72999954,,,46.38000107,44.86000061,,46.72999954,28.39999962,,28.29000092,,39.16999817,40.38000107,36.70000076,37.86999893,37.61999893,47.22000122,40.72999954,38.43000031,67.01000214,52.83000183,45.34000015,49.93000031,53.86999893,67.55000305,56.56999969,50.27999878,45.88999939,62.97999954,48.00999832,48.90000153,49.61000061,47.27999878,50.54999924,53.95999908,66.63999939,48.61999893,71.44999695,55.36000061,48.88999939,72.16000366,59.27999878,41.75
15/01 12:00,41.68999863,54.43999863,,,46.25,44.41999817,,46.16999817,28.27000046,,27.72999954,,38.13000107,39.93999863,36.45999908,36.97999954,37.49000168,46.72999954,40.27000046,37.97000122,66.55000305,50.77999878,44.88000107,49.06000137,52.77000046,67.52999878,54.70000076,49.81999969,45.66999817,62.70000076,48.61000061,48.63000107,49.34999847,46.79000092,50.04000092,53.02999878,66.15000153,46.93000031,70.59999847,54.43000031,48.65000153,72.16000366,56.08000183,41.31999969
16/01 12:00,39.47999954,53.77000046,,,45.81000137,44.06999969,,45.36999893,27.82999992,,26.94000053,,37.95000076,38.61000061,35.79000092,36.15999985,37.04999924,46.16999817,39.91999817,37.40999985,66.08999634,49.54000092,44.31999969,48.56999969,51.95999908,66.66000366,52.45999908,49.15000153,45.40000153,62.04000092,48.40999985,48.22999954,48.88999939,45.95999908,49.61000061,51.70000076,65.30000305,46.38999939,70.06999969,53.72999954,48.43000031,71.94000244,52.49000168,41.02999878
17/01 12:00,38.88999939,53.52000046,,,45.45000076,43.93999863,,44.88000107,27.37000084,,26.54999924,,37.50999832,38.40999985,35.63999939,35.65999985,36.59000015,45.36999893,39.68999863,36.61999893,65.62999725,49.02999878,43.31999969,48.11000061,49.88000107,65.29000092,50.59999847,47.97000122,44.97999954,61.59999847,47.54000092,48.16999817,48.65000153,45.88999939,49.31999969,51.16999817,64.58000183,43.91999817,69.22000122,53.04999924,48.15999985,71.69999695,51.00999832,40.36000061
18/01 12:00,38.43000031,52.84999847,,,45.31999969,43.61000061,,44.31999969,26.90999985,,26.42000008,,37.04999924,37.86999893,35.09999847,35.20000076,36.13000107,44.88000107,38.91999817,36.13000107,65.16999817,48.47000122,42.16999817,47.45000076,47.34999847,64.15000153,49.18999863,45.99000168,44.54000092,61.54000092,46.84999847,47.77000046,48.43000031,45.88999939,48.65999985,50.50999832,63.65000153,41.27999878,68.69000244,52.13000107,47.77000046,70.98999786,50.50999832,39.68000031
