,Observation,Start Date,End Date,StationName
0,1,1980-09-01 12:00:00,1980-09-24 12:00:00,Banankoro
1,1,1981-08-10 12:00:00,1981-10-10 12:00:00,Banankoro
2,1,1982-09-10 12:00:00,1982-09-22 12:00:00,Banankoro
3,1,1983-09-18 12:00:00,1983-10-07 12:00:00,Banankoro
4,1,1985-08-22 12:00:00,1985-10-09 12:00:00,Banankoro
5,1,1986-08-28 12:00:00,1986-10-06 12:00:00,Banankoro
6,1,1987-09-26 12:00:00,1987-10-08 12:00:00,Banankoro
7,1,1988-09-02 12:00:00,1988-09-27 12:00:00,Banankoro
8,1,1994-08-28 12:00:00,1994-11-14 12:00:00,Banankoro
9,1,1995-08-16 12:00:00,1995-09-19 12:00:00,Banankoro
10,1,1995-09-22 12:00:00,1995-10-27 12:00:00,Banankoro
11,1,1996-08-25 12:00:00,1996-09-29 12:00:00,Banankoro
12,1,1996-10-02 12:00:00,1996-10-25 12:00:00,Banankoro
13,1,1997-08-31 12:00:00,1997-10-13 12:00:00,Banankoro
14,1,1998-08-15 12:00:00,1998-10-20 12:00:00,Banankoro
15,1,1999-09-02 12:00:00,1999-11-01 12:00:00,Banankoro
16,1,2000-08-31 12:00:00,2000-10-31 12:00:00,Banankoro
17,1,2001-09-02 12:00:00,2001-10-13 12:00:00,Banankoro
18,1,2002-08-30 12:00:00,2002-10-03 12:00:00,Banankoro
19,1,2007-08-26 12:00:00,2007-10-10 12:00:00,Banankoro
20,1,2008-08-08 12:00:00,2008-08-10 12:00:00,Banankoro
21,1,2008-08-16 12:00:00,2008-10-22 12:00:00,Banankoro
22,1,2009-08-22 12:00:00,2009-10-14 12:00:00,Banankoro
23,1,2010-08-25 12:00:00,2010-10-01 12:00:00,Banankoro
24,1,2010-10-21 12:00:00,2010-11-07 12:00:00,Banankoro
25,1,2011-09-25 12:00:00,2011-10-09 12:00:00,Banankoro
26,1,2012-09-08 12:00:00,2012-10-14 12:00:00,Banankoro
27,1,2013-08-21 12:00:00,2013-10-13 12:00:00,Banankoro
28,1,2014-09-08 12:00:00,2014-10-16 12:00:00,Banankoro
29,1,2015-08-30 12:00:00,2015-10-26 12:00:00,Banankoro
30,1,2016-08-26 12:00:00,2016-10-14 12:00:00,Banankoro
31,1,2017-08-28 12:00:00,2017-09-17 12:00:00,Banankoro
32,1,2017-09-29 12:00:00,2017-09-30 12:00:00,Banankoro
33,1,2018-08-18 12:00:00,2018-10-24 12:00:00,Banankoro
34,1,1980-09-10 12:00:00,1980-09-22 12:00:00,Bamako
35,1,1981-09-02 12:00:00,1981-10-04 12:00:00,Bamako
36,1,1985-09-17 12:00:00,1985-10-03 12:00:00,Bamako
37,1,1994-09-03 12:00:00,1994-09-10 12:00:00,Bamako
38,1,1994-09-15 12:00:00,1994-10-27 12:00:00,Bamako
39,1,1994-11-03 12:00:00,1994-11-11 12:00:00,Bamako
40,1,1995-08-30 12:00:00,1995-10-21 12:00:00,Bamako
41,1,1996-09-13 12:00:00,1996-09-20 12:00:00,Bamako
42,1,1996-09-23 12:00:00,1996-10-14 12:00:00,Bamako
43,1,1997-09-12 12:00:00,1997-10-02 12:00:00,Bamako
44,1,1998-09-07 12:00:00,1998-10-16 12:00:00,Bamako
45,1,1999-09-18 12:00:00,1999-10-05 12:00:00,Bamako
46,1,1999-10-10 12:00:00,1999-10-13 12:00:00,Bamako
47,1,1999-10-16 12:00:00,1999-10-21 12:00:00,Bamako
48,1,2000-09-15 12:00:00,2000-10-16 12:00:00,Bamako
49,1,2000-10-18 12:00:00,2000-10-20 12:00:00,Bamako
50,1,2001-09-06 12:00:00,2001-10-11 12:00:00,Bamako
51,1,2002-09-22 12:00:00,2002-09-27 12:00:00,Bamako
52,1,2003-08-23 12:00:00,2003-10-08 12:00:00,Bamako
53,1,2004-09-19 12:00:00,2004-09-21 12:00:00,Bamako
54,1,2004-10-01 12:00:00,2004-10-07 12:00:00,Bamako
55,1,2005-09-30 12:00:00,2005-10-19 12:00:00,Bamako
56,1,2006-09-20 12:00:00,2006-10-02 12:00:00,Bamako
57,1,2006-10-21 12:00:00,2006-10-22 12:00:00,Bamako
58,1,2007-08-31 12:00:00,2007-09-26 12:00:00,Bamako
59,1,2008-08-20 12:00:00,2008-10-14 12:00:00,Bamako
60,1,2009-09-04 12:00:00,2009-10-08 12:00:00,Bamako
61,1,2010-09-06 12:00:00,2010-09-07 12:00:00,Bamako
62,1,2010-09-09 12:00:00,2010-09-30 12:00:00,Bamako
63,1,2010-10-24 12:00:00,2010-10-25 12:00:00,Bamako
64,1,2012-09-10 12:00:00,2012-09-12 12:00:00,Bamako
65,1,2012-09-20 12:00:00,2012-10-04 12:00:00,Bamako
66,1,2013-08-21 12:00:00,2013-10-05 12:00:00,Bamako
67,1,2014-10-06 12:00:00,2014-10-11 12:00:00,Bamako
68,1,2015-09-29 12:00:00,2015-10-18 12:00:00,Bamako
69,1,2016-09-01 12:00:00,2016-10-11 12:00:00,Bamako
70,1,2018-08-20 12:00:00,2018-10-21 12:00:00,Bamako
71,1,1980-09-06 12:00:00,1980-09-26 12:00:00,Koulikoro
72,1,1981-08-31 12:00:00,1981-10-07 12:00:00,Koulikoro
73,1,1982-09-13 12:00:00,1982-09-19 12:00:00,Koulikoro
74,1,1985-09-04 12:00:00,1985-09-08 12:00:00,Koulikoro
75,1,1985-09-15 12:00:00,1985-10-06 12:00:00,Koulikoro
76,1,1986-09-27 12:00:00,1986-09-29 12:00:00,Koulikoro
77,1,1988-09-15 12:00:00,1988-09-17 12:00:00,Koulikoro
78,1,1994-09-04 12:00:00,1994-09-10 12:00:00,Koulikoro
79,1,1994-09-16 12:00:00,1994-10-29 12:00:00,Koulikoro
80,1,1994-11-03 12:00:00,1994-11-13 12:00:00,Koulikoro
81,1,1995-08-30 12:00:00,1995-10-23 12:00:00,Koulikoro
82,1,1996-09-13 12:00:00,1996-10-14 12:00:00,Koulikoro
83,1,1997-09-13 12:00:00,1997-10-05 12:00:00,Koulikoro
84,1,1998-09-08 12:00:00,1998-10-18 12:00:00,Koulikoro
85,1,1999-09-17 12:00:00,1999-10-25 12:00:00,Koulikoro
86,1,2000-09-16 12:00:00,2000-10-21 12:00:00,Koulikoro
87,1,2001-09-07 12:00:00,2001-10-12 12:00:00,Koulikoro
88,1,2002-09-24 12:00:00,2002-09-29 12:00:00,Koulikoro
89,1,2003-08-24 12:00:00,2003-10-10 12:00:00,Koulikoro
90,1,2004-09-21 12:00:00,2004-09-22 12:00:00,Koulikoro
91,1,2004-10-01 12:00:00,2004-10-07 12:00:00,Koulikoro
92,1,2005-10-01 12:00:00,2005-10-19 12:00:00,Koulikoro
93,1,2006-09-21 12:00:00,2006-10-03 12:00:00,Koulikoro
94,1,2007-09-01 12:00:00,2007-09-27 12:00:00,Koulikoro
95,1,2008-08-21 12:00:00,2008-10-14 12:00:00,Koulikoro
96,1,2009-09-03 12:00:00,2009-10-09 12:00:00,Koulikoro
97,1,2010-09-06 12:00:00,2010-09-08 12:00:00,Koulikoro
98,1,2010-09-11 12:00:00,2010-10-01 12:00:00,Koulikoro
99,1,2010-10-24 12:00:00,2010-10-26 12:00:00,Koulikoro
100,1,2012-09-22 12:00:00,2012-10-04 12:00:00,Koulikoro
101,1,2013-08-23 12:00:00,2013-10-03 12:00:00,Koulikoro
102,1,2014-09-30 12:00:00,2014-10-02 12:00:00,Koulikoro
103,1,2015-10-02 12:00:00,2015-10-16 12:00:00,Koulikoro
104,1,2016-09-15 12:00:00,2016-10-10 12:00:00,Koulikoro
105,1,2018-08-24 12:00:00,2018-08-29 12:00:00,Koulikoro
106,1,2018-09-01 12:00:00,2018-10-20 12:00:00,Koulikoro
107,1,1980-09-13 12:00:00,1980-10-19 12:00:00,Mopti
108,1,1981-08-30 12:00:00,1981-11-05 12:00:00,Mopti
109,1,1985-09-28 12:00:00,1985-10-21 12:00:00,Mopti
110,1,1988-09-17 12:00:00,1988-10-14 12:00:00,Mopti
111,1,1994-09-05 12:00:00,1994-12-10 12:00:00,Mopti
112,1,1995-09-08 12:00:00,1995-11-12 12:00:00,Mopti
113,1,1996-09-22 12:00:00,1996-11-05 12:00:00,Mopti
114,1,1997-09-19 12:00:00,1997-10-25 12:00:00,Mopti
115,1,1998-09-07 12:00:00,1998-11-17 12:00:00,Mopti
116,1,1999-08-30 12:00:00,1999-11-29 12:00:00,Mopti
117,1,2000-09-14 12:00:00,2000-11-18 12:00:00,Mopti
118,1,2001-09-05 12:00:00,2001-11-04 12:00:00,Mopti
119,1,2003-08-29 12:00:00,2003-11-17 12:00:00,Mopti
120,1,2004-10-07 12:00:00,2004-10-18 12:00:00,Mopti
121,1,2005-09-14 12:00:00,2005-09-22 12:00:00,Mopti
122,1,2005-10-06 12:00:00,2005-10-30 12:00:00,Mopti
123,1,2006-09-15 12:00:00,2006-11-14 12:00:00,Mopti
124,1,2007-08-31 12:00:00,2007-11-15 12:00:00,Mopti
125,1,2008-08-27 12:00:00,2008-11-16 12:00:00,Mopti
