,Observation,Start Date,End Date,StationName
0,1,1980-09-02 12:00:00,1980-09-22 12:00:00,Banankoro
1,1,1981-08-18 12:00:00,1981-08-21 12:00:00,Banankoro
2,1,1981-08-25 12:00:00,1981-10-08 12:00:00,Banankoro
3,1,1982-09-18 12:00:00,1982-09-19 12:00:00,Banankoro
4,1,1983-09-21 12:00:00,1983-10-04 12:00:00,Banankoro
5,1,1985-08-24 12:00:00,1985-09-05 12:00:00,Banankoro
6,1,1985-09-13 12:00:00,1985-10-06 12:00:00,Banankoro
7,1,1986-08-30 12:00:00,1986-09-01 12:00:00,Banankoro
8,1,1986-09-06 12:00:00,1986-10-04 12:00:00,Banankoro
9,1,1987-09-27 12:00:00,1987-10-05 12:00:00,Banankoro
10,1,1988-09-06 12:00:00,1988-09-21 12:00:00,Banankoro
11,1,1994-08-28 12:00:00,1994-11-13 12:00:00,Banankoro
12,1,1995-08-20 12:00:00,1995-09-19 12:00:00,Banankoro
13,1,1995-09-22 12:00:00,1995-10-25 12:00:00,Banankoro
14,1,1996-08-31 12:00:00,1996-09-29 12:00:00,Banankoro
15,1,1996-10-02 12:00:00,1996-10-15 12:00:00,Banankoro
16,1,1997-09-06 12:00:00,1997-10-09 12:00:00,Banankoro
17,1,1998-08-17 12:00:00,1998-08-21 12:00:00,Banankoro
18,1,1998-08-24 12:00:00,1998-10-18 12:00:00,Banankoro
19,1,1999-09-02 12:00:00,1999-10-28 12:00:00,Banankoro
20,1,2000-09-02 12:00:00,2000-10-26 12:00:00,Banankoro
21,1,2001-09-02 12:00:00,2001-10-11 12:00:00,Banankoro
22,1,2002-09-07 12:00:00,2002-09-30 12:00:00,Banankoro
23,1,2007-08-27 12:00:00,2007-10-07 12:00:00,Banankoro
24,1,2008-08-18 12:00:00,2008-10-15 12:00:00,Banankoro
25,1,2009-08-25 12:00:00,2009-10-10 12:00:00,Banankoro
26,1,2010-09-02 12:00:00,2010-09-27 12:00:00,Banankoro
27,1,2010-10-21 12:00:00,2010-11-01 12:00:00,Banankoro
28,1,2011-10-02 12:00:00,2011-10-07 12:00:00,Banankoro
29,1,2012-09-09 12:00:00,2012-10-02 12:00:00,Banankoro
30,1,2013-08-22 12:00:00,2013-10-10 12:00:00,Banankoro
31,1,2014-09-10 12:00:00,2014-10-14 12:00:00,Banankoro
32,1,2015-09-06 12:00:00,2015-10-23 12:00:00,Banankoro
33,1,2016-08-31 12:00:00,2016-10-12 12:00:00,Banankoro
34,1,2017-09-09 12:00:00,2017-09-14 12:00:00,Banankoro
35,1,2018-08-20 12:00:00,2018-10-22 12:00:00,Banankoro
36,1,1980-09-04 12:00:00,1980-09-26 12:00:00,Bamako
37,1,1981-08-30 12:00:00,1981-10-07 12:00:00,Bamako
38,1,1982-09-06 12:00:00,1982-09-22 12:00:00,Bamako
39,1,1983-09-24 12:00:00,1983-09-30 12:00:00,Bamako
40,1,1985-08-28 12:00:00,1985-09-01 12:00:00,Bamako
41,1,1985-09-04 12:00:00,1985-10-05 12:00:00,Bamako
42,1,1986-09-18 12:00:00,1986-10-02 12:00:00,Bamako
43,1,1988-09-14 12:00:00,1988-09-19 12:00:00,Bamako
44,1,1992-09-14 12:00:00,1992-09-28 12:00:00,Bamako
45,1,1994-09-02 12:00:00,1994-11-15 12:00:00,Bamako
46,1,1995-08-26 12:00:00,1995-10-24 12:00:00,Bamako
47,1,1996-09-09 12:00:00,1996-10-16 12:00:00,Bamako
