,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2,ADM2ALT1FR,ADM2ALT2FR,ADM2_PCODE,ADM2_REF,Shape_Area,Shape_Leng,date,validOn,validTo,StationName_Type,StationName_Merged,Observation,Start Date,End Date,StationName
0,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1965-08-17 12:00:00,1965-08-30 12:00:00,Dibiya
1,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1965-09-02 12:00:00,1965-09-21 12:00:00,Dibiya
2,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1966-08-22 12:00:00,1966-08-27 12:00:00,Dibiya
3,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1966-09-15 12:00:00,1966-09-20 12:00:00,Dibiya
4,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1967-08-02 12:00:00,1967-08-12 12:00:00,Dibiya
5,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1967-08-19 12:00:00,1967-10-14 12:00:00,Dibiya
6,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1968-09-05 12:00:00,1968-09-06 12:00:00,Dibiya
7,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1968-09-08 12:00:00,1968-09-22 12:00:00,Dibiya
8,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1969-08-25 12:00:00,1969-09-22 12:00:00,Dibiya
9,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1969-09-27 12:00:00,1969-09-28 12:00:00,Dibiya
10,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1969-10-10 12:00:00,1969-10-12 12:00:00,Dibiya
11,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1969-10-27 12:00:00,1969-10-29 12:00:00,Dibiya
12,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1970-08-03 12:00:00,1970-08-04 12:00:00,Dibiya
13,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1970-08-11 12:00:00,1970-09-25 12:00:00,Dibiya
14,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1971-08-03 12:00:00,1971-08-04 12:00:00,Dibiya
15,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1971-08-06 12:00:00,1971-09-25 12:00:00,Dibiya
16,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1972-09-02 12:00:00,1972-09-06 12:00:00,Dibiya
17,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1973-08-14 12:00:00,1973-08-28 12:00:00,Dibiya
18,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1973-09-08 12:00:00,1973-09-09 12:00:00,Dibiya
19,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1973-09-15 12:00:00,1973-09-21 12:00:00,Dibiya
20,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1974-07-30 12:00:00,1974-07-31 12:00:00,Dibiya
21,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1974-08-19 12:00:00,1974-09-22 12:00:00,Dibiya
22,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1974-09-29 12:00:00,1974-10-05 12:00:00,Dibiya
23,Mali (le),ML,Kayes,ML01,BAFOULABE,,,ML0101,,1.65474148825,6.70820680221,2015-06-01,2021-12-20,0000/00/00,StationName_1,Dibiya,1,1975-08-31 12:00:00,1975-10-10 12:00:00,Dibiya
